           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
         1.124668                    1619                  5147.086510               19521.408859               4576922.7                  -9660.3         
         2.249336                    4828                  15347.233974              48778.968322               13543942.3                 -86899.8        
         3.374004                    8061                  25625.002135              62227.469842               22554809.0                -169482.5        
         4.498672                   11262                  35795.773044             131009.751728               31430379.0                -526328.7        
         5.623340                   14474                  46004.309510              36068.653542               40088116.2                -170863.5        
         6.748008                   17659                  56116.047279              -5872.290325               48758023.5                 42216.0         
         7.872676                   20841                  66214.929482              3347.025271                57494001.4                 -32967.3        
         8.997344                   24114                  76589.882320              58279.976873               66647166.2                -510083.7        
        10.122012                   27330                  86764.579703              41502.323970               75350570.7                -414855.9        
        11.246680                   30472                  96699.137833              73286.059624               83854177.1                -772105.0        
        12.371348                   33644                 106706.127388             166294.096634               92338455.0                -1974235.4       
        13.496016                   36901                 116966.182346             -41276.347709              101039887.1                 539681.5        
        14.620684                   40118                 127087.688691              14801.414724              109914729.6                -219481.8        
        15.745352                   43291                 137042.638675             168720.270116              118130171.4                -2521633.6       
        16.870020                   46462                 146964.614907             163703.725387              126326657.7                -2650399.3       
        17.994688                   49569                 156648.689244             325415.730141              134377869.6                -5639761.3       
        19.119356                   52829                 166747.097821             333899.491240              142341169.6                -6210093.1       
        20.244024                   55832                 175991.944049             434748.609729              149347008.8                -8559075.5       
        21.368692                   58997                 185675.414451             329860.036471              157062118.2                -6833196.0       
        22.493360                   62112                 195142.405545             579120.856915              164349397.0               -12722499.9       
        23.618028                   65249                 204602.690929             500566.348871              171513810.5               -11561760.8       
        24.742696                   68303                 213768.266503             439521.207731              178702895.3               -10638298.1       
        25.867364                   71329                 222792.018951             781017.926276              185727429.5               -19769652.6       
        26.992032                   74316                 231732.921243             543400.255757              192568623.2               -14356767.1       
        28.116700                   77037                 239929.141740             812649.105860              199401995.3               -22441049.8       
        29.241368                   79853                 248334.977568             730595.480219              205701245.5               -20870117.1       
