 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         19       69190      100000      1471       9064        75        863         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1       24999       7605      100000      959       90414       492       87437       100       80011        56       76979        12       68571        8        66054        3        55676        3        55676        0          0     
   0.2       20863       8308      100000      1129      89611       562       86010       111       76993        60       73345        25       65881        14       58182        3        34778        1        20863        0          0     
   0.3        8163       9259      100000      1276      88422       651       84383       140       74382        73       69814        25       61086        19       57211        2        15033        0          0          0          0     
   0.4        7434      10871      100000      1596      86406       798       81300       129       67857        60       63111        19       55115        15       52658        5        30722        0          0          0          0     
   0.5       10948      12241      100000      1814      84476       851       78287       100       63641        36       59345        11       54320        9        53260        6        47834        1        10948        0          0     
   0.6       13503      13409      100000      1711      82686       660       75929        39       64996        18       63637        10       62577        8        60969        6        57302        2        24925        0          0     
   0.7       34853      13500      100000      1262      82186       367       76517        11       70962        6        70673        5        70405        4        69584        3        67314        2        59701        0          0     
   0.8       37094      13110      100000      988       82399       250       77755        4        74262        3        74211        3        74211        3        74211        2        72355        2        72355        0          0     
   0.9       38613      12885      100000      847       82930       193       78919        5        76253        5        76253        2        75308        2        75308        2        75308        2        75308        0          0     
   1.0       40330      12752      100000      688       83077        99       79451        2        78112        2        78112        2        78112        2        78112        2        78112        2        78112        0          0     
   1.1       41538      12030      100000      525       84046        79       81317        2        80304        2        80304        2        80304        2        80304        2        80304        2        80304        0          0     
   1.2       42970      11668      100000      407       84568        56       82433        3        81735        3        81735        3        81735        3        81735        2        80518        2        80518        0          0     
   1.3       43783      11521      100000      385       84803        62       82841        3        82054        3        82054        3        82054        3        82054        2        80698        2        80698        0          0     
   1.4       45018      11251      100000      328       85158        30       83370        3        83004        3        83004        3        83004        2        82217        2        82217        2        82217        0          0     
   1.5       46435      11298      100000      314       85254        39       83596        3        83097        3        83097        2        82925        2        82925        2        82925        2        82925        0          0     
   1.6       48265      10726      100000      329       86191        45       84515        2        83864        2        83864        2        83864        2        83864        2        83864        2        83864        0          0     
   1.7       49875      10143      100000      177       87129        13       86158        2        86037        2        86037        2        86037        2        86037        2        86037        2        86037        0          0     
   1.8       51156       9248      100000      112       88571        6        87948        2        87904        2        87904        2        87904        2        87904        2        87904        2        87904        1        51156   
   1.9       51946       8473      100000       92       89535        5        89050        2        89017        2        89017        2        89017        2        89017        2        89017        2        89017        1        51946   
   2.0       52470       8253      100000       63       89776        5        89446        2        89415        2        89415        2        89415        2        89415        2        89415        2        89415        1        52470   
   2.1       52979       7996      100000       66       90164        6        89830        2        89776        2        89776        2        89776        2        89776        2        89776        2        89776        1        52979   
   2.2       53186       8153      100000       43       89972        2        89734        2        89734        2        89734        2        89734        2        89734        2        89734        2        89734        1        53186   
   2.3       53405       7875      100000       79       90393        6        89963        2        89921        2        89921        2        89921        2        89921        2        89921        2        89921        1        53405   
   2.4       53360       8164      100000       75       89955        4        89541        2        89515        2        89515        2        89515        2        89515        2        89515        2        89515        1        53360   
   2.5       53782       8071      100000       72       90092        2        89698        2        89698        2        89698        2        89698        2        89698        2        89698        2        89698        1        53782   
   2.6       54253       7953      100000       72       90325        5        89938        2        89906        2        89906        2        89906        2        89906        2        89906        2        89906        1        54253   
   2.7       53743       8290      100000       83       89606        3        89139        2        89129        2        89129        2        89129        2        89129        2        89129        2        89129        1        53743   
   2.8       54096       8069      100000       66       90202        6        89858        2        89811        2        89811        2        89811        2        89811        2        89811        2        89811        1        54096   
   2.9       54452       7691      100000       52       90633        4        90360        2        90339        2        90339        2        90339        2        90339        2        90339        2        90339        1        54452   
   3.0       54979       7579      100000       48       90758        3        90505        2        90494        2        90494        2        90494        2        90494        2        90494        2        90494        1        54979   
   3.1       55737       7570      100000       57       90708        4        90400        2        90372        2        90372        2        90372        2        90372        2        90372        2        90372        1        55737   
   3.2       56528       7765      100000       67       90628        3        90265        2        90248        2        90248        2        90248        2        90248        2        90248        2        90248        1        56528   
   3.3       57409       7544      100000       58       90867        3        90553        2        90543        2        90543        2        90543        2        90543        2        90543        2        90543        1        57409   
   3.4       58016       7533      100000       51       90850        2        90573        2        90573        2        90573        2        90573        2        90573        2        90573        2        90573        1        58016   
   3.5       58073       7931      100000       60       90325        2        89994        2        89994        2        89994        2        89994        2        89994        2        89994        2        89994        1        58073   
   3.6       58154       7903      100000       67       90338        6        89993        2        89950        2        89950        2        89950        2        89950        2        89950        2        89950        1        58154   
   3.7       58627       7861      100000       58       90408        2        90096        2        90096        2        90096        2        90096        2        90096        2        90096        2        90096        1        58627   
   3.8       59400       7561      100000       52       90903        5        90636        2        90597        2        90597        2        90597        2        90597        2        90597        2        90597        1        59400   
   3.9       60250       6978      100000       25       91591        2        91459        2        91459        2        91459        2        91459        2        91459        2        91459        2        91459        1        60250   
   4.0       60543       7034      100000       34       91662        3        91484        2        91474        2        91474        2        91474        2        91474        2        91474        2        91474        1        60543   
   4.1       61090       6939      100000       38       91793        3        91597        2        91587        2        91587        2        91587        2        91587        2        91587        2        91587        1        61090   
   4.2       61097       7248      100000       37       91242        2        91033        2        91033        2        91033        2        91033        2        91033        2        91033        2        91033        1        61097   
   4.3       61079       7456      100000       42       90962        2        90733        2        90733        2        90733        2        90733        2        90733        2        90733        2        90733        1        61079   
   4.4       60541       7885      100000       69       90393        3        90013        2        90003        2        90003        2        90003        2        90003        2        90003        2        90003        1        60541   
   4.5       60846       7964      100000       54       90187        3        89892        2        89882        2        89882        2        89882        2        89882        2        89882        2        89882        1        60846   
   4.6       60516       8316      100000      113       89697        14       89128        3        88939        3        88939        3        88939        3        88939        2        86166        2        86166        1        60516   
   4.7       60329       8938      100000      116       88916        6        88260        2        88216        2        88216        2        88216        2        88216        2        88216        2        88216        1        60329   
   4.8       60873       9010      100000      121       88693        9        88026        3        87960        3        87960        3        87960        3        87960        2        86892        2        86892        1        60873   
   4.9       61140       9208      100000      132       88443        6        87708        2        87656        2        87656        2        87656        2        87656        2        87656        2        87656        1        61140   
   5.0       62155       8562      100000       82       89342        5        88913        2        88873        2        88873        2        88873        2        88873        2        88873        2        88873        1        62155   
   5.1       62858       7980      100000       65       90319        4        89965        2        89943        2        89943        2        89943        2        89943        2        89943        2        89943        1        62858   
   5.2       63473       7419      100000       33       91001        2        90825        2        90825        2        90825        2        90825        2        90825        2        90825        2        90825        1        63473   
   5.3       63589       7167      100000       45       91378        2        91144        2        91144        2        91144        2        91144        2        91144        2        91144        2        91144        1        63589   
   5.4       63438       6980      100000       37       91562        3        91369        2        91359        2        91359        2        91359        2        91359        2        91359        2        91359        1        63438   
   5.5       63393       6981      100000       40       91644        3        91442        2        91431        2        91431        2        91431        2        91431        2        91431        2        91431        1        63393   
   5.6       63134       7255      100000       49       91326        3        91063        2        91052        2        91052        2        91052        2        91052        2        91052        2        91052        1        63134   
   5.7       63144       7309      100000       47       91219        3        90967        2        90951        2        90951        2        90951        2        90951        2        90951        2        90951        1        63144   
   5.8       62898       7585      100000       62       90845        6        90524        2        90482        2        90482        2        90482        2        90482        2        90482        2        90482        1        62898   
   5.9       63599       7192      100000       38       91397        2        91193        2        91193        2        91193        2        91193        2        91193        2        91193        2        91193        1        63599   
