 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       285808     637585    1000000      363       287730       1        285808       1        285808       1        285808       1        285808       1        285808       1        285808       1        285808       1        285808  
   0.2       290512     245272    1000000     31326      686754     13403      571839      691       338429       61       297546       1        290512       1        290512       1        290512       1        290512       1        290512  
   0.3       295202     244617    1000000     30757      688316     13103      574809      762       348158       66       303261       1        295202       1        295202       1        295202       1        295202       1        295202  
   0.5       299728     244498    1000000     30825      688918     13031      574195      685       347356       61       307002       1        299728       1        299728       1        299728       1        299728       1        299728  
   0.7       304051     244697    1000000     30375      688110     12825      575188      704       353223       60       311387       1        304051       1        304051       1        304051       1        304051       1        304051  
   0.8       308430     244756    1000000     30134      688123     12632      575882      689       356323       65       316118       1        308430       1        308430       1        308430       1        308430       1        308430  
   1.0       312732     245120    1000000     29605      687126     12427      576844      685       361277       74       321808       1        312732       1        312732       1        312732       1        312732       1        312732  
   1.2       317105     245651    1000000     29711      686523     12316      575099      623       361669       68       325612       1        317105       1        317105       1        317105       1        317105       1        317105  
   1.3       321325     244493    1000000     29213      687710     12101      578064      672       368831       59       328986       1        321325       1        321325       1        321325       1        321325       1        321325  
   1.5       325741     245815    1000000     29039      685750     11847      575705      646       370768       64       333471       1        325741       1        325741       1        325741       1        325741       1        325741  
   1.7       329961     244289    1000000     28889      687443     11727      576798      633       373993       61       337272       1        329961       1        329961       1        329961       1        329961       1        329961  
   1.8       334133     245457    1000000     28764      685646     11492      574804      602       377755       76       343303       1        334133       1        334133       1        334133       1        334133       1        334133  
   2.0       338072     244165    1000000     28574      687195     11544      578177      580       379315       60       345241       1        338072       1        338072       1        338072       1        338072       1        338072  
   2.2       342124     244658    1000000     28372      686630     11447      578400      574       382655       56       349119       1        342124       1        342124       1        342124       1        342124       1        342124  
   2.3       346078     245279    1000000     27924      685172     11199      577819      552       385052       50       352276       1        346078       1        346078       1        346078       1        346078       1        346078  
   2.5       349897     243968    1000000     27739      686671     11090      580044      565       390336       68       358280       1        349897       1        349897       1        349897       1        349897       1        349897  
   2.7       353911     245281    1000000     27635      684803     10897      577532      527       391536       64       361649       1        353911       1        353911       1        353911       1        353911       1        353911  
   2.8       357702     244457    1000000     27435      685947     10879      579920      513       393385       52       363874       1        357702       1        357702       1        357702       1        357702       1        357702  
   3.0       361612     243721    1000000     27327      686871     10722      580501      510       398056       57       368907       1        361612       1        361612       1        361612       1        361612       1        361612  
   3.2       365486     243782    1000000     26978      686793     10644      582322      495       400635       62       372526       1        365486       1        365486       1        365486       1        365486       1        365486  
   3.3       369405     244822    1000000     26745      685373     10342      580519      479       403235       42       374818       1        369405       1        369405       1        369405       1        369405       1        369405  
   3.5       373169     243486    1000000     26735      687102     10251      581809      476       406253       43       378328       1        373169       1        373169       1        373169       1        373169       1        373169  
   3.7       376892     243939    1000000     26192      685247     10127      582258      473       409702       42       381979       1        376892       1        376892       1        376892       1        376892       1        376892  
   3.8       380547     243744    1000000     26270      685851     10019      581811      449       412044       44       385820       1        380547       1        380547       1        380547       1        380547       1        380547  
   4.0       384380     244387    1000000     26137      685724      9857      581917      420       413731       43       389507       1        384380       1        384380       1        384380       1        384380       1        384380  
   4.2       388086     244393    1000000     25884      685012      9716      581957      413       416651       32       391938       1        388086       1        388086       1        388086       1        388086       1        388086  
   4.3       392057     243709    1000000     25543      685554      9574      583215      406       419799       33       395917       1        392057       1        392057       1        392057       1        392057       1        392057  
   4.5       395790     242141    1000000     25428      687603      9638      586528      389       422740       34       399703       1        395790       1        395790       1        395790       1        395790       1        395790  
   4.7       399372     242547    1000000     25314      686775      9451      585554      367       424769       33       403214       1        399372       1        399372       1        399372       1        399372       1        399372  
   4.8       403067     243206    1000000     24862      685888      9267      586478      384       429997       34       407445       1        403067       1        403067       1        403067       1        403067       1        403067  
   5.0       406941     242079    1000000     25002      687766      9240      587068      360       431510       31       410570       1        406941       1        406941       1        406941       1        406941       1        406941  
   5.2       410469     241747    1000000     24921      688160      9142      587273      345       434274       26       413540       1        410469       1        410469       1        410469       1        410469       1        410469  
   5.3       414097     241638    1000000     24554      687892      8977      588244      334       436764       22       416694       1        414097       1        414097       1        414097       1        414097       1        414097  
   5.5       417642     241730    1000000     24438      688315      8941      589378      320       438775       19       419760       1        417642       1        417642       1        417642       1        417642       1        417642  
   5.7       421313     242300    1000000     23985      685733      8794      588798      299       441166       18       423370       1        421313       1        421313       1        421313       1        421313       1        421313  
   5.8       424664     241672    1000000     24028      687448      8569      588752      283       444193       31       428274       1        424664       1        424664       1        424664       1        424664       1        424664  
   6.0       428285     241482    1000000     24074      688312      8560      589386      242       445332       28       431817       1        428285       1        428285       1        428285       1        428285       1        428285  
   6.2       431576     241746    1000000     23782      687873      8423      589985      271       449727       20       433839       1        431576       1        431576       1        431576       1        431576       1        431576  
   6.3       435222     240966    1000000     23624      688615      8313      591257      269       453265       19       437345       1        435222       1        435222       1        435222       1        435222       1        435222  
   6.5       438654     240705    1000000     23301      688386      8169      592045      264       456508       18       440937       1        438654       1        438654       1        438654       1        438654       1        438654  
   6.7       442216     241215    1000000     23171      687597      8043      591370      230       457810       19       444441       1        442216       1        442216       1        442216       1        442216       1        442216  
   6.8       445674     240503    1000000     22953      689146      7919      593185      221       460715       23       448163       1        445674       1        445674       1        445674       1        445674       1        445674  
   7.0       449211     240006    1000000     22897      689186      7897      593481      206       463105       18       451333       1        449211       1        449211       1        449211       1        449211       1        449211  
   7.2       452789     239442    1000000     22534      689311      7817      595510      198       465987       13       454374       1        452789       1        452789       1        452789       1        452789       1        452789  
   7.3       456189     239626    1000000     22394      688856      7592      594699      194       469110       17       458115       1        456189       1        456189       1        456189       1        456189       1        456189  
   7.5       459680     239637    1000000     22087      688530      7450      595390      200       473321       17       461512       1        459680       1        459680       1        459680       1        459680       1        459680  
   7.7       463039     239366    1000000     22043      689590      7388      596409      167       474509       18       465146       1        463039       1        463039       1        463039       1        463039       1        463039  
   7.8       466410     239139    1000000     21862      689585      7209      596440      173       477777       11       467615       1        466410       1        466410       1        466410       1        466410       1        466410  
   8.0       469903     238799    1000000     21466      689172      7062      597664      181       481807       11       471115       1        469903       1        469903       1        469903       1        469903       1        469903  
   8.2       473336     239020    1000000     21361      688702      7017      597483      149       483114       10       474426       1        473336       1        473336       1        473336       1        473336       1        473336  
   8.3       476812     238545    1000000     21016      689282      6835      599286      165       487549       12       478036       1        476812       1        476812       1        476812       1        476812       1        476812  
   8.5       480254     238543    1000000     20871      689733      6859      600816      130       488459       7        480989       1        480254       1        480254       1        480254       1        480254       1        480254  
   8.7       483793     237482    1000000     20823      691095      6608      601113      129       492733       13       485287       1        483793       1        483793       1        483793       1        483793       1        483793  
   8.8       487134     237862    1000000     20703      690488      6570      600938      118       494717       6        487713       1        487134       1        487134       1        487134       1        487134       1        487134  
   9.0       490441     237455    1000000     20238      690773      6481      603370      125       498906       9        491407       1        490441       1        490441       1        490441       1        490441       1        490441  
   9.2       493497     237236    1000000     19973      690552      6364      604255      128       502026       12       494821       1        493497       1        493497       1        493497       1        493497       1        493497  
   9.3       496845     236582    1000000     20026      691842      6297      604729      108       503872       4        497258       1        496845       1        496845       1        496845       1        496845       1        496845  
   9.5       500285     236105    1000000     19879      692535      6076      605030      107       507486       7        501103       1        500285       1        500285       1        500285       1        500285       1        500285  
   9.7       503540     236249    1000000     19358      691617      6018      607014      115       510957       8        504379       1        503540       1        503540       1        503540       1        503540       1        503540  
   9.8       506952     235633    1000000     19479      692144      5851      605990      118       514213       3        507172       1        506952       1        506952       1        506952       1        506952       1        506952  
   10.0      510288     235530    1000000     19336      693233      5783      607467       77       515154       3        510515       1        510288       1        510288       1        510288       1        510288       1        510288  
   10.2      513421     234924    1000000     19008      693286      5712      609059       87       518807       3        513655       1        513421       1        513421       1        513421       1        513421       1        513421  
   10.3      516777     233964    1000000     18816      694769      5618      611195       97       523031       5        517241       1        516777       1        516777       1        516777       1        516777       1        516777  
   10.5      520171     234212    1000000     18482      693943      5416      611778       90       525682       3        520381       1        520171       1        520171       1        520171       1        520171       1        520171  
   10.7      523407     233646    1000000     18131      694259      5369      613482       92       529561       8        524265       1        523407       1        523407       1        523407       1        523407       1        523407  
   10.8      526738     233700    1000000     17983      694269      5297      614042       66       530677       3        526946       1        526738       1        526738       1        526738       1        526738       1        526738  
   11.0      530194     232677    1000000     17850      695569      5087      614849       71       534768       4        530506       1        530194       1        530194       1        530194       1        530194       1        530194  
   11.2      533322     233546    1000000     17678      694490      5015      614662       57       536897       3        533625       1        533322       1        533322       1        533322       1        533322       1        533322  
   11.3      536638     232448    1000000     17397      695868      4902      616705       56       540084       3        536873       1        536638       1        536638       1        536638       1        536638       1        536638  
   11.5      539890     232095    1000000     17458      696760      4780      616992       51       543047       2        540005       1        539890       1        539890       1        539890       1        539890       1        539890  
   11.7      543061     231593    1000000     17154      697446      4701      618959       58       546649       1        543061       1        543061       1        543061       1        543061       1        543061       1        543061  
   11.8      546357     230638    1000000     17098      698966      4618      620320       47       549316       4        546673       1        546357       1        546357       1        546357       1        546357       1        546357  
   12.0      549432     230358    1000000     16610      698231      4548      622231       48       552359       1        549432       1        549432       1        549432       1        549432       1        549432       1        549432  
   12.2      552412     230699    1000000     16420      697822      4440      622545       40       554671       1        552412       1        552412       1        552412       1        552412       1        552412       1        552412  
   12.3      555396     230703    1000000     16257      698235      4287      623122       40       557849       3        555653       1        555396       1        555396       1        555396       1        555396       1        555396  
   12.5      558620     229951    1000000     15994      698607      4203      624156       32       560617       2        558737       1        558620       1        558620       1        558620       1        558620       1        558620  
   12.7      561681     228184    1000000     15905      701307      4201      627890       34       563879       4        562028       1        561681       1        561681       1        561681       1        561681       1        561681  
   12.8      564628     228339    1000000     15583      700582      4090      628381       28       566202       2        564729       1        564628       1        564628       1        564628       1        564628       1        564628  
   13.0      567885     227616    1000000     15408      701769      3961      629831       27       569454       1        567885       1        567885       1        567885       1        567885       1        567885       1        567885  
   13.2      571222     227174    1000000     15435      703051      3813      630058       29       572945       2        571334       1        571222       1        571222       1        571222       1        571222       1        571222  
   13.3      574486     226613    1000000     14992      703118      3780      632811       15       575469       2        574586       1        574486       1        574486       1        574486       1        574486       1        574486  
   13.5      577528     225679    1000000     14924      704503      3720      634117       22       578918       2        577648       1        577528       1        577528       1        577528       1        577528       1        577528  
   13.7      580575     225394    1000000     14633      704912      3591      635338       23       581869       2        580684       1        580575       1        580575       1        580575       1        580575       1        580575  
   13.8      583567     224865    1000000     14553      705421      3507      636330       15       584381       2        583670       1        583567       1        583567       1        583567       1        583567       1        583567  
   14.0      586602     224719    1000000     14124      705304      3336      637665       23       587930       1        586602       1        586602       1        586602       1        586602       1        586602       1        586602  
   14.2      589558     224392    1000000     13932      705914      3298      639456       26       590983       1        589558       1        589558       1        589558       1        589558       1        589558       1        589558  
   14.3      592479     223476    1000000     13807      707086      3172      640548       17       593465       1        592479       1        592479       1        592479       1        592479       1        592479       1        592479  
   14.5      595565     222173    1000000     13726      709010      3169      643268       12       596193       1        595565       1        595565       1        595565       1        595565       1        595565       1        595565  
   14.7      598650     222561    1000000     13352      708539      3035      643894       13       599403       1        598650       1        598650       1        598650       1        598650       1        598650       1        598650  
   14.8      601692     221494    1000000     13189      709667      3016      646087       7        602023       1        601692       1        601692       1        601692       1        601692       1        601692       1        601692  
   15.0      604494     221666    1000000     12975      709261      2786      645673       8        604881       1        604494       1        604494       1        604494       1        604494       1        604494       1        604494  
