 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   80.0      350276     164475    1000000     26232      793086     12742      705871      1517      485409      368       407353       3        353835       3        353835       1        350276       1        350276       1        350276  
   81.7      340945     164487    1000000     26197      792928     12752      705736      1544      484162      344       403555       4        353004       4        353004       2        348741       1        340945       1        340945  
   83.3      341280     164535    1000000     26108      791930     12588      704478      1575      486564      396       407149       4        349404       4        349404       1        341280       1        341280       1        341280  
   85.0      337573     164275    1000000     25964      792479     12654      706461      1567      488439      410       410476       6        350514       5        349945       2        342796       1        337573       1        337573  
   86.7      344407     165242    1000000     26167      791637     12799      705420      1539      482694      375       404732       6        350915       4        349816       1        344407       1        344407       1        344407  
   88.3      338707     165235    1000000     26350      791472     12917      704431      1518      479828      372       402404       5        348191       4        347682       1        338707       1        338707       1        338707  
   90.0      338752     165924    1000000     26205      789821     12727      702735      1608      484125      371       401483       8        349243       5        347175       1        338752       1        338752       1        338752  
   91.7      335676     165588    1000000     26418      790666     12804      702564      1560      480198      362       399379       7        347534       5        346391       1        335676       1        335676       1        335676  
   93.3      331995     165725    1000000     26478      790661     12890      702869      1617      480852      357       396323       7        343957       6        343298       2        337250       1        331995       1        331995  
   95.0      278109     165765    1000000     26340      790603     12933      703869      1581      481639      360       398334       11       347936       10       347421       4        329695       3        322927       1        278109  
   96.7      318227     165501    1000000     26335      791621     12905      704953      1593      482089      358       397864       9        346765       7        345705       3        335282       2        329826       1        318227  
   98.3      319122     166018    1000000     26264      790308     12863      703848      1612      480764      392       399378       11       343559       9        342332       2        324377       1        319122       1        319122  
  100.0      315945     166115    1000000     26416      790224     12836      702308      1614      481326      397       399936       10       343318       9        342426       3        326477       1        315945       1        315945  
  101.7      324985     165340    1000000     26259      790519     12902      704232      1656      483076      376       396991       8        342959       7        342452       2        330680       1        324985       1        324985  
  103.3      318661     166474    1000000     26612      790476     12925      702114      1594      479253      379       397211       10       344660       8        343493       2        324347       1        318661       1        318661  
  105.0      328322     166558    1000000     26552      789990     13042      702510      1552      476483      375       397398       9        343566       5        341090       1        328322       1        328322       1        328322  
  106.7      320340     166817    1000000     26438      788920     12807      700698      1594      480683      385       398957       9        343623       8        342951       3        331440       1        320340       1        320340  
  108.3      291322     167066    1000000     26704      789271     12928      700430      1612      477817      414       398722       10       340806       8        339206       2        323088       2        323088       1        291322  
  110.0      263415     167305    1000000     26767      789172     13057      700800      1577      477326      409       398642       12       341000       8        337952       4        328009       3        322452       1        263415  
  111.7      325270     167415    1000000     26806      789031     12955      699506      1552      475005      379       396665       9        342026       5        339191       2        330875       1        325270       1        325270  
  113.3      312697     167351    1000000     26689      788618     13106      700892      1600      473258      366       390823       8        338428       7        337861       4        329856       1        312697       1        312697  
  115.0      275228     166375    1000000     26693      790221     12866      700862      1618      478757      385       395640       9        339762       6        337932       2        325539       2        325539       2        325539  
  116.7      251929     167278    1000000     26575      788757     12992      700979      1604      477664      415       397932       15       339326       10       335966       3        316023       3        316023       1        251929  
  118.3      293118     167025    1000000     26715      789759     13006      701244      1625      476903      391       393798       11       339107       7        336361       3        323668       3        323668       1        293118  
  120.0      293025     167382    1000000     26827      788608     13019      699454      1566      472677      375       392150       10       338960       9        338096       4        322115       2        309974       1        293025  
  121.7      277857     166846    1000000     26787      789275     13055      700717      1599      473136      376       391128       12       336578       10       335155       5        321330       3        308943       1        277857  
  123.3      287803     167076    1000000     26430      788909     13027      702086      1629      476196      402       393337       9        336439       8        335789       3        319658       3        319658       1        287803  
  125.0      302238     167204    1000000     26746      789999     13050      701253      1634      475519      396       392559       9        337309       8        336518       4        323367       2        312533       1        302238  
  126.7      307737     166922    1000000     26793      789612     12965      700253      1658      478389      408       394492       10       337710       7        335066       3        319924       1        307737       1        307737  
  128.3      319299     167752    1000000     26755      788328     12912      698843      1604      476070      399       394224       9        338416       5        335976       2        325450       1        319299       1        319299  
  130.0      322639     167540    1000000     26717      788506     12951      699498      1608      476263      406       394622       9        338387       5        335510       2        327663       1        322639       1        322639  
  131.7      315978     167306    1000000     26708      788755     13095      700441      1593      475596      389       394358       9        339132       5        336187       3        326998       1        315978       1        315978  
  133.3      305165     167013    1000000     26964      789016     12985      698525      1600      475922      390       394162       10       338404       7        336385       3        320868       1        305165       1        305165  
  135.0      225191     167503    1000000     26691      788587     13063      700434      1611      474762      388       392506       7        336823       7        336823       4        326522       3        321436       2        279482  
  136.7      188978     166681    1000000     26618      789458     12945      700963      1592      475617      421       397001       6        336795       5        336144       4        331480       3        326285       2        311983  
  138.3      299797     167664    1000000     26731      789120     13108      701023      1614      474077      409       392760       8        334296       6        332507       4        324035       1        299797       1        299797  
  140.0      308801     167938    1000000     26795      788535     12997      699191      1607      473068      399       392577       8        335634       6        334218       3        320385       1        308801       1        308801  
  141.7      273688     168172    1000000     26910      787598     13134      698684      1601      470355      363       387177       14       335350       12       334105       7        316958       3        294768       1        273688  
  143.3      237755     167890    1000000     26901      787904     13194      699163      1617      472152      392       389292       13       333941       10       331826       7        320071       4        302818       1        237755  
  145.0      308639     167559    1000000     26982      788511     13151      699081      1583      471300      415       392712       9        332479       6        330321       3        319172       1        308639       1        308639  
  146.7      201824     167222    1000000     26734      788590     13051      700333      1625      475556      428       395094       12       332660       9        330044       5        317354       2        296638       2        296638  
  148.3      192842     168069    1000000     26701      787378     13019      699235      1622      473631      400       390801       10       333351       9        332459       5        319433       3        304471       2        271166  
  150.0      252320     167693    1000000     26600      787941     13155      700932      1600      473231      411       392794       14       332985       10       330139       5        310403       2        287292       1        252320  
  151.7      212162     167700    1000000     26631      787839     13000      699758      1628      475952      436       394863       13       333405       11       332028       7        316660       5        305394       1        212162  
  153.3      303574     167713    1000000     26828      788369     13134      699910      1636      473681      386       388558       12       333363       7        330194       3        314740       1        303574       1        303574  
  155.0      267537     167093    1000000     26700      789283     13030      701123      1653      475702      404       391604       12       333521       8        331053       5        320158       3        308846       1        267537  
  156.7      292182     167444    1000000     26769      788931     12945      699712      1619      474940      411       393699       10       335731       4        331823       3        328118       2        322091       1        292182  
  158.3      201507     168268    1000000     26653      787227     12981      698873      1641      475247      430       393691       17       332430       13       329706       7        309616       6        303507       1        201507  
  160.0      238614     167628    1000000     26775      787972     13143      699997      1605      473689      408       392379       8        331786       6        330643       4        322250       3        316943       2        291916  
  161.7      276636     168027    1000000     26908      787567     13158      698774      1598      470158      397       388790       10       332299       7        330097       5        321590       3        307254       1        276636  
  163.3      218141     168469    1000000     26862      787260     13016      697924      1634      472850      411       390852       15       332209       12       330228       9        317035       6        293685       1        218141  
  165.0      232435     167981    1000000     26772      787590     13110      699416      1644      472731      392       388159       16       332988       13       330904       7        308201       3        281346       1        232435  
  166.7      270367     167643    1000000     26874      787972     13166      699702      1622      471816      395       388965       11       332242       8        330300       6        322789       4        311494       1        270367  
  168.3      262700     168184    1000000     26819      787569     13027      698634      1649      474274      395       389175       12       333289       10       331869       7        318435       3        289573       1        262700  
  170.0      295426     168437    1000000     26980      787630     13048      697660      1665      474761      406       389892       8        332981       6        331572       3        318080       2        312064       1        295426  
  171.7      208118     168028    1000000     26655      787788     13070      700215      1678      474239      411       389133       15       332068       13       330962       8        310527       6        299474       1        208118  
  173.3      128303     168531    1000000     26929      786829     13076      697618      1660      474020      424       390272       16       329891       16       329891       10       307610       8        295984       1        128303  
  175.0      184791     168159    1000000     26764      787776     12963      698446      1662      474565      414       390080       12       331746       9        330023       7        321384       6        315437       1        184791  
  176.7      238379     167944    1000000     27018      788835     13065      698778      1612      472830      421       392699       8        331447       6        330102       3        316882       3        316882       2        292030  
  178.3      163308     167710    1000000     26918      788393     13182      699283      1630      472431      412       389547       12       330077       11       329160       10       325110       9        319010       1        163308  
  180.0      204434     168998    1000000     26984      786305     13113      696643      1637      471762      402       387448       9        328422       8        327780       5        314363       4        308472       2        256871  
  181.7      227276     168650    1000000     27118      787640     13223      697697      1599      468736      419       388940       14       330981       10       328563       6        312399       5        306643       1        227276  
  183.3      224476     168931    1000000     27048      786665     13152      696653      1633      469182      387       385593       8        329236       7        328682       4        315146       3        309354       2        284602  
  185.0      124436     168000    1000000     26718      787632     13062      699392      1682      474427      417       389700       13       330118       12       329543       7        310631       6        304892       2        242827  
  186.7      181074     168479    1000000     26936      787787     13188      698899      1673      470712      381       384155       13       329136       12       328360       9        314709       6        293073       1        181074  
  188.3      232800     168460    1000000     26982      787149     13177      697947      1595      470079      414       390257       7        331252       5        329989       5        329989       5        329989       1        232800  
  190.0      128458     168529    1000000     26885      787322     13227      699060      1632      471049      421       389712       12       331800       10       330631       9        325727       6        308406       1        128458  
  191.7      130013     168434    1000000     26933      787657     13186      698738      1658      470810      399       385400       15       329943       14       329428       12       320981       7        292055       2        211738  
  193.3      166701     168619    1000000     27073      787819     13204      698078      1642      470828      435       390195       13       330139       11       329100       8        317321       6        304756       2        226561  
  195.0      165412     168208    1000000     26805      787329     13017      698313      1682      474279      430       390475       13       329774       11       328634       9        320569       5        296857       2        235589  
  196.7      231341     168860    1000000     27098      786916     13125      696680      1670      470675      403       385457       16       328986       12       326658       8        311031       4        288233       1        231341  
  198.3      185813     168217    1000000     26921      787350     13174      698265      1652      470947      433       389422       13       327689       12       327148       9        313949       7        302899       1        185813  
  200.0      154515     169070    1000000     27222      786819     13311      696731      1612      465983      399       384894       11       327912       10       327352       9        322460       6        305042       2        228289  
  201.7      114886     169275    1000000     26888      786196     13001      696262      1604      470572      420       390109       14       329471       11       327673       8        316832       5        299198       2        209219  
  203.3      219529     168466    1000000     26949      787658     13118      698118      1656      471864      432       389225       13       328343       12       327554       8        314718       5        296157       1        219529  
  205.0      113466     168599    1000000     26929      787050     13096      697596      1645      472389      396       387526       12       329249       11       328717       10       325093       7        308272       2        188407  
  206.7      199170     169285    1000000     27059      786140     13176      696286      1680      469972      382       381861       10       327024       10       327024       8        318407       6        305265       1        199170  
  208.3      230275     168999    1000000     27019      787106     13270      698239      1597      467822      406       387531       12       327865       12       327865       8        315441       5        296573       1        230275  
  210.0      123921     168530    1000000     26859      786926     13218      698982      1683      470721      400       384675       14       327935       14       327935       9        311977       6        292992       2        186296  
  211.7      186175     169187    1000000     26960      786464     13188      697378      1650      469339      413       385462       12       327743       12       327743       9        320774       8        314649       1        186175  
  213.3      206898     168635    1000000     27049      787290     13335      698720      1624      467672      403       385884       8        328687       8        328687       3        313548       3        313548       2        273397  
  215.0      218540     168485    1000000     27029      787763     13249      698878      1671      470463      399       385135       9        328485       9        328485       7        322507       5        308652       1        218540  
  216.7      123595     168738    1000000     27231      787555     13259      697364      1642      468371      400       384880       9        327185       9        327185       5        314841       4        308857       2        239529  
