 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         13       79367      100000      461        2578        4          44         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        2755      10044      100000      1452      87556       729       82941       209       72808       130       67274        41       48048        18       30810        0          0          0          0          0          0     
   0.2        4148      10242      100000      1533      87342       779       82568       186       70528       112       65308        35       46548        19       34323        0          0          0          0          0          0     
   0.3        5849      10421      100000      1537      87180       834       82652       198       69719       112       63677        31       47319        21       40105        1         5849        0          0          0          0     
   0.4        7136      11070      100000      1664      86172       869       80990       176       67067        95       61382        30       48711        15       37649        2        12425        0          0          0          0     
   0.5        7351      11802      100000      1794      85270       936       79698       210       65228       114       58652        22       40341        15       34776        1         7351        0          0          0          0     
   0.6       15371      12560      100000      2002      84334       1012      77981       215       61897       116       54818        17       36446        6        29093        1        15371        1        15371        0          0     
   0.7       19871      14157      100000      2223      82271       1085      74890       165       57167        66       50389        7        40329        7        40329        2        26505        1        19871        0          0     
