 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         29       548516    1000000     32786      218887      3310      39514        0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   1.7        211       219270    1000000     41451      735796     23684      619965      2415      173341      266       32910        0          0          0          0          0          0          0          0          0          0     
   3.3        363       210215    1000000     34668      741740     19372      642761      3672      302725      759       104207       0          0          0          0          0          0          0          0          0          0     
   5.0        433       207579    1000000     32451      742474     17749      647805      3908      353347      1159      164192       0          0          0          0          0          0          0          0          0          0     
   6.7        559       205690    1000000     31091      744176     16887      652779      3911      380376      1362      204080       1         559         0          0          0          0          0          0          0          0     
   8.3        574       205178    1000000     30437      743858     16177      652280      3873      397651      1485      231656       4         2133        0          0          0          0          0          0          0          0     
   10.0       548       204482    1000000     30180      744473     16075      653696      3774      400463      1514      243139       2         1074        0          0          0          0          0          0          0          0     
   11.7       610       205190    1000000     30257      743368     15772      650328      3676      402761      1559      255269       4         2266        0          0          0          0          0          0          0          0     
   13.3       646       204214    1000000     29793      744218     15479      652352      3682      411487      1539      261079       7         4038        0          0          0          0          0          0          0          0     
   15.0       684       204697    1000000     29837      743229     15474      650922      3538      408059      1560      269984       7         4002        0          0          0          0          0          0          0          0     
   16.7       772       204799    1000000     29392      742981     15276      652069      3503      413697      1568      278817       8         4931        0          0          0          0          0          0          0          0     
   18.3       742       203586    1000000     29302      744296     15208      653707      3543      417772      1559      279720       11        6409        0          0          0          0          0          0          0          0     
   20.0       824       203666    1000000     29152      744072     15160      654166      3444      415126      1565      284766       13        7473        0          0          0          0          0          0          0          0     
   21.7       827       203615    1000000     29341      744104     15138      652839      3507      418284      1547      282501       13        8144        0          0          0          0          0          0          0          0     
   23.3       849       204537    1000000     29370      743518     15148      651997      3431      416887      1515      283229       18       10555        0          0          0          0          0          0          0          0     
   25.0       701       203847    1000000     29325      744199     15189      653369      3450      415923      1554      284188       12        6928        0          0          0          0          0          0          0          0     
   26.7       927       204398    1000000     29330      743214     15148      652097      3310      409959      1492      282480       21       12720        0          0          0          0          0          0          0          0     
   28.3       630       203241    1000000     29294      745260     14990      653165      3369      419097      1548      292701       18       10122        0          0          0          0          0          0          0          0     
   30.0       884       203344    1000000     28894      744703     14859      654597      3410      424801      1529      293640       27       16338        0          0          0          0          0          0          0          0     
   31.7       689       204010    1000000     28936      743086     14894      652664      3354      419064      1534      291576       28       16031        0          0          0          0          0          0          0          0     
   33.3       931       204342    1000000     29292      743545     14966      651549      3355      416282      1569      292455       24       14540        0          0          0          0          0          0          0          0     
   35.0       1107      204258    1000000     29274      743617     14779      650199      3411      421984      1535      291474       20       12959        1         1107        0          0          0          0          0          0     
   36.7       931       204228    1000000     29222      743176     14885      650910      3340      417033      1512      289487       22       13186        0          0          0          0          0          0          0          0     
   38.3       872       203695    1000000     29072      743965     14825      652250      3357      421357      1505      291432       23       14143        0          0          0          0          0          0          0          0     
   40.0       897       204380    1000000     29032      743301     14845      652050      3286      418778      1526      296017       30       17593        0          0          0          0          0          0          0          0     
   41.7       808       204417    1000000     29217      743711     14843      651410      3361      420643      1513      293021       27       16290        0          0          0          0          0          0          0          0     
   43.3       896       204077    1000000     28889      743934     14736      652781      3344      423543      1579      301268       30       18031        0          0          0          0          0          0          0          0     
   45.0       783       204275    1000000     29073      742997     14861      651417      3302      418852      1523      295114       23       13703        0          0          0          0          0          0          0          0     
   46.7       1139      204270    1000000     29024      743230     14785      651692      3332      421608      1556      297899       32       19597        1         1139        0          0          0          0          0          0     
   48.3       1043      204184    1000000     28910      743152     14808      652212      3268      417817      1524      296813       39       23741        1         1043        0          0          0          0          0          0     
   50.0       842       203080    1000000     28836      743986     14790      653726      3299      421190      1535      298439       28       16906        0          0          0          0          0          0          0          0     
   51.7       958       203019    1000000     28776      744914     14786      655014      3253      422250      1528      301284       40       24641        0          0          0          0          0          0          0          0     
   53.3       960       204315    1000000     29006      742806     14738      650922      3293      419442      1489      293653       47       29513        0          0          0          0          0          0          0          0     
   55.0       1266      204817    1000000     29276      742551     14871      649922      3359      419846      1496      290833       45       27710        2         2393        0          0          0          0          0          0     
   56.7       896       204390    1000000     29230      743255     14905      651016      3370      417185      1495      288129       26       15464        0          0          0          0          0          0          0          0     
   58.3       848       204314    1000000     29161      743111     14907      651632      3350      418429      1518      290704       33       19538        0          0          0          0          0          0          0          0     
   60.0       1112      203183    1000000     28898      744446     14873      654082      3339      422381      1529      296457       36       22657        1         1112        0          0          0          0          0          0     
   61.7       1090      204608    1000000     29065      742853     14770      650892      3312      420994      1515      297413       38       23039        1         1090        0          0          0          0          0          0     
   63.3       1094      204013    1000000     29075      744110     14988      653480      3305      418780      1468      291224       42       27439        2         2107        0          0          0          0          0          0     
   65.0       1076      204548    1000000     29165      742860     14885      651407      3317      417077      1481      288956       31       19136        2         2117        0          0          0          0          0          0     
   66.7       1100      203649    1000000     28872      743975     14686      652872      3307      424558      1525      301436       33       21949        2         2189        0          0          0          0          0          0     
   68.3       1068      204121    1000000     29188      743801     14877      651876      3273      418491      1505      295463       31       19763        1         1068        0          0          0          0          0          0     
   70.0       795       204649    1000000     28919      742295     14671      650625      3292      420966      1553      300805       29       17764        0          0          0          0          0          0          0          0     
   71.7       899       203973    1000000     29085      743591     14769      651611      3267      420633      1479      297054       38       22955        0          0          0          0          0          0          0          0     
   73.3       910       204144    1000000     28943      743522     14797      652606      3236      417951      1508      297915       37       22929        0          0          0          0          0          0          0          0     
   75.0       911       203775    1000000     29067      744813     14758      652804      3338      422568      1504      296093       42       25750        0          0          0          0          0          0          0          0     
   76.7       1183      203867    1000000     28967      743885     14766      652560      3307      421062      1504      295943       41       25236        1         1183        0          0          0          0          0          0     
   78.3       1022      204098    1000000     28897      743494     14705      652154      3347      422165      1512      295177       40       24378        1         1022        0          0          0          0          0          0     
   80.0       1079      203901    1000000     28912      742947     14759      651937      3279      419817      1456      293494       44       28878        1         1079        0          0          0          0          0          0     
   81.7       816       203897    1000000     29117      743827     14962      652721      3272      418604      1450      291808       47       29098        0          0          0          0          0          0          0          0     
   83.3       971       204269    1000000     28874      743054     14744      652289      3276      422334      1486      298588       36       24071        0          0          0          0          0          0          0          0     
   85.0       855       203344    1000000     28861      744584     14685      653700      3319      425104      1508      300397       42       26406        0          0          0          0          0          0          0          0     
   86.7       1220      203889    1000000     28628      743436     14595      653305      3309      426462      1498      301030       41       26933        4         4391        0          0          0          0          0          0     
   88.3       933       203930    1000000     28885      743290     14594      651511      3323      423576      1488      296984       39       23381        0          0          0          0          0          0          0          0     
   90.0       940       203593    1000000     28773      744037     14706      653408      3258      422690      1483      299454       43       25997        0          0          0          0          0          0          0          0     
   91.7       964       203530    1000000     28991      744337     14797      653085      3290      422390      1474      297179       46       29316        0          0          0          0          0          0          0          0     
   93.3       1316      204382    1000000     28898      743057     14647      651542      3256      423807      1484      301330       51       31279        1         1316        0          0          0          0          0          0     
   95.0       1020      203508    1000000     28668      743855     14533      652987      3262      426018      1486      303531       65       40941        2         2031        0          0          0          0          0          0     
   96.7       1110      203378    1000000     29044      745198     14852      654268      3219      420384      1483      300483       42       27356        1         1110        0          0          0          0          0          0     
   98.3       1216      203630    1000000     28900      744718     14489      652382      3246      424564      1469      301717       45       30483        1         1216        0          0          0          0          0          0     
  100.0       1015      203603    1000000     29043      744700     14744      652780      3270      420228      1455      295583       45       28547        1         1015        0          0          0          0          0          0     
  101.7       1054      203053    1000000     28648      744829     14730      655386      3263      423723      1512      302852       53       32873        2         2065        0          0          0          0          0          0     
  103.3       1226      203899    1000000     28774      743649     14749      653611      3239      421539      1466      297971       48       30498        1         1226        0          0          0          0          0          0     
  105.0       970       203741    1000000     28852      743673     14734      652698      3270      421994      1473      297629       42       26981        0          0          0          0          0          0          0          0     
  106.7       1015      203694    1000000     28926      743773     14767      652767      3270      422043      1486      298974       47       30628        1         1015        0          0          0          0          0          0     
  108.3       1053      203375    1000000     28976      744920     14609      652507      3249      424151      1450      299596       52       33773        2         2077        0          0          0          0          0          0     
  110.0       1303      203984    1000000     28729      743529     14571      652700      3242      425620      1506      304973       56       37608        6         7000        0          0          0          0          0          0     
  111.7       1163      203978    1000000     28648      742851     14598      652453      3300      424223      1493      298415       41       27935        5         5449        0          0          0          0          0          0     
  113.3       1132      203302    1000000     28704      744515     14551      653317      3291      425242      1468      299275       53       33949        2         2192        0          0          0          0          0          0     
  115.0       1282      203540    1000000     28836      744243     14618      652984      3253      423947      1435      297086       49       32765        2         2328        0          0          0          0          0          0     
  116.7       1109      203114    1000000     28631      744094     14570      653999      3220      425947      1461      303184       56       37323        2         2217        0          0          0          0          0          0     
  118.3       1564      203610    1000000     28900      744266     14636      652892      3263      425324      1423      297615       54       35427        3         3791        0          0          0          0          0          0     
  120.0       1146      203797    1000000     28865      743449     14624      652131      3225      421265      1430      297111       50       32633        2         2195        0          0          0          0          0          0     
  121.7       998       203750    1000000     28829      744345     14641      653144      3184      422138      1421      300072       62       38654        0          0          0          0          0          0          0          0     
  123.3       1127      203882    1000000     28544      743347     14458      652730      3187      426413      1478      307640       64       42371        2         2225        0          0          0          0          0          0     
  125.0       1507      204378    1000000     28782      743183     14624      652269      3161      421132      1433      301352       56       35891        2         2628        0          0          0          0          0          0     
  126.7       1096      204132    1000000     28751      742933     14438      650816      3188      423706      1488      305520       49       32541        2         2143        0          0          0          0          0          0     
  128.3       1079      203627    1000000     28795      743875     14609      652840      3245      424567      1454      300803       54       33945        1         1079        0          0          0          0          0          0     
  130.0       984       204157    1000000     29065      743993     14641      651306      3210      422192      1484      302401       45       28047        0          0          0          0          0          0          0          0     
  131.7       1318      203830    1000000     29133      744370     14656      651335      3211      421849      1468      300371       47       30383        2         2436        0          0          0          0          0          0     
  133.3       960       203148    1000000     28844      744535     14572      652795      3226      423806      1474      302323       48       29961        0          0          0          0          0          0          0          0     
  135.0       937       203884    1000000     28694      743332     14605      652710      3228      424759      1484      303406       52       32865        0          0          0          0          0          0          0          0     
  136.7       1042      204394    1000000     28858      743037     14779      652464      3190      419201      1451      299031       47       29818        1         1042        0          0          0          0          0          0     
  138.3       1015      203666    1000000     28858      744323     14790      654035      3235      423134      1436      298009       54       33224        1         1015        0          0          0          0          0          0     
  140.0       1283      203451    1000000     28800      744100     14545      652529      3262      426486      1498      303765       51       32939        1         1283        0          0          0          0          0          0     
  141.7       1231      203497    1000000     28742      744393     14625      653656      3201      423450      1451      303074       44       29282        3         3611        0          0          0          0          0          0     
  143.3       1135      203691    1000000     28581      743329     14569      653295      3237      426540      1534      308379       57       35145        1         1135        0          0          0          0          0          0     
  145.0       1006      203099    1000000     28924      744910     14773      653559      3266      423330      1468      299083       52       32273        1         1006        0          0          0          0          0          0     
  146.7       1185      203793    1000000     28959      743927     14671      652091      3216      420641      1455      298028       43       29082        4         4246        0          0          0          0          0          0     
  148.3       976       203714    1000000     28831      743632     14610      652056      3188      420647      1505      303605       44       28223        0          0          0          0          0          0          0          0     
  150.0       1130      203896    1000000     28945      744505     14769      653418      3227      420594      1428      295372       49       31710        1         1130        0          0          0          0          0          0     
  151.7       901       204078    1000000     29103      743962     14830      652350      3280      419093      1503      296219       49       30555        0          0          0          0          0          0          0          0     
  153.3       1114      204215    1000000     28898      743239     14763      652440      3253      421716      1484      299608       41       26387        1         1114        0          0          0          0          0          0     
  155.0       998       203704    1000000     28866      743447     14640      651938      3229      421921      1493      301582       50       31289        0          0          0          0          0          0          0          0     
  156.7       1201      203847    1000000     29062      743479     14929      652805      3237      416284      1467      294427       48       30935        2         2243        0          0          0          0          0          0     
  158.3       1391      204366    1000000     29348      743608     14874      650513      3202      416550      1456      296330       41       27440        2         2537        0          0          0          0          0          0     
  160.0       1071      204250    1000000     28961      743033     14672      651191      3205      419784      1451      298737       52       33749        1         1071        0          0          0          0          0          0     
  161.7       1721      203968    1000000     28921      743770     14637      651669      3234      423406      1468      301401       59       40219        2         3040        0          0          0          0          0          0     
  163.3       1495      203302    1000000     28783      743585     14668      652693      3283      422727      1486      297934       43       27967        3         3649        0          0          0          0          0          0     
  165.0       984       203491    1000000     28722      744078     14713      653821      3239      422306      1496      301689       54       33345        0          0          0          0          0          0          0          0     
  166.7       1819      203314    1000000     28947      744114     14682      652629      3276      423727      1496      299947       40       26550        1         1819        0          0          0          0          0          0     
  168.3       1129      203619    1000000     28870      743799     14668      652716      3256      423412      1466      298828       52       32562        2         2145        0          0          0          0          0          0     
  170.0       1027      204020    1000000     28657      743126     14652      653143      3260      422669      1464      297708       52       33281        1         1027        0          0          0          0          0          0     
  171.7       1306      203797    1000000     28752      742696     14613      651905      3262      423763      1513      302233       48       31886        3         3431        0          0          0          0          0          0     
  173.3       866       203822    1000000     28669      743199     14706      653363      3209      421822      1498      302803       49       29624        0          0          0          0          0          0          0          0     
  175.0       1141      203346    1000000     28744      744650     14615      653753      3224      423993      1523      305836       45       30253        1         1141        0          0          0          0          0          0     
  176.7       1640      203567    1000000     28884      743995     14585      652320      3257      423486      1504      302271       47       29777        1         1640        0          0          0          0          0          0     
  178.3       1298      203323    1000000     28832      744271     14556      652732      3182      424550      1521      309102       47       30666        1         1298        0          0          0          0          0          0     
  180.0       1028      203795    1000000     28624      743577     14672      653803      3241      421793      1435      296298       57       37775        2         2029        0          0          0          0          0          0     
  181.7       1016      204724    1000000     28887      742925     14561      651057      3225      422875      1471      301049       50       32033        1         1016        0          0          0          0          0          0     
  183.3       1157      204141    1000000     28961      743070     14760      651773      3297      421039      1454      293422       43       28105        3         3257        0          0          0          0          0          0     
  185.0       1227      203440    1000000     28941      744531     14770      653397      3297      422331      1482      296203       41       27566        2         2261        0          0          0          0          0          0     
  186.7       973       203334    1000000     28747      744221     14698      653893      3360      424884      1466      294517       47       29741        0          0          0          0          0          0          0          0     
  188.3       1126      204076    1000000     28663      742882     14815      653728      3285      419567      1470      294949       44       29157        2         2194        0          0          0          0          0          0     
  190.0       1203      203579    1000000     29016      744935     14880      653927      3259      419658      1451      294241       51       32833        2         2338        0          0          0          0          0          0     
  191.7       983       204214    1000000     28791      742657     14803      652718      3261      420335      1487      296372       42       26659        0          0          0          0          0          0          0          0     
  193.3       1588      203985    1000000     28772      743359     14725      652979      3282      423647      1498      300217       38       25063        1         1588        0          0          0          0          0          0     
  195.0       1492      203222    1000000     28849      744722     14601      653060      3287      425107      1492      301003       49       32059        1         1492        0          0          0          0          0          0     
  196.7       1131      203438    1000000     28906      744401     14791      653855      3241      422062      1496      301656       49       31325        3         3223        0          0          0          0          0          0     
  198.3       1252      204432    1000000     29063      742869     14654      650786      3264      422246      1481      298543       47       30657        3         3488        0          0          0          0          0          0     
  200.0       1191      204424    1000000     28988      743141     14681      650878      3264      420960      1459      295844       49       31500        1         1191        0          0          0          0          0          0     
  201.7       1374      204542    1000000     28895      742693     14742      651738      3291      420103      1508      296183       43       28928        3         3722        0          0          0          0          0          0     
  203.3       1233      204006    1000000     28910      743886     14571      651526      3265      423850      1498      302133       51       33554        4         4403        0          0          0          0          0          0     
  205.0       1350      203588    1000000     28925      744194     14648      652671      3307      425735      1478      299063       49       31629        2         2483        0          0          0          0          0          0     
  206.7       1140      203749    1000000     28741      743649     14663      653129      3255      424618      1479      300779       53       35092        3         3259        0          0          0          0          0          0     
  208.3       1034      203706    1000000     28732      743762     14591      652502      3302      425828      1521      301643       35       22092        1         1034        0          0          0          0          0          0     
