 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         5        94226      100000       5          25         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        245       27239      100000      4246      65522       2038      51176       189       15788        44        6047        0          0          0          0          0          0          0          0          0          0     
   0.2        314       27381      100000      4240      65300       1969      50595       201       15784        33        4595        0          0          0          0          0          0          0          0          0          0     
   0.3        187       27625      100000      4347      65144       2034      50247       191       14682        32        4095        0          0          0          0          0          0          0          0          0          0     
   0.4        236       27327      100000      4313      65611       2071      51102       187       14621        29        3896        0          0          0          0          0          0          0          0          0          0     
   0.5        314       27194      100000      4259      65609       1991      50854       213       16234        32        4594        0          0          0          0          0          0          0          0          0          0     
   0.6        192       27570      100000      4318      65354       2034      50573       197       15287        43        5430        0          0          0          0          0          0          0          0          0          0     
   0.7        183       27526      100000      4300      65254       2059      50779       206       15472        24        3185        0          0          0          0          0          0          0          0          0          0     
   0.8        266       27370      100000      4373      65630       2064      50725       186       14237        27        3551        0          0          0          0          0          0          0          0          0          0     
   0.9        263       27327      100000      4245      65476       2018      51043       195       16097        45        6171        0          0          0          0          0          0          0          0          0          0     
   1.0        233       27291      100000      4350      65706       2030      50753       192       14644        27        3641        0          0          0          0          0          0          0          0          0          0     
   1.1        210       27520      100000      4305      65204       2006      50353       202       16112        41        5184        0          0          0          0          0          0          0          0          0          0     
   1.2        267       27114      100000      4196      65620       1977      51268       205       16589        45        5916        0          0          0          0          0          0          0          0          0          0     
   1.3        235       27347      100000      4334      65687       2075      51119       202       15392        23        3436        0          0          0          0          0          0          0          0          0          0     
   1.4        238       27471      100000      4337      65450       2034      50499       177       14092        34        4656        0          0          0          0          0          0          0          0          0          0     
   1.5        291       27363      100000      4293      65425       1999      50704       195       15905        35        4957        0          0          0          0          0          0          0          0          0          0     
   1.6        216       27415      100000      4247      65480       2033      51212       204       16178        47        5825        0          0          0          0          0          0          0          0          0          0     
   1.7        220       27373      100000      4294      65336       2019      50550       197       15628        35        4772        0          0          0          0          0          0          0          0          0          0     
   1.8        205       27238      100000      4277      65585       1992      50799       196       15613        40        4968        0          0          0          0          0          0          0          0          0          0     
   1.9        244       27321      100000      4227      65308       2019      50989       193       15216        36        4776        0          0          0          0          0          0          0          0          0          0     
   2.0        191       27463      100000      4198      65044       2005      50955       206       16290        46        5543        0          0          0          0          0          0          0          0          0          0     
   2.1        167       27509      100000      4313      65346       2038      50655       203       15227        35        4322        0          0          0          0          0          0          0          0          0          0     
   2.2        261       27356      100000      4292      65376       2083      51065       178       13942        31        4323        0          0          0          0          0          0          0          0          0          0     
   2.3        202       27542      100000      4277      65246       2053      50705       195       15066        37        4907        0          0          0          0          0          0          0          0          0          0     
   2.4        281       27276      100000      4314      65599       2054      51149       209       16459        39        5167        0          0          0          0          0          0          0          0          0          0     
   2.5        252       27136      100000      4200      65575       1994      51279       194       15771        40        5301        0          0          0          0          0          0          0          0          0          0     
   2.6        255       27221      100000      4285      65664       2033      51051       199       15499        34        4595        0          0          0          0          0          0          0          0          0          0     
   2.7        225       27341      100000      4251      65569       2056      51376       187       14936        32        4313        0          0          0          0          0          0          0          0          0          0     
   2.8        198       27490      100000      4335      65296       2068      50691       194       14645        31        3827        0          0          0          0          0          0          0          0          0          0     
   2.9        219       27394      100000      4283      65438       2056      50982       193       14435        22        2968        0          0          0          0          0          0          0          0          0          0     
   3.0        294       27187      100000      4289      65664       2004      50967       189       15393        39        5496        0          0          0          0          0          0          0          0          0          0     
   3.1        225       27414      100000      4360      65566       2100      51027       172       13313        26        3551        0          0          0          0          0          0          0          0          0          0     
   3.2        233       27358      100000      4180      65282       2050      51534       196       15672        40        5375        0          0          0          0          0          0          0          0          0          0     
   3.3        276       27725      100000      4335      64907       2080      50408       186       14275        30        4113        0          0          0          0          0          0          0          0          0          0     
   3.4        308       27395      100000      4300      65487       2037      50756       175       14571        36        5117        0          0          0          0          0          0          0          0          0          0     
   3.5        264       27448      100000      4280      65388       2042      51097       179       15017        43        5862        0          0          0          0          0          0          0          0          0          0     
   3.6        165       27181      100000      4337      65795       2095      51226       179       13951        32        3949        0          0          0          0          0          0          0          0          0          0     
   3.7        293       27315      100000      4375      65691       2012      50378       194       15473        35        4846        0          0          0          0          0          0          0          0          0          0     
   3.8        294       27588      100000      4313      65350       2016      50525       182       14424        34        4702        0          0          0          0          0          0          0          0          0          0     
   3.9        196       27234      100000      4330      65729       2042      50935       196       15055        35        4420        0          0          0          0          0          0          0          0          0          0     
   4.0        292       27413      100000      4220      65243       2001      50979       186       15977        38        5859        0          0          0          0          0          0          0          0          0          0     
   4.1        275       27522      100000      4387      65305       2072      50292       186       14056        24        3226        0          0          0          0          0          0          0          0          0          0     
   4.2        272       27383      100000      4293      65513       2028      50855       193       15241        39        5199        0          0          0          0          0          0          0          0          0          0     
   4.3        266       27413      100000      4252      65363       2055      51060       187       14814        39        5321        0          0          0          0          0          0          0          0          0          0     
   4.4        273       27585      100000      4279      65282       2043      50793       199       15440        30        3975        0          0          0          0          0          0          0          0          0          0     
   4.5        252       27469      100000      4322      65429       2030      50622       192       15182        40        5063        0          0          0          0          0          0          0          0          0          0     
   4.6        292       27463      100000      4205      65267       2034      51129       203       15707        38        4681        0          0          0          0          0          0          0          0          0          0     
   4.7        185       27373      100000      4323      65601       2064      50981       196       14760        28        3641        0          0          0          0          0          0          0          0          0          0     
   4.8        239       27596      100000      4286      65158       2029      50578       195       14779        28        3738        0          0          0          0          0          0          0          0          0          0     
   4.9        227       27447      100000      4312      65642       2029      50856       191       14771        38        4830        0          0          0          0          0          0          0          0          0          0     
   5.0        236       27143      100000      4314      65759       2047      51163       195       15257        44        5473        0          0          0          0          0          0          0          0          0          0     
   5.1        224       27292      100000      4282      65613       2007      50844       188       15463        49        6233        0          0          0          0          0          0          0          0          0          0     
   5.2        353       27195      100000      4222      65618       1976      51006       206       16522        42        5669        0          0          0          0          0          0          0          0          0          0     
   5.3        343       27033      100000      4293      65685       2021      50988       201       15481        27        3861        0          0          0          0          0          0          0          0          0          0     
   5.4        209       27396      100000      4341      65586       2020      50616       192       15089        35        4667        0          0          0          0          0          0          0          0          0          0     
   5.5        233       27564      100000      4373      65391       2096      50640       194       14759        28        3525        0          0          0          0          0          0          0          0          0          0     
   5.6        198       27264      100000      4300      65466       2029      50835       200       15749        40        5127        0          0          0          0          0          0          0          0          0          0     
   5.7        240       27379      100000      4257      65413       2022      51007       200       15208        32        4312        0          0          0          0          0          0          0          0          0          0     
   5.8        206       27394      100000      4322      65664       2010      50707       211       15834        30        3821        0          0          0          0          0          0          0          0          0          0     
   5.9        275       27336      100000      4283      65376       2004      50653       185       15541        43        6091        0          0          0          0          0          0          0          0          0          0     
   6.0        200       27298      100000      4288      65500       2039      50977       199       15488        33        4318        0          0          0          0          0          0          0          0          0          0     
   6.1        224       27342      100000      4281      65293       2064      50979       194       14824        24        3234        0          0          0          0          0          0          0          0          0          0     
   6.2        324       27507      100000      4316      65428       2034      50564       189       14954        32        4597        0          0          0          0          0          0          0          0          0          0     
   6.3        232       27281      100000      4286      65695       2039      51190       191       14730        28        3564        0          0          0          0          0          0          0          0          0          0     
   6.4        285       27275      100000      4335      65591       2056      50869       193       14815        23        3276        0          0          0          0          0          0          0          0          0          0     
   6.5        185       27583      100000      4372      65407       2081      50650       185       13367        24        2967        0          0          0          0          0          0          0          0          0          0     
   6.6        208       27327      100000      4279      65462       1988      50687       188       14863        32        4459        0          0          0          0          0          0          0          0          0          0     
   6.7        289       27439      100000      4309      65510       2014      50746       200       15826        34        4663        0          0          0          0          0          0          0          0          0          0     
   6.8        264       27492      100000      4239      65079       2053      50983       181       14693        35        4956        0          0          0          0          0          0          0          0          0          0     
   6.9        268       27285      100000      4232      65608       2031      51351       212       16076        35        4362        0          0          0          0          0          0          0          0          0          0     
   7.0        172       27319      100000      4288      65397       2022      50732       206       16233        38        4811        0          0          0          0          0          0          0          0          0          0     
   7.1        227       27236      100000      4231      65419       2009      51076       185       14748        37        4952        0          0          0          0          0          0          0          0          0          0     
   7.2        232       27334      100000      4380      65630       2069      50700       171       13206        26        3557        0          0          0          0          0          0          0          0          0          0     
   7.3        203       27254      100000      4286      65745       2074      51439       180       14453        31        4320        0          0          0          0          0          0          0          0          0          0     
   7.4        270       27530      100000      4303      65191       2081      50892       185       14414        27        4181        0          0          0          0          0          0          0          0          0          0     
   7.5        323       27362      100000      4292      65498       2050      51074       196       15045        28        3851        0          0          0          0          0          0          0          0          0          0     
   7.6        332       27528      100000      4280      65221       2055      50820       190       14233        21        3066        0          0          0          0          0          0          0          0          0          0     
   7.7        309       27510      100000      4382      65569       2054      50429       182       14844        32        4433        0          0          0          0          0          0          0          0          0          0     
   7.8        323       27415      100000      4278      65410       2037      50895       197       15047        30        4078        0          0          0          0          0          0          0          0          0          0     
   7.9        218       27272      100000      4287      65620       2040      50916       197       14675        29        3755        0          0          0          0          0          0          0          0          0          0     
