 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         9        85676      100000      149        800         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        2175      13121      100000      2153      83689       1174      77408       289       59642       163       50901        22       21040        6        10203        0          0          0          0          0          0     
   0.2        2272      12935      100000      2109      84034       1129      77657       301       60662       167       51257        26       23358        5         8185        0          0          0          0          0          0     
   0.3        1578      13133      100000      2213      83934       1182      77292       294       59146       161       49929        24       20558        8         9889        0          0          0          0          0          0     
   0.4        1806      13278      100000      2217      83593       1260      77456       325       57994       152       45819        19       17732        7         9332        0          0          0          0          0          0     
   0.5        2901      13428      100000      2222      83441       1206      76915       310       58537       165       48430        22       20776        6         9855        0          0          0          0          0          0     
   0.6        5552      13711      100000      2301      83138       1240      76364       298       57606       163       48290        20       19981        4         9886        1         5552        0          0          0          0     
   0.7        9211      13945      100000      2359      82715       1254      75590       302       56167       158       46108        15       18325        2        10343        1         9211        0          0          0          0     
   0.8       12334      14540      100000      2454      81807       1321      74506       297       53250       133       42006        13       19687        1        12334        1        12334        1        12334        0          0     
   0.9       16763      15261      100000      2661      81189       1406      73152       275       49914       117       38853        3        18304        1        16763        1        16763        1        16763        0          0     
