 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   5.2       40330      12440      100000      162       84886        11       84035        3        83938        3        83938        3        83938        3        83938        3        83938        3        83938        0          0     
   5.3       40328      12568      100000      127       84649        9        83978        3        83911        3        83911        3        83911        3        83911        3        83911        3        83911        0          0     
   5.4       40367      12585      100000      137       84593        10       83849        3        83775        3        83775        3        83775        3        83775        3        83775        3        83775        0          0     
   5.5       40388      12665      100000      154       84447        10       83631        3        83547        3        83547        3        83547        3        83547        3        83547        2        73601        0          0     
   5.6       40313      12899      100000      161       84210        8        83315        3        83257        3        83257        3        83257        3        83257        3        83257        2        73450        0          0     
   5.7       40332      12711      100000      139       84247        8        83479        3        83422        3        83422        3        83422        3        83422        3        83422        2        73604        0          0     
   5.8       40269      12979      100000      159       84006        7        83134        3        83093        3        83093        3        83093        3        83093        3        83093        2        73407        0          0     
   5.9       40218      13050      100000      155       83766        11       82948        3        82855        3        82855        3        82855        3        82855        3        82855        2        73295        0          0     
   6.0       40093      13185      100000      152       83638        11       82821        3        82734        3        82734        3        82734        3        82734        3        82734        2        73304        0          0     
   6.1       39936      13316      100000      164       83490        11       82615        3        82516        3        82516        3        82516        3        82516        3        82516        2        73295        0          0     
   6.2       40190      13168      100000      153       83695        7        82870        3        82828        3        82828        3        82828        3        82828        3        82828        2        73743        0          0     
   6.3       40367      13001      100000      141       83807        13       83065        3        82950        3        82950        3        82950        3        82950        3        82950        2        73943        0          0     
   6.4       40642      12840      100000      144       84060        10       83312        3        83235        3        83235        3        83235        3        83235        3        83235        2        74402        0          0     
   6.5       40926      12809      100000      149       84174        7        83325        3        83282        3        83282        3        83282        3        83282        3        83282        2        74839        0          0     
   6.6       41020      12805      100000      145       84150        11       83376        3        83284        3        83284        3        83284        3        83284        3        83284        2        74905        0          0     
   6.7       41283      12681      100000      155       84311        8        83475        3        83409        3        83409        3        83409        3        83409        3        83409        2        75242        0          0     
   6.8       41303      12815      100000      140       84097        11       83358        3        83266        3        83266        3        83266        3        83266        3        83266        2        75165        0          0     
