 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   5.5        8179      100000       95       89921        9        89420        3        89355        3        89355        3        89355        3        89355        3        89355        3        89355        0          0     
   5.6        8200      100000       93       89945        6        89445        3        89413        3        89413        3        89413        3        89413        3        89413        3        89413        0          0     
   5.7        8383      100000       88       89616        5        89146        2        89113        2        89113        2        89113        2        89113        2        89113        2        89113        1        67539   
   5.8        8342      100000       88       89759        4        89293        2        89269        2        89269        2        89269        2        89269        2        89269        2        89269        1        67587   
   5.9        8132      100000       77       90002        6        89590        2        89534        2        89534        2        89534        2        89534        2        89534        2        89534        1        67840   
   6.0        7862      100000       59       90429        4        90108        2        90086        2        90086        2        90086        2        90086        2        90086        2        90086        1        68346   
   6.1        7681      100000       76       90603        3        90186        2        90165        2        90165        2        90165        2        90165        2        90165        2        90165        1        68418   
   6.2        7763      100000       76       90512        7        90118        2        90058        2        90058        2        90058        2        90058        2        90058        2        90058        1        68315   
   6.3        7910      100000       77       90416        2        89989        1        89978        1        89978        1        89978        1        89978        1        89978        1        89978        1        89978   
   6.4        7992      100000       69       90208        4        89843        2        89820        2        89820        2        89820        2        89820        2        89820        2        89820        1        68610   
   6.5        7993      100000       58       90230        4        89921        2        89901        2        89901        2        89901        2        89901        2        89901        2        89901        1        68621   
   6.6        8007      100000       83       90137        5        89690        2        89658        2        89658        2        89658        2        89658        2        89658        2        89658        1        68676   
   6.7        8028      100000       84       90207        6        89756        1        89698        1        89698        1        89698        1        89698        1        89698        1        89698        1        89698   
   6.8        7876      100000       59       90371        2        90037        1        90027        1        90027        1        90027        1        90027        1        90027        1        90027        1        90027   
   6.9        7592      100000       60       90767        1        90418        1        90418        1        90418        1        90418        1        90418        1        90418        1        90418        1        90418   
   7.0        7382      100000       57       91084        2        90765        2        90765        2        90765        2        90765        2        90765        2        90765        2        90765        1        70176   
   7.1        7453      100000       60       91011        8        90727        2        90661        2        90661        2        90661        2        90661        2        90661        2        90661        1        70161   
   7.2        7552      100000       60       90861        3        90528        2        90516        2        90516        2        90516        2        90516        2        90516        2        90516        1        70224   
   7.3        7552      100000       61       90886        6        90569        2        90526        2        90526        2        90526        2        90526        2        90526        2        90526        1        70302   
   7.4        7692      100000       79       90620        7        90198        2        90140        2        90140        2        90140        2        90140        2        90140        2        90140        1        70043   
   7.5        8054      100000       86       90122        6        89659        2        89616        2        89616        2        89616        2        89616        2        89616        2        89616        1        69679   
   7.6        8369      100000       85       89704        5        89255        2        89218        2        89218        2        89218        2        89218        2        89218        2        89218        1        69297   
   7.7        8108      100000       69       89926        3        89532        2        89522        2        89522        2        89522        2        89522        2        89522        2        89522        1        69442   
   7.8        8108      100000       65       90104        3        89748        2        89734        2        89734        2        89734        2        89734        2        89734        2        89734        1        69561   
   7.9        8122      100000       75       90006        4        89599        2        89578        2        89578        2        89578        2        89578        2        89578        2        89578        1        69587   
   8.0        7973      100000       86       90222        10       89790        1        89683        1        89683        1        89683        1        89683        1        89683        1        89683        1        89683   
   8.1        8026      100000       83       90240        6        89796        1        89732        1        89732        1        89732        1        89732        1        89732        1        89732        1        89732   
   8.2        8064      100000       79       90137        1        89693        1        89693        1        89693        1        89693        1        89693        1        89693        1        89693        1        89693   
   8.3        7884      100000       60       90369        2        90032        1        90019        1        90019        1        90019        1        90019        1        90019        1        90019        1        90019   
   8.4        7604      100000       65       90779        1        90397        1        90397        1        90397        1        90397        1        90397        1        90397        1        90397        1        90397   
   8.5        7683      100000       59       90731        1        90405        1        90405        1        90405        1        90405        1        90405        1        90405        1        90405        1        90405   
   8.6        7660      100000       75       90701        4        90298        2        90277        2        90277        2        90277        2        90277        2        90277        2        90277        1        70024   
   8.7        7782      100000       52       90539        4        90258        2        90236        2        90236        2        90236        2        90236        2        90236        2        90236        1        70139   
   8.8        7640      100000       64       90681        4        90347        2        90327        2        90327        2        90327        2        90327        2        90327        2        90327        1        70272   
   8.9        7778      100000       85       90480        4        90006        2        89986        2        89986        2        89986        2        89986        2        89986        2        89986        1        70216   
   9.0        8057      100000       90       90136        8        89660        2        89596        2        89596        2        89596        2        89596        2        89596        2        89596        1        70097   
   9.1        8373      100000       69       89618        5        89241        2        89200        2        89200        2        89200        2        89200        2        89200        2        89200        1        70131   
   9.2        8229      100000       78       89886        4        89447        2        89422        2        89422        2        89422        2        89422        2        89422        2        89422        1        70461   
   9.3        7983      100000       71       90290        5        89909        2        89879        2        89879        2        89879        2        89879        2        89879        2        89879        1        70910   
   9.4        7922      100000       92       90281        10       89799        2        89711        2        89711        2        89711        2        89711        2        89711        2        89711        1        71205   
   9.5        7896      100000       70       90383        4        90013        2        89988        2        89988        2        89988        2        89988        2        89988        2        89988        1        71670   
   9.6        7947      100000       62       90364        6        90037        2        89993        2        89993        2        89993        2        89993        2        89993        2        89993        1        72046   
   9.7        7945      100000       53       90275        4        89982        2        89961        2        89961        2        89961        2        89961        2        89961        2        89961        1        72442   
   9.8        8036      100000       73       90104        3        89698        2        89687        2        89687        2        89687        2        89687        2        89687        2        89687        1        72797   
   9.9        7869      100000       85       90365        7        89911        2        89852        2        89852        2        89852        2        89852        2        89852        2        89852        1        73307   
   10.0       7752      100000       69       90482        4        90105        2        90081        2        90081        2        90081        2        90081        2        90081        2        90081        1        74050   
   10.1       7875      100000       63       90426        7        90108        2        90055        2        90055        2        90055        2        90055        2        90055        2        90055        1        74767   
   10.2       7749      100000       63       90548        6        90220        2        90167        2        90167        2        90167        2        90167        2        90167        2        90167        1        75470   
   10.3       7517      100000       59       90843        3        90518        2        90507        2        90507        2        90507        2        90507        2        90507        2        90507        1        75921   
   10.4       7528      100000       63       90826        5        90501        2        90471        2        90471        2        90471        2        90471        2        90471        2        90471        1        76223   
   10.5       7759      100000       67       90541        5        90170        2        90132        2        90132        2        90132        2        90132        2        90132        2        90132        1        76432   
   10.6       7783      100000       76       90417        7        90021        2        89952        2        89952        2        89952        2        89952        2        89952        2        89952        1        76781   
   10.7       7952      100000       70       90266        4        89892        2        89869        2        89869        2        89869        2        89869        2        89869        2        89869        1        76938   
   10.8       7847      100000       75       90400        5        90003        2        89969        2        89969        2        89969        2        89969        2        89969        2        89969        1        77450   
   10.9       8148      100000       82       89953        6        89508        2        89464        2        89464        2        89464        2        89464        2        89464        2        89464        1        77480   
   11.0       8075      100000       74       90088        2        89670        2        89670        2        89670        2        89670        2        89670        2        89670        2        89670        1        77998   
   11.1       7781      100000       70       90488        2        90110        2        90110        2        90110        2        90110        2        90110        2        90110        2        90110        1        78694   
   11.2       7787      100000       62       90426        5        90091        2        90059        2        90059        2        90059        2        90059        2        90059        2        90059        1        79217   
   11.3       7772      100000       74       90557        6        90154        2        90104        2        90104        2        90104        2        90104        2        90104        2        90104        1        79853   
   11.4       8062      100000       97       90157        9        89641        3        89560        3        89560        3        89560        2        88828        2        88828        1        80531        1        80531   
