 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         19       69190      100000      1471       9064        75        863         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1       80243       9844      100000      485       87597       175       85628        21       82811        9        81876        1        80243        1        80243        1        80243        1        80243        1        80243   
   0.2       80320      10259      100000      529       87114       166       84865        14       82168        7        81648        2        80872        1        80320        1        80320        1        80320        1        80320   
   0.3       79622      10322      100000      548       87054       187       84796        23       82153        10       81135        1        79622        1        79622        1        79622        1        79622        1        79622   
   0.4       78114      10742      100000      594       86535       186       83960        24       81084        6        79878        2        78701        1        78114        1        78114        1        78114        1        78114   
   0.5       74177      10664      100000      597       86584       219       84161        26       80673        11       79718        6        78820        3        77061        1        74177        1        74177        1        74177   
   0.6       69558      10638      100000      652       86756       212       83963        31       80791        14       79617        5        77874        4        77152        2        74606        1        69558        1        69558   
   0.7       76086      10965      100000      630       86297       241       83875        30       80201        14       79210        2        76762        1        76086        1        76086        1        76086        1        76086   
   0.8       70681      10887      100000      688       86393       234       83551        35       80080        20       79063        5        76033        2        73790        1        70681        1        70681        1        70681   
   0.9       65271      10925      100000      659       86340       247       83750        28       79831        15       78912        5        76835        3        75170        2        74145        1        65271        1        65271   
   1.0       75528      10948      100000      663       86310       233       83641        23       79829        12       79080        4        77639        1        75528        1        75528        1        75528        1        75528   
   1.1       51014      10992      100000      701       86180       270       83460        25       79042        16       78462        10       77144        6        74523        4        71531        1        51014        1        51014   
   1.2       71888      11070      100000      669       86013       225       83212        25       79704        11       78839        4        77675        3        76970        1        71888        1        71888        1        71888   
   1.3       71834      10996      100000      667       86277       222       83451        25       79955        8        78841        3        77802        2        76945        2        76945        1        71834        1        71834   
   1.4       76637      11330      100000      699       85746       260       82990        21       78827        9        78079        1        76637        1        76637        1        76637        1        76637        1        76637   
   1.5       73631      11238      100000      636       85831       206       83141        23       79944        11       79168        4        77996        3        77005        1        73631        1        73631        1        73631   
   1.6       71897      11440      100000      607       85360       238       83050        21       79073        9        78319        2        77118        2        77118        2        77118        1        71897        1        71897   
   1.7       70461      11557      100000      653       85387       246       82797        27       78853        11       77816        3        76359        2        75672        2        75672        1        70461        1        70461   
   1.8       68100      11544      100000      657       85442       245       82918        26       78972        13       78106        7        77041        3        74305        1        68100        1        68100        1        68100   
   1.9       33371      11447      100000      736       85703       245       82592        28       78807        15       77875        6        75956        5        75306        4        70799        2        59250        0          0     
   2.0       71619      11830      100000      708       85321       236       82333        24       78502        12       77733        3        76060        3        76060        1        71619        1        71619        1        71619   
   2.1       59623      11472      100000      730       85571       250       82525        29       78655        14       77654        5        75935        5        75935        3        71902        1        59623        1        59623   
   2.2       59433      11682      100000      715       85288       265       82474        30       78372        19       77563        6        75314        5        74604        2        65669        1        59433        1        59433   
   2.3       47127      11666      100000      713       85309       259       82439        33       78453        14       77116        8        75615        6        74036        3        66494        2        59838        0          0     
   2.4       22443      12012      100000      742       84889       259       81845        35       77905        15       76626        9        75541        7        74174        3        64415        3        64415        0          0     
   2.5       38381      12015      100000      714       84888       254       82032        31       78208        20       77493        10       75397        8        74284        4        64949        1        38381        0          0     
   2.6       72842      12035      100000      699       84760       262       81967        24       77814        9        76796        3        75423        2        74843        1        72842        1        72842        1        72842   
   2.7       59563      12056      100000      759       84719       275       81708        30       77522        17       76682        6        74534        6        74534        2        65779        1        59563        1        59563   
   2.8       62302      12247      100000      753       84536       257       81414        25       77174        11       76213        4        74769        3        74216        2        72118        1        62302        1        62302   
   2.9       60524      12424      100000      737       84229       259       81201        28       77030        15       76172        5        74078        3        72504        2        70361        1        60524        1        60524   
   3.0       61637      12155      100000      700       84515       258       81712        24       77483        11       76645        5        75397        5        75397        2        68290        1        61637        1        61637   
   3.1       72265      12118      100000      766       84785       278       81717        23       77126        8        76094        4        75447        2        73875        1        72265        1        72265        1        72265   
   3.2       38759      12203      100000      740       84654       272       81694        27       77303        15       76533        7        74767        7        74767        4        64549        2        50673        0          0     
   3.3       69295      12348      100000      736       84396       267       81449        19       77131        9        76421        4        75763        3        75214        1        69295        1        69295        1        69295   
   3.4       68251      12347      100000      732       84361       239       81221        18       77456        8        76769        2        75191        2        75191        2        75191        1        68251        1        68251   
   3.5       60139      12350      100000      744       84587       253       81492        28       77481        14       76617        6        75176        5        74296        2        67212        1        60139        1        60139   
   3.6       67630      12223      100000      720       84533       229       81431        20       77830        9        77068        3        76065        3        76065        2        72870        1        67630        1        67630   
   3.7       64299      12401      100000      746       84336       234       81074        18       77174        10       76599        5        75822        3        74215        2        71481        1        64299        1        64299   
   3.8       59915      12324      100000      679       84423       262       81786        22       77602        6        76553        5        76388        4        75598        3        73072        1        59915        1        59915   
   3.9       67306      12365      100000      737       84517       246       81412        20       77365        8        76585        4        76087        2        74563        2        74563        1        67306        1        67306   
   4.0       34365      12549      100000      761       84233       242       80941        15       76826        8        76409        4        75659        3        74827        3        74827        3        74827        0          0     
   4.1       64507      12512      100000      764       84110       249       80863        16       76778        6        76124        4        75681        3        74810        2        72675        1        64507        1        64507   
   4.2       40134      12528      100000      777       84237       258       80992        16       76983        8        76477        5        75811        4        74945        3        71821        2        66723        0          0     
   4.3       39595      12526      100000      750       84230       257       81155        20       77083        11       76510        8        75925        7        75059        4        65474        1        39595        0          0     
   4.4       39267      12583      100000      754       84018       247       80818        16       76989        8        76494        5        75792        5        75792        3        68993        2        59795        0          0     
   4.5       27186      12465      100000      799       84422       260       81061        15       76644        10       76296        8        75621        8        75621        6        71358        2        43204        0          0     
   4.6       25032      12657      100000      734       84133       265       81165        18       76878        11       76442        7        75240        7        75240        6        73556        2        46926        0          0     
   4.7       21986      12542      100000      766       84229       245       80971        18       77184        11       76761        6        75322        6        75322        5        70561        3        60075        0          0     
   4.8       44686      12871      100000      744       83679       228       80386        20       76938        11       76350        6        75118        6        75118        4        67754        1        44686        0          0     
   4.9       57120      12772      100000      725       83814       240       80704        18       77044        8        76261        5        75692        5        75692        3        71330        1        57120        1        57120   
   5.0       32139      12674      100000      784       84021       263       80724        18       76433        9        75858        7        75470        6        74844        4        70479        2        56356        0          0     
   5.1       57906      12592      100000      728       84180       245       81109        18       77093        9        76545        6        76047        4        74884        3        72190        1        57906        1        57906   
   5.2       39816      12719      100000      730       83952       240       80869        14       77101        9        76800        7        76560        6        75804        5        73653        2        52769        0          0     
   5.3       33422      12577      100000      725       84167       244       81129        18       77363        11       76882        8        76456        8        76456        5        67103        2        45669        0          0     
   5.4       28234      12700      100000      777       83868       248       80537        21       76650        13       76139        10       75792        8        74510        4        60390        2        45964        0          0     
   5.5       33246      12920      100000      769       83744       242       80421        15       76526        11       76275        9        76039        9        76039        5        63826        1        33246        0          0     
   5.6       42528      12670      100000      754       84050       224       80700        17       77210        10       76719        8        76207        7        75559        3        63084        2        57877        0          0     
   5.7       35143      12673      100000      712       84102       233       81113        19       77509        15       77227        12       76721        10       75333        4        58450        1        35143        0          0     
   5.8       45025      12618      100000      751       84122       242       80889        18       76875        11       76385        8        76008        6        74770        3        65746        2        60327        0          0     
   5.9       48372      12825      100000      696       83782       229       80823        19       77144        11       76568        8        76173        6        75030        2        63766        2        63766        0          0     
