 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   86.7      290994    1000000     37742      614073     13125      456419      153       243454       12       234912       8        234458       8        234458       5        226181       4        216194       1        149798  
   88.3      290857    1000000     37797      614232     13141      456540      138       242888       11       235087       8        234727       8        234727       5        226584       5        226584       1        150146  
   90.0      291546    1000000     37902      612993     12961      453604      159       244738       11       235722       9        235464       9        235464       6        227484       6        227484       1        129563  
   91.7      290724    1000000     37569      614002     13183      457575      131       243574       13       236431       7        235794       7        235794       4        228015       4        228015       1        186729  
   93.3      289757    1000000     37608      616409     13153      459708      172       245993       11       236611       8        236297       8        236297       5        228579       5        228579       1        151148  
   95.0      290653    1000000     37586      614625     13027      457433      163       245675       11       236629       9        236421       9        236421       6        229024       6        229024       1        130419  
   96.7      290823    1000000     37573      614133     13156      457510      159       246171       11       237226       9        237002       9        237002       6        229754       6        229754       1        130746  
   98.3      291307    1000000     37600      613309     12918      455008      161       246955       10       237927       8        237664       8        237664       5        230633       5        230633       1        144555  
  100.0      290518    1000000     37286      614225     13016      458237      169       248093       10       238511       9        238402       9        238402       6        231432       6        231432       1        131379  
  101.7      290316    1000000     37117      612934     13011      458685      191       249400       14       238882       9        238342       8        237435       6        231674       6        231674       1        131324  
  103.3      290522    1000000     37198      613499     12930      458068      165       247948       11       238966       9        238754       8        237898       6        232085       6        232085       1        131329  
  105.0      291224    1000000     37654      613145     12932      454914      141       246543       11       238943       9        238729       8        237997       6        232305       6        232305       1        131244  
  106.7      290122    1000000     37698      615213     13036      457177      138       246750       10       239151       7        238781       6        238130       4        232572       4        232572       1        182027  
  108.3      290697    1000000     37329      613667     12972      457310      170       249059       9        239378       8        239255       7        238671       5        233207       5        233207       1        168924  
  110.0      289902    1000000     37316      615802     12993      459988      163       249440       10       240196       7        239513       7        239513       5        234111       5        234111       1        149748  
  111.7      290307    1000000     37071      613916     12776      458216      178       250895       12       240689       7        239881       7        239881       5        234644       5        234644       1        169709  
  113.3      290035    1000000     37148      614513     12920      459619      181       250956       13       240938       6        240090       6        240090       4        234820       4        234820       1        192504  
  115.0      290264    1000000     37287      614618     12940      458551      154       249572       10       240653       7        240317       7        240317       5        235175       5        235175       1        169877  
  116.7      290218    1000000     37042      614302     12931      459864      178       250968       7        240895       6        240788       6        240788       4        235720       4        235720       1        193060  
  118.3      289814    1000000     37098      615075     12925      460120      179       251510       8        241271       7        241171       7        241171       5        236127       5        236127       1        154878  
  120.0      290947    1000000     37195      613637     12750      457100      145       250157       9        241920       6        241567       6        241567       4        236467       4        236467       1        164357  
  121.7      290219    1000000     37268      615041     12915      459148      152       250677       10       242060       7        241680       7        241680       5        236535       5        236535       1        170715  
  123.3      290466    1000000     37073      613683     12731      457729      152       250842       8        242198       6        241993       6        241993       5        240179       5        240179       1        170817  
  125.0      290243    1000000     37157      614774     12783      458263      173       252342       8        242381       6        242165       6        242165       4        237065       4        237065       1        194031  
  126.7      290910    1000000     37100      613483     12852      458186      141       251156       8        243094       7        242977       7        242977       5        237940       5        237940       2        194867  
  128.3      290929    1000000     37029      613630     12725      458155      139       251632       7        243471       7        243471       7        243471       5        238549       5        238549       2        195389  
  130.0      290594    1000000     36993      613850     12782      458441      142       252072       9        244096       6        243714       6        243714       4        238865       4        238865       1        186793  
  131.7      291126    1000000     36956      612646     12656      457326      155       253228       10       244481       8        244250       8        244250       6        239417       6        239417       2        172818  
  133.3      291346    1000000     36958      612540     12665      457051      157       253869       10       245000       8        244788       8        244788       6        239981       6        239981       2        173329  
  135.0      291066    1000000     36975      613600     12716      458411      151       253679       9        245187       7        244955       7        244955       5        240341       5        240341       2        197034  
  136.7      290050    1000000     36993      614449     12649      458571      158       255024       10       246065       7        245741       7        245741       5        241123       5        241123       2        197606  
  138.3      291074    1000000     36946      613179     12574      457217      152       254462       6        245821       4        245612       4        245612       3        244218       3        244218       2        233280  
  140.0      291137    1000000     36961      612703     12626      457133      116       252930       7        246158       5        245932       5        245932       3        241284       3        241284       2        230385  
  141.7      291078    1000000     36885      613011     12607      457336      134       254304       8        246714       6        246498       6        246498       4        241841       4        241841       2        207281  
  143.3      291183    1000000     36721      612319     12500      457111      129       253948       7        246640       6        246523       6        246523       4        241963       4        241963       2        216360  
  145.0      291353    1000000     36861      612779     12548      457137      140       255186       7        247164       5        246952       5        246952       4        245617       4        245617       2        215946  
  146.7      290829    1000000     36910      613455     12614      457701      120       254244       4        247247       4        247247       4        247247       3        246045       3        246045       1        216187  
  148.3      291424    1000000     36915      612340     12490      455823      147       255714       6        247305       5        247173       4        246234       4        246234       4        246234       2        216241  
  150.0      291083    1000000     36764      613397     12606      458513      131       255177       10       247963       7        247632       6        246737       6        246737       6        246737       2        174973  
  151.7      291113    1000000     36748      612566     12416      456734      149       256619       7        248037       5        247801       4        246986       4        246986       4        246986       1        202583  
  153.3      290352    1000000     36858      613886     12562      458563      140       256379       8        248527       5        248179       4        247419       4        247419       4        247419       1        189532  
  155.0      291004    1000000     36641      613577     12572      459501      134       256427       5        248604       4        248503       3        247833       3        247833       3        247833       1        217399  
  156.7      290309    1000000     36860      614400     12438      458139      122       256262       7        249397       4        249004       3        248503       3        248503       3        248503       1        217851  
  158.3      290652    1000000     36646      613391     12496      458496      135       257093       7        249526       3        248848       3        248848       3        248848       3        248848       1        217918  
  160.0      291842    1000000     36509      611008     12386      456449      159       258515       4        249295       3        249183       3        249183       3        249183       3        249183       1        218168  
  161.7      289918    1000000     36660      614069     12506      459472      163       259103       5        249596       4        249494       4        249494       3        246357       3        246357       1        215267  
  163.3      290363    1000000     36635      614967     12526      460899      144       259027       7        250749       3        250328       3        250328       3        250328       3        250328       1        219230  
  165.0      290191    1000000     36681      614588     12503      459803      129       258212       5        250610       4        250496       4        250496       4        250496       4        250496       1        205157  
  166.7      290205    1000000     36621      613585     12553      459630      131       258074       4        250652       4        250652       4        250652       3        247533       3        247533       1        216190  
  168.3      291355    1000000     36433      612283     12490      459373      114       257940       4        251380       3        251245       3        251245       3        251245       3        251245       1        219640  
  170.0      290492    1000000     36552      614019     12465      460054      129       259222       8        252074       4        251640       4        251640       4        251640       4        251640       1        205830  
  171.7      290414    1000000     36455      612623     12461      459265      147       260635       7        252440       4        252118       4        252118       3        249018       3        249018       1        217387  
  173.3      291560    1000000     36416      612487     12293      458373      142       261044       6        252831       4        252613       4        252613       3        249581       3        249581       1        217806  
  175.0      290442    1000000     36334      613335     12315      459698      138       260290       5        252594       4        252494       4        252494       3        249495       3        249495       1        217653  
  176.7      290337    1000000     36361      614046     12310      460468      128       260588       5        253232       4        253128       4        253128       3        250086       3        250086       1        218162  
  178.3      290761    1000000     36385      613088     12219      458340      134       261281       5        253539       4        253438       4        253438       3        250405       3        250405       1        218469  
  180.0      290618    1000000     36286      612838     12317      459474      125       260738       5        253455       3        253231       3        253231       2        250302       2        250302       1        238041  
  181.7      290650    1000000     36391      613683     12431      460655      138       261423       5        253607       3        253394       3        253394       2        250692       2        250692       1        238473  
  183.3      291012    1000000     36302      612309     12219      458128      146       262003       6        253853       4        253628       4        253628       3        250969       3        250969       1        224035  
