 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       345646     463809    1000000      6463      382815      116       346867       1        345646       1        345646       1        345646       1        345646       1        345646       1        345646       1        345646  
   1.7       345310     196418    1000000     31374      748541     14235      637760      598       383017       16       347026       1        345310       1        345310       1        345310       1        345310       1        345310  
   3.3       345160     195576    1000000     30691      748913     13745      639236      749       395853       53       351279       1        345160       1        345160       1        345160       1        345160       1        345160  
   5.0       344531     195764    1000000     30749      749383     13588      638522      785       398980       72       353073       1        344531       1        344531       1        344531       1        344531       1        344531  
   6.7       343887     195666    1000000     30497      749004     13559      639921      815       400725       68       352174       1        343887       1        343887       1        343887       1        343887       1        343887  
   8.3       342813     196765    1000000     30564      747435     13672      638710      789       396833       66       350619       1        342813       1        342813       1        342813       1        342813       1        342813  
   10.0      341647     196130    1000000     30603      748985     13682      639636      812       397777       63       349583       1        341647       1        341647       1        341647       1        341647       1        341647  
   11.7      340102     196644    1000000     30624      748134     13736      638843      799       396546       75       349384       1        340102       1        340102       1        340102       1        340102       1        340102  
   13.3      338713     196995    1000000     30454      746667     13669      638335      856       398936       84       349191       1        338713       1        338713       1        338713       1        338713       1        338713  
   15.0      337190     197331    1000000     30889      747334     13621      635773      819       395845       79       347187       1        337190       1        337190       1        337190       1        337190       1        337190  
   16.7      335696     198086    1000000     30707      745345     13700      635422      824       394252       91       346718       1        335696       1        335696       1        335696       1        335696       1        335696  
   18.3      333801     198051    1000000     31064      746203     13648      633662      806       391480       81       343840       1        333801       1        333801       1        333801       1        333801       1        333801  
   20.0      331576     198300    1000000     30840      745428     13733      635150      847       391945       95       343296       1        331576       1        331576       1        331576       1        331576       1        331576  
   21.7      330592     198983    1000000     31129      745047     13799      633067      812       388280       86       341237       1        330592       1        330592       1        330592       1        330592       1        330592  
   23.3      329167     198736    1000000     30998      745272     13763      634132      877       391992       96       340998       1        329167       1        329167       1        329167       1        329167       1        329167  
   25.0      327500     199787    1000000     31233      744218     13904      632442      872       388732       88       338583       1        327500       1        327500       1        327500       1        327500       1        327500  
   26.7      324820     199392    1000000     31217      744948     13945      633489      859       386262       96       336884       1        324820       1        324820       1        324820       1        324820       1        324820  
   28.3      322899     200089    1000000     31055      742815     13966      632471      872       386397      112       337141       1        322899       1        322899       1        322899       1        322899       1        322899  
