 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       249497     678690    1000000      247       250797       1        249497       1        249497       1        249497       1        249497       1        249497       1        249497       1        249497       1        249497  
   0.2       251207     310876    1000000     31464      604338     12173      480590      299       269629       8        251975       1        251207       1        251207       1        251207       1        251207       1        251207  
   0.3       253271     307707    1000000     30647      607798     12015      488761      419       280824       22       255649       1        253271       1        253271       1        253271       1        253271       1        253271  
   0.5       254991     307073    1000000     30445      609785     11832      490530      464       285993       28       258186       1        254991       1        254991       1        254991       1        254991       1        254991  
   0.7       256377     306662    1000000     30249      610148     11739      491632      511       291881       44       261669       1        256377       1        256377       1        256377       1        256377       1        256377  
   0.8       257507     306117    1000000     29980      610535     11695      493600      518       293004       44       262660       1        257507       1        257507       1        257507       1        257507       1        257507  
   1.0       258494     305658    1000000     29944      611283     11654      494420      510       293425       37       262959       1        258494       1        258494       1        258494       1        258494       1        258494  
   1.2       259284     306385    1000000     30068      610083     11580      491768      506       294579       47       264889       1        259284       1        259284       1        259284       1        259284       1        259284  
   1.3       260097     305254    1000000     29903      611637     11477      493735      569       299325       46       265637       1        260097       1        260097       1        260097       1        260097       1        260097  
   1.5       260940     306357    1000000     29991      611050     11614      493643      488       295241       56       267590       1        260940       1        260940       1        260940       1        260940       1        260940  
   1.7       261938     305605    1000000     29901      611320     11476      493690      489       296455       46       267666       1        261938       1        261938       1        261938       1        261938       1        261938  
   1.8       262820     306675    1000000     29778      610205     11626      494431      488       296826       47       268473       1        262820       1        262820       1        262820       1        262820       1        262820  
   2.0       263740     305814    1000000     29595      611510     11453      495527      481       297493       53       270130       1        263740       1        263740       1        263740       1        263740       1        263740  
   2.2       264721     305797    1000000     29454      610395     11458      495368      521       300797       42       269660       1        264721       1        264721       1        264721       1        264721       1        264721  
   2.3       265588     305995    1000000     29651      610965     11416      494557      477       299377       48       271657       1        265588       1        265588       1        265588       1        265588       1        265588  
   2.5       266565     306072    1000000     29418      610075     11384      495047      486       300393       35       271036       1        266565       1        266565       1        266565       1        266565       1        266565  
   2.7       267318     306405    1000000     29511      609823     11302      493875      487       300388       39       271946       1        267318       1        267318       1        267318       1        267318       1        267318  
   2.8       268276     305494    1000000     29266      610508     11251      495309      498       303335       42       273490       1        268276       1        268276       1        268276       1        268276       1        268276  
   3.0       268945     305761    1000000     29229      611485     11178      496259      538       306721       51       275220       1        268945       1        268945       1        268945       1        268945       1        268945  
   3.2       269899     305790    1000000     29060      609928     11244      496362      496       304709       51       276034       1        269899       1        269899       1        269899       1        269899       1        269899  
