 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         9        85676      100000      149        800         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        2425      12954      100000      2107      83964       1100      77428       284       61087       150       51558        27       24950        7        11971        0          0          0          0          0          0     
   0.2        2051      12887      100000      2060      84095       1108      77885       298       61247       152       50950        29       26334        9        13354        0          0          0          0          0          0     
   0.3        1722      12966      100000      2048      83837       1095      77680       318       61640       159       50764        28       23267        8        10253        0          0          0          0          0          0     
   0.4        2341      13033      100000      2112      84111       1156      77993       303       60765       161       50920        26       25154        8        12224        0          0          0          0          0          0     
   0.5        1878      13043      100000      2087      83830       1148      77742       318       61076       178       51203        21       18159        7         9164        0          0          0          0          0          0     
   0.6        1983      13151      100000      2178      83817       1135      77090       288       59279       173       51555        24       21506        6         9082        0          0          0          0          0          0     
   0.7        3319      13057      100000      2046      83742       1092      77535       271       60361       154       52173        26       27342        13       18879        0          0          0          0          0          0     
   0.8        1745      12988      100000      2075      84046       1115      77790       298       60958       173       52218        29       22767        5         6492        0          0          0          0          0          0     
   0.9        1742      12895      100000      2082      84114       1173      78235       308       61079       180       52271        22       18959        5         6552        0          0          0          0          0          0     
   1.0        2071      13078      100000      2123      83865       1145      77554       313       60683       170       50680        20       19990        8        11369        0          0          0          0          0          0     
   1.1        2482      13173      100000      2119      83810       1147      77496       298       60080       158       50496        25       24498        9        13282        0          0          0          0          0          0     
   1.2        2944      13160      100000      2127      83670       1178      77652       300       60144       168       50967        23       21024        5         9037        0          0          0          0          0          0     
   1.3        3553      13280      100000      2148      83410       1175      77085       293       58978       168       50252        23       21136        6        10071        0          0          0          0          0          0     
   1.4        5219      13463      100000      2169      83374       1151      76799       287       59908       150       50195        21       25361        9        16610        1         5219        0          0          0          0     
   1.5        7272      13955      100000      2291      82795       1212      75770       283       57061       134       46661        16       23279        6        15842        1         7272        0          0          0          0     
   1.6        9936      14603      100000      2348      81750       1262      74708       308       56002       126       43456        15       22315        3        13545        1         9936        0          0          0          0     
   1.7       13909      15053      100000      2444      81334       1260      73674       287       54342       123       43141        9        22203        3        17923        1        13909        1        13909        0          0     
