 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       89614      100000       34        180         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1       18339      100000      2312      77500       1235      70624       364       52809       204       41739        5         3161        0          0          0          0          0          0          0          0     
   0.2       18098      100000      2222      77423       1140      70553       306       53983       181       45213        16       10620        1         1112        0          0          0          0          0          0     
   0.3       18438      100000      2232      77244       1091      69962       276       53658       144       44688        24       18135        4         4982        0          0          0          0          0          0     
   0.4       18300      100000      2172      77227       1101      70355       282       54316       159       45751        21       16929        4         4755        0          0          0          0          0          0     
   0.5       18357      100000      2279      77395       1148      70159       276       52709       154       44218        23       16614        1         1091        0          0          0          0          0          0     
   0.6       18330      100000      2230      77403       1079      70021       259       53902       128       45048        26       23245        6         9477        0          0          0          0          0          0     
   0.7       18593      100000      2259      76927       1131      69604       259       52898       140       44443        20       18081        6         8732        0          0          0          0          0          0     
   0.8       18593      100000      2261      76827       1131      69534       250       51544       129       43046        23       21069        9        11908        0          0          0          0          0          0     
   0.9       18516      100000      2227      77104       1117      70026       254       52909       125       43686        24       23894        10       13056        0          0          0          0          0          0     
   1.0       18710      100000      2204      76676       1095      69524       229       52084       114       43665        27       25484        9        12906        0          0          0          0          0          0     
   1.1       18755      100000      2293      76683       1141      69245       247       51163       132       43128        25       24225        10       13591        0          0          0          0          0          0     
   1.2       18900      100000      2320      76586       1137      68948       233       51077       109       42575        24       27228        13       19490        0          0          0          0          0          0     
   1.3       18834      100000      2274      76832       1116      69279       230       52209       100       43287        21       27026        14       22154        0          0          0          0          0          0     
   1.4       18994      100000      2289      76309       1126      68787       219       50701        97       42259        20       26837        14       21772        0          0          0          0          0          0     
   1.5       19286      100000      2368      76141       1122      68148       227       50351       102       41818        20       25450        11       18367        0          0          0          0          0          0     
   1.6       19363      100000      2438      75857       1180      67726       199       48440        95       41176        21       26776        11       19513        0          0          0          0          0          0     
   1.7       19790      100000      2318      75315       1084      67334       182       49494        89       43425        19       30244        16       28377        0          0          0          0          0          0     
   1.8       19814      100000      2325      75260       1072      67189       193       50139        92       43203        22       30537        11       22209        0          0          0          0          0          0     
   1.9       20133      100000      2327      74731       1083      66719       179       49877        65       42208        19       33088        13       28156        0          0          0          0          0          0     
   2.0       20362      100000      2249      74451       1012      66476       158       49819        65       43581        20       35349        12       29898        0          0          0          0          0          0     
   2.1       20344      100000      2287      74598       1008      66430       144       50212        58       44396        17       35502        14       33217        0          0          0          0          0          0     
   2.2       20887      100000      2207      73629       947       65568       129       50329        56       45559        19       39475        12       34108        1         6557        0          0          0          0     
   2.3       20850      100000      2138      73545       931       65842       121       50977        47       46222        18       41522        13       37921        1         7241        0          0          0          0     
   2.4       20892      100000      2127      73559       840       65337        94       51747        36       47718        16       43360        13       40894        2        12911        0          0          0          0     
   2.5       21021      100000      1977      73053       777       65352        72       52273        32       49735        15       46371        14       45614        2        13947        0          0          0          0     
   2.6       20955      100000      1976      73357       720       65452        58       53429        26       51200        15       48977        14       48200        2        14620        0          0          0          0     
   2.7       20666      100000      1770      73373       675       66365        57       55339        26       53243        15       51601        14       51081        3        20993        0          0          0          0     
   2.8       20776      100000      1748      73450       614       66263        43       56672        23       55364        15       54282        13       52798        3        22175        0          0          0          0     
   2.9       20601      100000      1592      73620       516       66750        37       58732        18       57355        15       56985        13       55574        3        23459        1        10293        0          0     
   3.0       20387      100000      1451      73560       435       67195        29       60373        17       59575        15       59299        13       57807        5        34839        1        10832        0          0     
   3.1       20178      100000      1309      73926       372       68043        30       62642        20       61965        14       61007        11       58116        5        36483        1        11265        0          0     
   3.2       19807      100000      1230      74305       348       68873        27       63903        14       63052        12       62764        9        60284        6        52289        2        21837        0          0     
   3.3       19562      100000      1154      74780       282       69321        19       65263        13       64843        12       64707        9        62643        6        54192        3        32813        0          0     
   3.4       19289      100000      960       75005       228       70409        17       67092        13       66785        13       66785        10       64861        6        51364        2        23562        0          0     
   3.5       18848      100000      936       75769       209       71294        13       68400        11       68257        10       67838        9        67211        5        53062        3        37659        0          0     
   3.6       18475      100000      797       76074       168       72173        14       69891        10       69635        9        69422        8        68887        5        59404        3        43640        0          0     
   3.7       18312      100000      791       76462       147       72514        10       70475        10       70475        9        70143        9        70143        6        60606        3        36650        0          0     
   3.8       17869      100000      729       77190       139       73566        11       71784        10       71715        9        71565        9        71565        6        61973        3        37418        0          0     
   3.9       17556      100000      625       77494       118       74389        9        72796        8        72742        8        72742        8        72742        5        62942        4        56190        0          0     
   4.0       17208      100000      606       77980       101       74905        8        73649        8        73649        8        73649        8        73649        5        63824        4        57024        0          0     
   4.1       16998      100000      548       78240        82       75429        8        74480        8        74480        8        74480        8        74480        5        64604        4        57790        0          0     
   4.2       16836      100000      491       78429        64       75804        8        75164        8        75164        8        75164        8        75164        5        65335        4        58540        0          0     
   4.3       16552      100000      474       78907        56       76391        8        75794        8        75794        8        75794        8        75794        5        66046        4        59228        0          0     
   4.4       16376      100000      432       79110        57       76791        8        76135        8        76135        8        76135        8        76135        5        66648        4        59796        0          0     
   4.5       16261      100000      457       79370        59       76969        8        76327        8        76327        8        76327        8        76327        5        67045        4        60219        0          0     
   4.6       16144      100000      401       79491        51       77391        8        76826        8        76826        8        76826        8        76826        5        67695        4        60852        0          0     
   4.7       16156      100000      372       79550        42       77551        8        77159        8        77159        8        77159        8        77159        5        68369        4        61449        0          0     
   4.8       15987      100000      382       79662        39       77601        8        77215        8        77215        8        77215        8        77215        5        68663        4        61865        0          0     
   4.9       15960      100000      353       79844        36       77959        8        77620        8        77620        8        77620        8        77620        5        69230        4        62385        0          0     
   5.0       15570      100000      379       80210        42       78199        8        77799        8        77799        8        77799        8        77799        5        69681        4        62788        0          0     
   5.1       15755      100000      363       80054        41       78099        8        77650        8        77650        8        77650        8        77650        5        69873        4        62996        0          0     
   5.2       15899      100000      393       79963        49       77903        8        77405        8        77405        8        77405        8        77405        5        70107        4        63142        0          0     
   5.3       15999      100000      391       79697        44       77613        8        77167        8        77167        8        77167        7        76366        5        70277        4        63371        0          0     
   5.4       16194      100000      440       79463        58       77160        9        76549        8        76491        7        76230        7        76230        5        70343        4        63457        0          0     
   5.5       16365      100000      468       79230        61       76718        7        75997        7        75997        7        75997        7        75997        5        70342        4        63473        0          0     
   5.6       16400      100000      414       79016        52       76823        7        76282        7        76282        7        76282        7        76282        5        70782        4        64010        0          0     
   5.7       16312      100000      439       79313        52       76992        7        76441        7        76441        7        76441        7        76441        5        71013        4        64260        0          0     
   5.8       16309      100000      405       79303        47       77187        7        76711        7        76711        7        76711        7        76711        5        71547        4        64906        0          0     
   5.9       16160      100000      417       79348        47       77133        7        76668        7        76668        7        76668        7        76668        5        71633        4        65115        0          0     
   6.0       16060      100000      400       79631        42       77443        7        77014        7        77014        7        77014        7        77014        5        72125        4        65597        0          0     
   6.1       15972      100000      381       79747        45       77725        6        77264        6        77264        6        77264        6        77264        4        72448        4        72448        0          0     
   6.2       15902      100000      367       79870        37       77918        6        77525        6        77525        6        77525        6        77525        4        72766        4        72766        0          0     
   6.3       15909      100000      359       79953        36       78036        6        77672        6        77672        6        77672        6        77672        4        73160        4        73160        0          0     
   6.4       15689      100000      362       79965        36       78019        7        77658        7        77658        7        77658        7        77658        5        73365        4        66862        0          0     
   6.5       15618      100000      398       80231        43       78121        7        77673        7        77673        7        77673        6        76715        5        73676        4        67203        0          0     
   6.6       15832      100000      365       79901        44       77996        7        77533        7        77533        7        77533        6        76798        5        73839        4        67356        0          0     
   6.7       15764      100000      357       79926        34       78017        7        77683        7        77683        7        77683        6        77034        5        74136        4        67675        0          0     
   6.8       15798      100000      371       80046        50       78130        6        77586        6        77586        5        77208        5        77208        4        74374        4        74374        0          0     
   6.9       15847      100000      354       79969        46       78103        7        77636        7        77636        6        77463        6        77463        5        74630        4        68166        0          0     
   7.0       15733      100000      383       80087        42       78046        6        77604        6        77604        6        77604        6        77604        5        74746        4        68350        0          0     
   7.1       15585      100000      372       80216        34       78184        6        77844        6        77844        6        77844        6        77844        5        74936        4        68547        0          0     
