 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       187168     609464    1000000      4905      214593       37       187552       1        187168       1        187168       1        187168       1        187168       1        187168       1        187168       1        187168  
   1.7       186928     292814    1000000     40880      620076     15860      459013      119       193659       1        186928       1        186928       1        186928       1        186928       1        186928       1        186928  
   3.3       186837     288840    1000000     39057      624946     15512      473183      309       205779       6        187363       1        186837       1        186837       1        186837       1        186837       1        186837  
   5.0       186466     288573    1000000     38749      625542     15515      475808      404       211500       10       187500       1        186466       1        186466       1        186466       1        186466       1        186466  
   6.7       186164     287850    1000000     38311      625516     15346      477885      417       213369       16       187826       1        186164       1        186164       1        186164       1        186164       1        186164  
   8.3       185774     287628    1000000     38351      626575     15335      478805      486       216622       13       187142       1        185774       1        185774       1        185774       1        185774       1        185774  
   10.0      184956     287665    1000000     38403      625750     15241      476766      454       214420       17       186848       1        184956       1        184956       1        184956       1        184956       1        184956  
   11.7      184088     288398    1000000     38323      625327     15301      477458      474       215625       27       187044       1        184088       1        184088       1        184088       1        184088       1        184088  
   13.3      183968     287871    1000000     38287      626041     15324      478763      474       214827       27       186955       1        183968       1        183968       1        183968       1        183968       1        183968  
   15.0      182735     287564    1000000     38258      625404     15171      476742      503       215705       27       185827       1        182735       1        182735       1        182735       1        182735       1        182735  
   16.7      181761     287429    1000000     38503      626270     15310      477635      481       213060       25       184412       1        181761       1        181761       1        181761       1        181761       1        181761  
   18.3      180981     287401    1000000     38202      626085     15215      478521      517       215167       23       183658       1        180981       1        180981       1        180981       1        180981       1        180981  
   20.0      180331     286703    1000000     38047      626924     15370      481190      560       218165       30       183743       1        180331       1        180331       1        180331       1        180331       1        180331  
   21.7      179640     287429    1000000     38224      626573     15281      478907      554       216548       34       183697       1        179640       1        179640       1        179640       1        179640       1        179640  
   23.3      178982     287151    1000000     38269      627673     15380      480153      563       216445       34       183053       1        178982       1        178982       1        178982       1        178982       1        178982  
   25.0      178695     287584    1000000     38228      626132     15384      479440      560       215104       25       181459       1        178695       1        178695       1        178695       1        178695       1        178695  
   26.7      178067     287559    1000000     38299      626868     15356      479147      556       215377       35       181891       1        178067       1        178067       1        178067       1        178067       1        178067  
   28.3      175969     286997    1000000     38323      627044     15415      479657      567       214721       44       181395       1        175969       1        175969       1        175969       1        175969       1        175969  
   30.0      175669     286974    1000000     38631      627256     15612      479591      527       211420       40       180432       1        175669       1        175669       1        175669       1        175669       1        175669  
