 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         13       79367      100000      461        2578        4          44         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        8841       9917      100000      1209      87495       575       83422       147       75104        82       70656        26       57912        17       51887        3        19201        0          0          0          0     
   0.2       16254      10051      100000      1323      87628       640       83317       149       73875        77       69008        23       57874        15       51461        3        27475        1        16254        0          0     
   0.3        4351      10460      100000      1418      86818       726       82337       160       71042        95       66416        33       53064        20       43301        0          0          0          0          0          0     
   0.4        8092      11064      100000      1555      86173       782       81238       154       68794        80       63489        25       51321        14       43592        2        15240        0          0          0          0     
   0.5        4747      11317      100000      1629      85848       824       80635       161       67762        82       62339        27       50434        19       44303        0          0          0          0          0          0     
   0.6        7338      12233      100000      1731      84822       867       79279       165       65812        76       59643        19       48389        14       45004        2        14618        0          0          0          0     
   0.7        6446      13269      100000      1864      83253       898       77021       133       62214        55       56910        21       50218        16       46838        4        22839        0          0          0          0     
   0.8        7918      14306      100000      1922      81954       855       75130       100       60950        40       56902        16       52973        13       50950        4        26859        0          0          0          0     
   0.9        9556      15008      100000      1745      80685       741       74192        42       62353        18       60806        12       59711        12       59711        5        39451        0          0          0          0     
   1.0       11853      15071      100000      1429      80254       471       74233        25       66680        13       65896        11       65678        11       65678        5        46565        2        22701        0          0     
   1.1       14999      14979      100000      1173      80340       316       74922        13       70354        11       70240        11       70240        10       69637        5        52450        3        38209        0          0     
   1.2       22114      14544      100000      1009      80780       235       75965        8        72860        8        72860        8        72860        8        72860        5        62289        3        52034        0          0     
   1.3       23632      14423      100000      877       81062       180       76727        8        74274        8        74274        8        74274        8        74274        4        59447        3        54163        0          0     
   1.4       25527      13792      100000      729       81977       138       78317        9        76524        8        76469        8        76469        8        76469        4        61689        3        56180        0          0     
   1.5       27240      13756      100000      629       81894       102       78670        9        77440        9        77440        9        77440        9        77440        3        57652        3        57652        0          0     
   1.6       28899      13491      100000      620       82289       110       79128        12       77829        10       77690        9        77369        8        76839        3        59320        3        59320        0          0     
   1.7       30695      13512      100000      551       82215        72       79273        8        78442        8        78442        8        78442        8        78442        3        62756        3        62756        0          0     
   1.8       32517      13194      100000      498       82739        77       80174        8        79241        8        79241        8        79241        7        78389        3        66336        3        66336        0          0     
   1.9       37578      12583      100000      422       83546        64       81347        6        80565        6        80565        6        80565        6        80565        3        73189        3        73189        0          0     
   2.0       37835      12377      100000      445       84043        70       81756        7        80810        6        80738        5        80597        5        80597        3        75336        3        75336        0          0     
   2.1       39355      12240      100000      358       84260        49       82393        7        81770        6        81702        5        81353        4        80808        3        78169        3        78169        0          0     
   2.2       41078      11914      100000      276       84694        21       83177        4        82963        4        82963        4        82963        4        82963        3        81056        3        81056        0          0     
   2.3       42808      11041      100000      176       85921        17       84952        5        84819        4        84755        4        84755        3        83768        3        83768        3        83768        0          0     
   2.4       44020      10242      100000      167       87208        13       86276        4        86091        4        86091        3        85936        3        85936        3        85936        3        85936        0          0     
