 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         7        89614      100000       34        180         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        958       16964      100000      2542      79043       1323      71222       315       50932       173       40784        13        8217        0          0          0          0          0          0          0          0     
   0.2        1447      17243      100000      2555      78595       1367      70884       315       49338       166       39160        9         6490        1         1447        0          0          0          0          0          0     
   0.3        1858      17052      100000      2476      78700       1291      71076       339       51701       156       39087        18       13157        1         1858        0          0          0          0          0          0     
   0.4        2006      17159      100000      2579      79031       1330      70931       320       50653       149       39033        15       12439        3         4436        0          0          0          0          0          0     
   0.5        1296      16876      100000      2446      79170       1248      71426       322       52200       173       41592        12        7909        1         1296        0          0          0          0          0          0     
   0.6        1240      17138      100000      2534      78804       1321      70993       331       50798       165       39171        11        8272        2         2286        0          0          0          0          0          0     
   0.7        1815      17138      100000      2575      79022       1410      71551       318       49251       158       38123        12       10264        3         3975        0          0          0          0          0          0     
   0.8        2364      17241      100000      2565      78725       1349      70890       286       48915       143       38879        18       13659        1         2364        0          0          0          0          0          0     
   0.9        1983      17224      100000      2543      78834       1339      71098       307       50385       148       39358        16       14044        4         5819        0          0          0          0          0          0     
   1.0        2367      17177      100000      2573      78925       1342      70991       298       49746       142       39085        14       13446        4         6921        0          0          0          0          0          0     
   1.1        2091      17228      100000      2517      78672       1318      70931       299       50469       159       40790        16       13277        4         5938        0          0          0          0          0          0     
   1.2        2215      17306      100000      2515      78337       1289      70445       286       49427       148       39800        15       13202        4         6214        0          0          0          0          0          0     
   1.3        2085      17492      100000      2578      78365       1365      70509       324       49174       152       37356        12       10956        3         4540        0          0          0          0          0          0     
   1.4        2946      17489      100000      2576      78294       1331      70241       310       49531       146       38444        17       14926        4         6907        0          0          0          0          0          0     
   1.5        4018      17719      100000      2659      78185       1356      69787       289       48091       142       37920        15       15510        4         7781        0          0          0          0          0          0     
   1.6        5170      17655      100000      2615      78200       1353      70039       267       47792       126       37862        17       17604        4         8715        1         5170        0          0          0          0     
   1.7        6487      18074      100000      2625      77393       1340      69106       276       47887       131       37930        11       14667        2         8479        1         6487        0          0          0          0     
   1.8        7877      18095      100000      2671      77643       1349      69086       260       47186       124       37777        12       17203        2        10241        1         7877        0          0          0          0     
   1.9        9570      18510      100000      2696      76906       1375      68423       241       45859       111       36876        9        17677        2        12697        1         9570        0          0          0          0     
   2.0       11141      18739      100000      2654      76577       1353      68076       249       46812       107       36854        9        19467        2        14906        1        11141        1        11141        0          0     
   2.1       13051      19092      100000      2786      76240       1348      66983       199       43862        84       35670        9        22828        4        19771        1        13051        1        13051        0          0     
   2.2       15107      19587      100000      2709      75315       1354      66556       212       43766        74       34360        4        22101        3        21430        1        15107        1        15107        0          0     
   2.3       17330      20154      100000      2834      74601       1333      64963       175       42638        61       34763        5        25694        3        24619        2        23584        1        17330        0          0     
   2.4       19489      20467      100000      2745      73945       1277      64548       152       42847        49       35780        4        28686        3        28079        2        27004        1        19489        0          0     
   2.5       21841      20888      100000      2780      73452       1219      63427       125       42824        37       36968        3        31632        2        31028        2        31028        1        21841        0          0     
   2.6       24405      21282      100000      2622      72628       1155      63214       105       43433        21       37875        2        35194        2        35194        2        35194        2        35194        0          0     
   2.7       26916      21567      100000      2583      72173       1040      62269        64       44391        10       40793        2        39521        2        39521        2        39521        2        39521        0          0     
   2.8       29539      21720      100000      2425      71710       921       61991        33       46329        7        44592        2        43961        2        43961        2        43961        2        43961        0          0     
   2.9       32377      21803      100000      2221      71697       787       62557        18       49654        4        48790        2        48587        2        48587        2        48587        2        48587        0          0     
   3.0       34918      21800      100000      1980      71344       612       62680        7        53138        2        52845        2        52845        2        52845        2        52845        2        52845        0          0     
   3.1       37481      21299      100000      1717      71991       455       64034        3        57125        2        57055        2        57055        2        57055        2        57055        2        57055        0          0     
   3.2       39899      20668      100000      1408      72520       299       65522        3        61364        2        61307        2        61307        2        61307        2        61307        2        61307        0          0     
   3.3       42249      20179      100000      1064      73118       185       67614        2        65168        2        65168        2        65168        2        65168        2        65168        2        65168        0          0     
   3.4       44400      18923      100000      867       74979       101       70273        2        68993        2        68993        2        68993        2        68993        2        68993        2        68993        0          0     
   3.5       46255      18042      100000      593       76185        63       72958        2        72211        2        72211        2        72211        2        72211        2        72211        2        72211        0          0     
   3.6       47992      16935      100000      473       78149        36       75505        2        75114        2        75114        2        75114        2        75114        2        75114        2        75114        0          0     
   3.7       49571      15659      100000      346       80030        24       78090        2        77830        2        77830        2        77830        2        77830        2        77830        2        77830        0          0     
   3.8       50927      14715      100000      211       81419        12       80263        2        80142        2        80142        2        80142        2        80142        2        80142        2        80142        1        50927   
   3.9       52140      13539      100000      146       83041        9        82253        2        82179        2        82179        2        82179        2        82179        2        82179        2        82179        1        52140   
   4.0       53202      12517      100000      128       84673        6        83966        2        83917        2        83917        2        83917        2        83917        2        83917        2        83917        1        53202   
   4.1       54015      11813      100000       92       85630        3        85138        2        85127        2        85127        2        85127        2        85127        2        85127        2        85127        1        54015   
   4.2       54662      11291      100000       83       86517        2        86068        2        86068        2        86068        2        86068        2        86068        2        86068        2        86068        1        54662   
   4.3       55211      10775      100000       46       87034        3        86801        2        86790        2        86790        2        86790        2        86790        2        86790        2        86790        1        55211   
   4.4       55746      10271      100000       48       87804        2        87541        2        87541        2        87541        2        87541        2        87541        2        87541        2        87541        1        55746   
   4.5       55970      10030      100000       41       87955        2        87739        2        87739        2        87739        2        87739        2        87739        2        87739        2        87739        1        55970   
   4.6       56004      10200      100000       55       87813        4        87518        2        87492        2        87492        2        87492        2        87492        2        87492        2        87492        1        56004   
   4.7       56164      10325      100000       67       87580        3        87211        2        87201        2        87201        2        87201        2        87201        2        87201        2        87201        1        56164   
   4.8       56272      10623      100000       61       87172        4        86851        2        86819        2        86819        2        86819        2        86819        2        86819        2        86819        1        56272   
   4.9       55981      11209      100000       60       86408        3        86088        2        86078        2        86078        2        86078        2        86078        2        86078        2        86078        1        55981   
