 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         9        85676      100000      149        800         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        4016      13025      100000      1765      83916       923       78543       245       64990       157       58919        32       32184        6        14817        0          0          0          0          0          0     
   0.2        2200      13140      100000      1851      83744       926       77736       237       64337       137       57465        39       37053        13       18814        0          0          0          0          0          0     
   0.3        2563      13557      100000      1861      83329       963       77536       256       63351       149       55663        34       31162        8        13438        0          0          0          0          0          0     
   0.4        2728      13331      100000      1850      83345       939       77375       227       62787       125       55689        28       36531        19       30735        0          0          0          0          0          0     
   0.5        2876      13545      100000      1886      83359       976       77542       237       62920       128       55449        32       36240        13       21803        0          0          0          0          0          0     
   0.6        3828      13823      100000      1968      83006       1006      76833       221       61132       130       55161        29       35891        13       24567        0          0          0          0          0          0     
   0.7        3923      14156      100000      1916      82278       980       76193       225       61071       115       53461        22       33775        11       26099        0          0          0          0          0          0     
   0.8        4986      14654      100000      2017      81715       1038      75356       225       59335       119       51931        19       29220        11       23346        0          0          0          0          0          0     
   0.9        6346      15113      100000      2107      81165       1085      74586       208       56511        90       48341        18       33477        10       28053        1         6346        0          0          0          0     
   1.0        7661      15996      100000      2170      79954       1069      72861       182       55572        73       48010        10       35007        9        34288        2        13282        0          0          0          0     
   1.1        9384      16720      100000      2223      78771       1029      70997       154       53827        56       47490        11       39706        10       39192        2        16346        0          0          0          0     
   1.2       11006      17438      100000      2162      77734       977       70106       102       53604        37       49316        9        44461        8        43778        4        33112        1        11006        0          0     
   1.3       12503      17666      100000      1978      77255       759       69405        69       56884        24       54061        9        51570        7        50175        5        43272        2        22759        0          0     
   1.4       14045      17492      100000      1741      77403       606       70207        44       60168        14       58068        8        57218        7        56604        5        49092        3        36569        0          0     
