             tauB                            r                             g(r)             
           100.000                         0.103                          0.000             
           100.000                         0.108                          0.000             
           100.000                         0.113                          0.000             
           100.000                         0.118                          0.000             
           100.000                         0.124                          0.000             
           100.000                         0.129                          0.000             
           100.000                         0.134                          0.000             
           100.000                         0.139                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.160                          0.000             
           100.000                         0.166                          0.000             
           100.000                         0.171                          0.000             
           100.000                         0.176                          0.000             
           100.000                         0.181                          0.000             
           100.000                         0.186                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.213                          0.000             
           100.000                         0.218                          0.000             
           100.000                         0.223                          0.000             
           100.000                         0.228                          0.000             
           100.000                         0.234                          0.000             
           100.000                         0.239                          0.000             
           100.000                         0.244                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.255                          0.000             
           100.000                         0.260                          0.000             
           100.000                         0.265                          0.000             
           100.000                         0.270                          0.000             
           100.000                         0.276                          0.000             
           100.000                         0.281                          0.000             
           100.000                         0.286                          0.000             
           100.000                         0.291                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.307                          0.000             
           100.000                         0.312                          0.000             
           100.000                         0.317                          0.000             
           100.000                         0.323                          0.000             
           100.000                         0.328                          0.000             
           100.000                         0.333                          0.000             
           100.000                         0.338                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.359                          0.000             
           100.000                         0.365                          0.000             
           100.000                         0.370                          0.000             
           100.000                         0.375                          0.000             
           100.000                         0.380                          0.000             
           100.000                         0.386                          0.000             
           100.000                         0.391                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.000             
           100.000                         0.407                          0.004             
           100.000                         0.412                          0.032             
           100.000                         0.417                          0.175             
           100.000                         0.422                          0.375             
           100.000                         0.428                          1.267             
           100.000                         0.433                          4.209             
           100.000                         0.438                          11.046            
           100.000                         0.443                          23.762            
           100.000                         0.449                          37.763            
           100.000                         0.454                          44.446            
           100.000                         0.459                          41.456            
           100.000                         0.464                          32.010            
           100.000                         0.469                          22.779            
           100.000                         0.475                          15.232            
           100.000                         0.480                          10.042            
           100.000                         0.485                          6.612             
           100.000                         0.490                          4.812             
           100.000                         0.496                          3.435             
           100.000                         0.501                          2.792             
           100.000                         0.506                          2.443             
           100.000                         0.511                          2.315             
           100.000                         0.517                          2.041             
           100.000                         0.522                          1.729             
           100.000                         0.527                          1.654             
           100.000                         0.532                          1.594             
           100.000                         0.538                          1.375             
           100.000                         0.543                          1.275             
           100.000                         0.548                          1.202             
           100.000                         0.553                          1.047             
           100.000                         0.559                          1.018             
           100.000                         0.564                          0.903             
           100.000                         0.569                          0.922             
           100.000                         0.574                          0.893             
           100.000                         0.580                          0.749             
           100.000                         0.585                          0.716             
           100.000                         0.590                          0.775             
           100.000                         0.595                          0.667             
           100.000                         0.601                          0.655             
           100.000                         0.606                          0.636             
           100.000                         0.611                          0.612             
           100.000                         0.616                          0.614             
           100.000                         0.621                          0.578             
           100.000                         0.627                          0.576             
           100.000                         0.632                          0.561             
           100.000                         0.637                          0.532             
           100.000                         0.642                          0.522             
           100.000                         0.648                          0.449             
           100.000                         0.653                          0.509             
           100.000                         0.658                          0.473             
           100.000                         0.663                          0.461             
           100.000                         0.669                          0.500             
           100.000                         0.674                          0.460             
           100.000                         0.679                          0.450             
           100.000                         0.684                          0.473             
           100.000                         0.690                          0.464             
           100.000                         0.695                          0.443             
           100.000                         0.700                          0.442             
           100.000                         0.705                          0.455             
           100.000                         0.711                          0.479             
           100.000                         0.716                          0.508             
           100.000                         0.721                          0.452             
           100.000                         0.726                          0.515             
           100.000                         0.732                          0.641             
           100.000                         0.737                          0.809             
           100.000                         0.742                          1.210             
           100.000                         0.747                          1.633             
           100.000                         0.752                          2.351             
           100.000                         0.758                          3.424             
           100.000                         0.763                          4.986             
           100.000                         0.768                          7.021             
           100.000                         0.773                          9.678             
           100.000                         0.779                          12.467            
           100.000                         0.784                          14.229            
           100.000                         0.789                          15.347            
           100.000                         0.794                          15.209            
           100.000                         0.800                          13.855            
           100.000                         0.805                          12.012            
           100.000                         0.810                          9.726             
           100.000                         0.815                          7.906             
           100.000                         0.821                          6.010             
           100.000                         0.826                          4.610             
           100.000                         0.831                          3.525             
           100.000                         0.836                          2.788             
           100.000                         0.842                          2.336             
           100.000                         0.847                          1.941             
           100.000                         0.852                          1.657             
           100.000                         0.857                          1.536             
           100.000                         0.863                          1.722             
           100.000                         0.868                          1.969             
           100.000                         0.873                          2.551             
           100.000                         0.878                          3.432             
           100.000                         0.884                          4.807             
           100.000                         0.889                          6.770             
           100.000                         0.894                          8.689             
           100.000                         0.899                          11.001            
           100.000                         0.904                          12.405            
           100.000                         0.910                          12.981            
           100.000                         0.915                          12.314            
           100.000                         0.920                          11.297            
           100.000                         0.925                          9.651             
           100.000                         0.931                          8.370             
           100.000                         0.936                          6.893             
           100.000                         0.941                          5.632             
           100.000                         0.946                          4.620             
           100.000                         0.952                          3.692             
           100.000                         0.957                          3.057             
           100.000                         0.962                          2.449             
           100.000                         0.967                          2.085             
           100.000                         0.973                          1.782             
           100.000                         0.978                          1.575             
           100.000                         0.983                          1.311             
           100.000                         0.988                          1.188             
           100.000                         0.994                          1.134             
           100.000                         0.999                          0.980             
           100.000                         1.004                          0.910             
           100.000                         1.009                          0.794             
           100.000                         1.015                          0.814             
           100.000                         1.020                          0.763             
           100.000                         1.025                          0.694             
           100.000                         1.030                          0.681             
           100.000                         1.035                          0.651             
           100.000                         1.041                          0.639             
           100.000                         1.046                          0.592             
           100.000                         1.051                          0.575             
           100.000                         1.056                          0.536             
           100.000                         1.062                          0.565             
           100.000                         1.067                          0.542             
           100.000                         1.072                          0.554             
           100.000                         1.077                          0.525             
           100.000                         1.083                          0.548             
           100.000                         1.088                          0.499             
           100.000                         1.093                          0.510             
           100.000                         1.098                          0.516             
           100.000                         1.104                          0.512             
           100.000                         1.109                          0.517             
           100.000                         1.114                          0.528             
           100.000                         1.119                          0.585             
           100.000                         1.125                          0.685             
           100.000                         1.130                          0.781             
           100.000                         1.135                          0.947             
           100.000                         1.140                          1.237             
           100.000                         1.146                          1.559             
           100.000                         1.151                          1.938             
           100.000                         1.156                          2.450             
           100.000                         1.161                          3.304             
           100.000                         1.167                          4.184             
           100.000                         1.172                          5.428             
           100.000                         1.177                          6.870             
           100.000                         1.182                          8.535             
           100.000                         1.187                          10.512            
           100.000                         1.193                          12.040            
           100.000                         1.198                          13.249            
           100.000                         1.203                          14.165            
           100.000                         1.208                          14.234            
           100.000                         1.214                          13.738            
           100.000                         1.219                          12.878            
           100.000                         1.224                          11.824            
           100.000                         1.229                          10.539            
           100.000                         1.235                          9.047             
           100.000                         1.240                          7.716             
           100.000                         1.245                          6.496             
           100.000                         1.250                          5.513             
           100.000                         1.256                          4.693             
           100.000                         1.261                          3.929             
           100.000                         1.266                          3.322             
           100.000                         1.271                          2.806             
           100.000                         1.277                          2.432             
           100.000                         1.282                          2.093             
           100.000                         1.287                          1.898             
           100.000                         1.292                          1.758             
           100.000                         1.298                          1.715             
           100.000                         1.303                          1.648             
           100.000                         1.308                          1.770             
           100.000                         1.313                          1.840             
           100.000                         1.319                          2.090             
           100.000                         1.324                          2.430             
           100.000                         1.329                          2.906             
           100.000                         1.334                          3.438             
           100.000                         1.339                          3.987             
           100.000                         1.345                          4.803             
           100.000                         1.350                          5.542             
           100.000                         1.355                          5.919             
           100.000                         1.360                          6.284             
           100.000                         1.366                          6.303             
           100.000                         1.371                          6.046             
           100.000                         1.376                          5.849             
           100.000                         1.381                          5.413             
           100.000                         1.387                          4.880             
           100.000                         1.392                          4.480             
           100.000                         1.397                          3.989             
           100.000                         1.402                          3.488             
           100.000                         1.408                          3.090             
           100.000                         1.413                          2.725             
           100.000                         1.418                          2.357             
           100.000                         1.423                          2.112             
           100.000                         1.429                          1.821             
           100.000                         1.434                          1.588             
           100.000                         1.439                          1.533             
           100.000                         1.444                          1.381             
           100.000                         1.450                          1.226             
           100.000                         1.455                          1.106             
           100.000                         1.460                          0.993             
           100.000                         1.465                          0.984             
           100.000                         1.470                          0.905             
           100.000                         1.476                          0.858             
           100.000                         1.481                          0.936             
           100.000                         1.486                          0.851             
           100.000                         1.491                          0.911             
           100.000                         1.497                          0.935             
           100.000                         1.502                          1.019             
           100.000                         1.507                          1.114             
           100.000                         1.512                          1.227             
           100.000                         1.518                          1.309             
           100.000                         1.523                          1.488             
           100.000                         1.528                          1.739             
           100.000                         1.533                          1.966             
           100.000                         1.539                          2.261             
           100.000                         1.544                          2.709             
