             tauB                            r                             g(r)             
           100.000                         0.103                          0.000             
           100.000                         0.108                          0.000             
           100.000                         0.113                          0.000             
           100.000                         0.118                          0.000             
           100.000                         0.124                          0.000             
           100.000                         0.129                          0.000             
           100.000                         0.134                          0.000             
           100.000                         0.139                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.160                          0.000             
           100.000                         0.166                          0.000             
           100.000                         0.171                          0.000             
           100.000                         0.176                          0.000             
           100.000                         0.181                          0.000             
           100.000                         0.186                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.213                          0.000             
           100.000                         0.218                          0.000             
           100.000                         0.223                          0.000             
           100.000                         0.228                          0.000             
           100.000                         0.234                          0.000             
           100.000                         0.239                          0.000             
           100.000                         0.244                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.255                          0.000             
           100.000                         0.260                          0.000             
           100.000                         0.265                          0.000             
           100.000                         0.270                          0.000             
           100.000                         0.276                          0.000             
           100.000                         0.281                          0.000             
           100.000                         0.286                          0.000             
           100.000                         0.291                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.307                          0.000             
           100.000                         0.312                          0.000             
           100.000                         0.317                          0.000             
           100.000                         0.323                          0.000             
           100.000                         0.328                          0.000             
           100.000                         0.333                          0.000             
           100.000                         0.338                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.359                          0.000             
           100.000                         0.365                          0.000             
           100.000                         0.370                          0.000             
           100.000                         0.375                          0.000             
           100.000                         0.380                          0.000             
           100.000                         0.386                          0.000             
           100.000                         0.391                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.000             
           100.000                         0.407                          0.000             
           100.000                         0.412                          0.000             
           100.000                         0.417                          0.000             
           100.000                         0.422                          0.002             
           100.000                         0.428                          0.051             
           100.000                         0.433                          0.152             
           100.000                         0.438                          0.449             
           100.000                         0.443                          1.333             
           100.000                         0.449                          4.760             
           100.000                         0.454                          12.289            
           100.000                         0.459                          23.036            
           100.000                         0.464                          31.590            
           100.000                         0.469                          35.009            
           100.000                         0.475                          31.722            
           100.000                         0.480                          25.626            
           100.000                         0.485                          18.728            
           100.000                         0.490                          13.113            
           100.000                         0.496                          9.119             
           100.000                         0.501                          6.283             
           100.000                         0.506                          4.459             
           100.000                         0.511                          3.656             
           100.000                         0.517                          2.991             
           100.000                         0.522                          2.492             
           100.000                         0.527                          2.443             
           100.000                         0.532                          2.203             
           100.000                         0.538                          2.002             
           100.000                         0.543                          1.753             
           100.000                         0.548                          1.578             
           100.000                         0.553                          1.513             
           100.000                         0.559                          1.418             
           100.000                         0.564                          1.364             
           100.000                         0.569                          1.336             
           100.000                         0.574                          1.223             
           100.000                         0.580                          1.017             
           100.000                         0.585                          0.985             
           100.000                         0.590                          0.959             
           100.000                         0.595                          0.989             
           100.000                         0.601                          0.917             
           100.000                         0.606                          0.875             
           100.000                         0.611                          0.852             
           100.000                         0.616                          0.774             
           100.000                         0.621                          0.809             
           100.000                         0.627                          0.802             
           100.000                         0.632                          0.683             
           100.000                         0.637                          0.706             
           100.000                         0.642                          0.701             
           100.000                         0.648                          0.629             
           100.000                         0.653                          0.620             
           100.000                         0.658                          0.620             
           100.000                         0.663                          0.568             
           100.000                         0.669                          0.593             
           100.000                         0.674                          0.568             
           100.000                         0.679                          0.552             
           100.000                         0.684                          0.503             
           100.000                         0.690                          0.572             
           100.000                         0.695                          0.543             
           100.000                         0.700                          0.519             
           100.000                         0.705                          0.512             
           100.000                         0.711                          0.550             
           100.000                         0.716                          0.525             
           100.000                         0.721                          0.514             
           100.000                         0.726                          0.502             
           100.000                         0.732                          0.550             
           100.000                         0.737                          0.559             
           100.000                         0.742                          0.527             
           100.000                         0.747                          0.604             
           100.000                         0.752                          0.662             
           100.000                         0.758                          0.758             
           100.000                         0.763                          0.904             
           100.000                         0.768                          1.174             
           100.000                         0.773                          1.596             
           100.000                         0.779                          2.338             
           100.000                         0.784                          3.399             
           100.000                         0.789                          4.635             
           100.000                         0.794                          6.433             
           100.000                         0.800                          8.232             
           100.000                         0.805                          9.720             
           100.000                         0.810                          11.211            
           100.000                         0.815                          11.907            
           100.000                         0.821                          11.971            
           100.000                         0.826                          11.266            
           100.000                         0.831                          10.308            
           100.000                         0.836                          8.541             
           100.000                         0.842                          7.128             
           100.000                         0.847                          5.713             
           100.000                         0.852                          4.461             
           100.000                         0.857                          3.562             
           100.000                         0.863                          2.865             
           100.000                         0.868                          2.298             
           100.000                         0.873                          1.924             
           100.000                         0.878                          1.731             
           100.000                         0.884                          1.458             
           100.000                         0.889                          1.348             
           100.000                         0.894                          1.480             
           100.000                         0.899                          1.912             
           100.000                         0.904                          2.506             
           100.000                         0.910                          3.702             
           100.000                         0.915                          5.019             
           100.000                         0.920                          6.675             
           100.000                         0.925                          8.396             
           100.000                         0.931                          9.389             
           100.000                         0.936                          10.095            
           100.000                         0.941                          10.168            
           100.000                         0.946                          9.668             
           100.000                         0.952                          8.896             
           100.000                         0.957                          8.002             
           100.000                         0.962                          6.758             
           100.000                         0.967                          5.866             
           100.000                         0.973                          4.883             
           100.000                         0.978                          4.010             
           100.000                         0.983                          3.344             
           100.000                         0.988                          2.821             
           100.000                         0.994                          2.410             
           100.000                         0.999                          2.005             
           100.000                         1.004                          1.790             
           100.000                         1.009                          1.585             
           100.000                         1.015                          1.307             
           100.000                         1.020                          1.195             
           100.000                         1.025                          1.125             
           100.000                         1.030                          1.004             
           100.000                         1.035                          0.921             
           100.000                         1.041                          0.868             
           100.000                         1.046                          0.852             
           100.000                         1.051                          0.805             
           100.000                         1.056                          0.759             
           100.000                         1.062                          0.726             
           100.000                         1.067                          0.721             
           100.000                         1.072                          0.666             
           100.000                         1.077                          0.638             
           100.000                         1.083                          0.632             
           100.000                         1.088                          0.624             
           100.000                         1.093                          0.589             
           100.000                         1.098                          0.659             
           100.000                         1.104                          0.601             
           100.000                         1.109                          0.588             
           100.000                         1.114                          0.608             
           100.000                         1.119                          0.574             
           100.000                         1.125                          0.624             
           100.000                         1.130                          0.590             
           100.000                         1.135                          0.600             
           100.000                         1.140                          0.555             
           100.000                         1.146                          0.590             
           100.000                         1.151                          0.608             
           100.000                         1.156                          0.634             
           100.000                         1.161                          0.670             
           100.000                         1.167                          0.735             
           100.000                         1.172                          0.867             
           100.000                         1.177                          0.975             
           100.000                         1.182                          1.247             
           100.000                         1.187                          1.592             
           100.000                         1.193                          2.022             
           100.000                         1.198                          2.669             
           100.000                         1.203                          3.493             
           100.000                         1.208                          4.537             
           100.000                         1.214                          5.375             
           100.000                         1.219                          6.716             
           100.000                         1.224                          7.934             
           100.000                         1.229                          8.884             
           100.000                         1.235                          9.995             
           100.000                         1.240                          10.664            
           100.000                         1.245                          11.083            
           100.000                         1.250                          11.075            
           100.000                         1.256                          10.978            
           100.000                         1.261                          10.232            
           100.000                         1.266                          9.621             
           100.000                         1.271                          8.559             
           100.000                         1.277                          7.715             
           100.000                         1.282                          6.652             
           100.000                         1.287                          5.788             
           100.000                         1.292                          5.003             
           100.000                         1.298                          4.195             
           100.000                         1.303                          3.496             
           100.000                         1.308                          3.082             
           100.000                         1.313                          2.604             
           100.000                         1.319                          2.266             
           100.000                         1.324                          2.001             
           100.000                         1.329                          1.765             
           100.000                         1.334                          1.670             
           100.000                         1.339                          1.512             
           100.000                         1.345                          1.458             
           100.000                         1.350                          1.470             
           100.000                         1.355                          1.623             
           100.000                         1.360                          1.770             
           100.000                         1.366                          2.120             
           100.000                         1.371                          2.557             
           100.000                         1.376                          2.916             
           100.000                         1.381                          3.462             
           100.000                         1.387                          3.966             
           100.000                         1.392                          4.419             
           100.000                         1.397                          4.729             
           100.000                         1.402                          5.006             
           100.000                         1.408                          5.196             
           100.000                         1.413                          4.992             
           100.000                         1.418                          4.871             
           100.000                         1.423                          4.736             
           100.000                         1.429                          4.330             
           100.000                         1.434                          4.137             
           100.000                         1.439                          3.674             
           100.000                         1.444                          3.383             
           100.000                         1.450                          3.014             
           100.000                         1.455                          2.648             
           100.000                         1.460                          2.463             
           100.000                         1.465                          2.181             
           100.000                         1.470                          1.934             
           100.000                         1.476                          1.815             
           100.000                         1.481                          1.607             
           100.000                         1.486                          1.417             
           100.000                         1.491                          1.328             
           100.000                         1.497                          1.199             
           100.000                         1.502                          1.132             
           100.000                         1.507                          1.035             
           100.000                         1.512                          1.002             
           100.000                         1.518                          0.927             
           100.000                         1.523                          0.948             
           100.000                         1.528                          0.922             
           100.000                         1.533                          0.904             
           100.000                         1.539                          0.837             
           100.000                         1.544                          0.893             
