 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
13175000.00    7108        0         7108      42892        0        42892      21112        0        21112      14297      0.7823     0.7823     0.0000     0.0000      0.38    9813.5324    0.0000   9813.5324  20159.0798   0.0000   20159.0798  65449.85 
13600000.00    6302        0         6302      43698        0        43698      21644        0        21644      10924      0.7853     0.7853     0.0000     0.0000      0.38    10068.1429   0.0000   10068.1429 20547.3292   0.0000   20547.3292  65449.85 
14025000.00    5956        0         5956      44044        0        44044      22042        0        22042      14681      0.7766     0.7766     0.0000     0.0000      0.38    10290.0302   0.0000   10290.0302 20749.7935   0.0000   20749.7935  65449.85 
14450000.00    5856        0         5856      44144        0        44144      22216        0        22216      14714      0.7829     0.7829     0.0000     0.0000      0.38    10379.7340   0.0000   10379.7340 20792.7507   0.0000   20792.7507  65449.85 
14875000.00    5531        0         5531      44469        0        44469      22535        0        22535      22234      0.7803     0.7803     0.0000     0.0000      0.38    10546.1924   0.0000   10546.1924 21008.8132   0.0000   21008.8132  65449.85 
15300000.00    5602        0         5602      44398        0        44398      22802        0        22802      14799      0.7875     0.7875     0.0000     0.0000      0.38    10679.4560   0.0000   10679.4560 20948.1498   0.0000   20948.1498  65449.85 
15725000.00    5502        0         5502      44498        0        44498      22982        0        22982      14832      0.7853     0.7853     0.0000     0.0000      0.38    10761.1117   0.0000   10761.1117 21006.4118   0.0000   21006.4118  65449.85 
16150000.00    5319        0         5319      44681        0        44681      23200        0        23200      14893      0.7829     0.7829     0.0000     0.0000      0.38    10878.8455   0.0000   10878.8455 21111.0222   0.0000   21111.0222  65449.85 
16575000.00    5371        0         5371      44629        0        44629      23394        0        23394      14876      0.7905     0.7905     0.0000     0.0000      0.38    10982.0808   0.0000   10982.0808 21101.4502   0.0000   21101.4502  65449.85 
17000000.00    5294        0         5294      44706        0        44706      23645        0        23645      14902      0.7832     0.7832     0.0000     0.0000      0.38    11104.0013   0.0000   11104.0013 21121.2823   0.0000   21121.2823  65449.85 
17425000.00    5277        0         5277      44723        0        44723      23943        0        23943      14907      0.7827     0.7827     0.0000     0.0000      0.38    11251.5769   0.0000   11251.5769 21148.1253   0.0000   21148.1253  65449.85 
17850000.00    5484        0         5484      44516        0        44516      24286        0        24286      14838      0.7839     0.7839     0.0000     0.0000      0.38    11404.6876   0.0000   11404.6876 21047.8527   0.0000   21047.8527  65449.85 
18275000.00    5461        0         5461      44539        0        44539      24581        0        24581      14846      0.7854     0.7854     0.0000     0.0000      0.38    11547.9934   0.0000   11547.9934 21050.5143   0.0000   21050.5143  65449.85 
18700000.00    5227        0         5227      44773        0        44773      24889        0        24889      14924      0.7808     0.7808     0.0000     0.0000      0.38    11696.0519   0.0000   11696.0519 21159.5718   0.0000   21159.5718  65449.85 
19125000.00    5259        0         5259      44741        0        44741      25195        0        25195      14913      0.7823     0.7823     0.0000     0.0000      0.38    11812.2651   0.0000   11812.2651 21098.4692   0.0000   21098.4692  65449.85 
19550000.00    4999        0         4999      45001        0        45001      25438        0        25438      15000      0.7893     0.7893     0.0000     0.0000      0.38    11958.5994   0.0000   11958.5994 21251.2203   0.0000   21251.2203  65449.85 
19975000.00    4678        0         4678      45322        0        45322      25697        0        25697      15107      0.7825     0.7825     0.0000     0.0000      0.38    12111.7043   0.0000   12111.7043 21438.5032   0.0000   21438.5032  65449.85 
20400000.00    4324        0         4324      45676        0        45676      26024        0        26024      15225      0.7855     0.7855     0.0000     0.0000      0.38    12253.2602   0.0000   12253.2602 21627.4747   0.0000   21627.4747  65449.85 
