 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      50000        0        50000        0          0          0          30         0          30         0        0.9172     0.9172     0.0000     0.0000      0.46     20.7652     0.0000    20.7652     0.0000     0.0000     0.0000    78539.82 
216666.00    38351        0        38351      11649        0        11649       439         0         439        155       0.8943     0.8943     0.0000     0.0000      0.41     273.0058    0.0000    273.0058  7261.8217    0.0000   7261.8217   78539.82 
433332.00    33167        0        33167      16833        0        16833       534         0         534        189       0.8984     0.8984     0.0000     0.0000      0.41     331.6020    0.0000    331.6020  10438.6002   0.0000   10438.6002  78539.82 
649998.00    31736        0        31736      18264        0        18264       535         0         535        196       0.8939     0.8939     0.0000     0.0000      0.41     330.5151    0.0000    330.5151  11296.0966   0.0000   11296.0966  78539.82 
866664.00    31018        0        31018      18982        0        18982       1027        0         1027       231       0.8906     0.8906     0.0000     0.0000      0.41     631.4110    0.0000    631.4110  11720.3659   0.0000   11720.3659  78539.82 
1083330.00   29334        0        29334      20666        0        20666       774         0         774        232       0.8893     0.8893     0.0000     0.0000      0.41     478.1597    0.0000    478.1597  12746.0170   0.0000   12746.0170  78539.82 
1299996.00   29702        0        29702      20298        0        20298       739         0         739        238       0.8929     0.8929     0.0000     0.0000      0.41     449.7745    0.0000    449.7745  12512.0343   0.0000   12512.0343  78539.82 
1516662.00   30546        0        30546      19454        0        19454       874         0         874        243       0.8958     0.8958     0.0000     0.0000      0.41     537.7437    0.0000    537.7437  11960.4598   0.0000   11960.4598  78539.82 
1733328.00   30938        0        30938      19062        0        19062       732         0         732        276       0.8977     0.8977     0.0000     0.0000      0.41     442.0627    0.0000    442.0627  11694.0665   0.0000   11694.0665  78539.82 
1949994.00   29702        0        29702      20298        0        20298       913         0         913        285       0.8929     0.8929     0.0000     0.0000      0.41     562.4089    0.0000    562.4089  12434.2081   0.0000   12434.2081  78539.82 
2166660.00   30648        0        30648      19352        0        19352       773         0         773        293       0.8996     0.8996     0.0000     0.0000      0.41     463.3230    0.0000    463.3230  11817.1552   0.0000   11817.1552  78539.82 
2383326.00   30370        0        30370      19630        0        19630       1012        0         1012       302       0.8900     0.8900     0.0000     0.0000      0.41     620.9664    0.0000    620.9664  11973.9004   0.0000   11973.9004  78539.82 
2599992.00   30205        0        30205      19795        0        19795       1174        0         1174       304       0.8961     0.8961     0.0000     0.0000      0.41     698.2925    0.0000    698.2925  12046.4897   0.0000   12046.4897  78539.82 
