 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  10.500        160928.314           996191.142             6.190              11438.034           38944923.956           3404.862           1813004.044             533.4                40938        
  10.667        160887.955          1017546.555             6.325              11491.006           38732492.436           3370.679           1756914.793             522.2                41072        
  10.833        160705.077          1027120.418             6.391              11521.275           38587972.936           3349.280           1880856.217             562.6                41065        
  11.000        160855.163          1011180.433             6.286              11569.202           38514911.528           3329.090           1653120.040             497.5                41071        
  11.167        160930.836          1015027.382             6.307              11478.394           38670353.352           3368.969           1680502.685             499.8                40999        
  11.333        160884.171           999898.683             6.215              11522.536           37865783.794           3286.237           1672355.439             509.9                41060        
  11.500        160715.167           994682.436             6.189              11692.802           37690800.645           3223.419           1622274.939             504.2                41357        
  11.667        160596.612          1007869.978             6.276              11730.638           37670912.338           3211.327           1713317.658             534.6                41324        
  11.833        160658.412           988079.446             6.150              11613.344           38453120.693           3311.115           1788998.166             541.3                41231        
  12.000        160869.036          1015197.662             6.311              11449.385           39509474.742           3450.794           1864520.512             541.3                40958        
  12.167        160956.061          1026214.682             6.376              11449.385           39163038.900           3420.536           1752250.304             513.2                40947        
  12.333        160768.138          1008401.192             6.272              11532.626           38702726.515           3355.934           1854572.384             553.7                41114        
  12.500        160755.526          1010205.994             6.284              11543.977           38502732.258           3335.309           1839408.367             552.5                41096        
  12.667        160741.653          1009433.355             6.280              11590.642           37961271.591           3275.165           1703388.459             521.1                40969        
  12.833        160959.844          1021084.331             6.344              11436.773           38518423.499           3367.945           1717724.856             511.0                40717        
  13.000        160874.081          1020755.290             6.345              11468.304           38689983.910           3373.645           1796269.067             533.4                40797        
  13.167        160977.501          1022629.366             6.353              11417.855           39349948.111           3446.352           1715289.173             498.6                40856        
  13.333        160850.118          1007488.470             6.264              11507.402           38412243.407           3338.047           1728680.350             518.8                41002        
  13.500        160722.734          1004893.569             6.252              11601.993           37437226.793           3226.793           1703513.738             529.0                41074        
  13.667        160751.742          1007188.183             6.265              11672.622           36971283.241           3167.350           1618814.166             512.1                41105        
  13.833        160976.240          1017832.566             6.323              11494.789           38005752.759           3306.346           1615844.221             489.6                40805        
  14.000        161056.958          1012913.570             6.289              11436.773           38802715.470           3392.803           1635374.704             482.9                40814        
  14.167        160924.530          1010994.911             6.282              11496.051           38526883.370           3351.315           1713014.943             512.1                40953        
  14.333        160802.191          1026736.213             6.385              11494.789           38514003.363           3350.562           1829002.032             546.9                40988        
  14.500        160958.583          1015967.932             6.312              11421.639           39145073.191           3427.273           1763424.248             515.5                40762        
  14.667        160765.616          1009692.089             6.281              11489.745           38721119.194           3370.059           1896387.686             563.8                40912        
  14.833        161102.363          1012346.855             6.284              11340.920           39220553.838           3458.322           1744552.709             505.4                40560        
  15.000        161069.571          1009645.001             6.268              11348.488           39018803.400           3438.238           1749827.797             509.9                40568        
  15.167        161043.085          1035246.881             6.428              11337.137           38906985.060           3431.818           1784941.178             521.1                40513        
  15.333        161089.750          1040728.862             6.461              11347.226           38894481.289           3427.664           1705916.983             498.6                40484        
  15.500        161142.722          1020617.226             6.334              11349.749           38094107.545           3356.383           1629052.742             486.3                40356        
  15.667        161157.856          1028894.778             6.384              11356.055           37411232.242           3294.386           1591495.211             484.0                40285        
  15.833        160956.061          1023123.127             6.357              11385.063           37427980.162           3287.464           1698702.492             517.7                40308        
  16.000        161112.452          1056448.106             6.557              11338.398           37957218.105           3347.670           1673485.834             500.9                40276        
  16.167        161039.301          1026241.372             6.373              11325.786           38248881.844           3377.150           1752698.119             520.0                40298        
  16.333        161150.289          1041730.820             6.464              11267.769           38263471.767           3395.834           1739526.746             513.2                40214        
