 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         159219.356             92.381               0.001              13643.914           35743315.206           2619.726           1015011.246             387.4                90391        
  0.167         160095.906            8738.567              0.055              12701.780           57900533.035           4558.458           1786628.239             391.9                90274        
  0.333         159789.429           13699.043              0.086              12734.572           54309022.426           4264.692           2021097.901             473.9                88881        
  0.500         159730.152           29246.182              0.183              12381.429           52403802.706           4232.452           2542863.261             600.8                85884        
  0.667         160148.878           49292.815              0.308              11707.936           51518671.066           4400.320           3083432.981             700.8                82245        
  0.833         160780.751           66250.039              0.412              11219.843           49655788.716           4425.712           2728418.714             616.6                79082        
  1.000         161075.877           77958.676              0.484              10870.484           48660281.342           4476.368           2824952.132             631.1                76406        
  1.167         161585.411           91503.795              0.566              10320.591           47782009.866           4629.775           3051693.000             659.2                73660        
  1.333         162020.533           101326.260             0.625               9831.236           47919523.986           4874.212           3169007.119             650.2                70989        
  1.500         162123.953           105971.679             0.654               9626.918           45083470.450           4683.064           3197194.349             682.8                69013        
  1.667         162604.480           122356.813             0.752               9185.490           43697478.341           4757.229           3205033.824             673.8                66580        
  1.833         162846.634           138175.037             0.848               8923.155           42089749.051           4716.913           3172506.981             672.7                64171        
  2.000         163342.295           157522.287             0.964               8446.413           40878353.945           4839.730           3341994.043             690.7                61736        
  2.167         163545.352           169428.250             1.036               8240.833           38999800.012           4732.507           3150988.840             666.0                59783        
  2.333         163570.577           180637.605             1.104               8044.082           36339960.412           4517.602           3317229.411             734.5                57950        
  2.500         163844.262           208177.747             1.271               7699.768           35338673.894           4589.576           3395734.671             740.1                55835        
  2.667         164391.633           220073.258             1.339               7361.761           34497719.725           4686.069           3161950.618             674.9                53771        
  2.833         164442.082           232762.889             1.415               7175.100           32673580.263           4553.746           3251523.472             714.3                51995        
  3.000         164782.612           250714.162             1.521               6857.271           31075977.756           4531.829           3215442.274             709.8                50058        
  3.167         164764.955           270548.597             1.642               6529.353           29528284.026           4522.390           3690971.919             816.5                48184        
  3.333         164729.641           287400.772             1.745               6326.296           28208927.060           4458.996           3954487.182             887.2                46149        
  3.500         165109.269           306554.430             1.857               6003.423           26709722.916           4449.082           3900642.867             877.1                36073        
  3.667         165516.644           351718.613             2.125               5607.399           25385217.023           4527.093           4126364.148             911.9                35300        
  3.833         167683.426          2048612.696             12.217              4762.379           22748959.996           4776.806           2461383.139             516.6                34615        
  4.000         168047.919          1803964.870             10.735              4481.127           23208109.936           5179.079           2716397.434             525.6                33588        
  4.167         168392.233          1197862.702             7.114               4352.482           22687615.366           5212.570           2350070.361             451.5                32729        
  4.333         168408.629           780561.762             4.635               4363.833           21125718.103           4841.093           2140028.742             442.5                32011        
  4.500         168185.393           460589.622             2.739               4315.906           19730414.560           4571.558           2462868.379             539.1                31698        
  4.667         168281.246           471611.269             2.803               4178.433           19382164.306           4638.620           2488572.318             536.8                30527        
  4.833         168576.372           489356.826             2.903               4016.996           18703984.279           4656.211           2283701.245             490.8                29287        
  5.000         168933.298           503543.466             2.981               3847.992           17952947.476           4665.536           2047372.003             439.1                28108        
  5.167         168930.776           514401.847             3.045               3729.437           16808518.576           4506.985           2124407.789             471.7                27065        
  5.333         169167.886           535873.303             3.168               3473.409           16367641.340           4712.270           2279351.978             484.0                25474        
  5.500         169601.747           542558.260             3.199               3288.009           15260943.719           4641.393           1927288.148             415.5                24361        
  5.667         169580.306           563522.173             3.323               3182.066           14434533.322           4536.214           2041341.235             450.3                23621        
