 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         84110.600             9565.939              0.114              55276.438           72712962.825           1315.442            998532.836             759.2                90449        
  0.167         84497.652            109692.708             1.298              54570.636           89253250.694           1635.555           1376658.863             842.4                90998        
  0.333         84073.918            121061.280             1.440              54650.324           87481929.509           1600.758           1498318.410             936.8                90489        
  0.500         84784.780            180790.126             2.132              53414.538           86785426.408           1624.753           1795710.895             1106.7               88797        
  0.667         85949.732            227690.375             2.649              52161.044           87848842.902           1684.185           1866584.312             1110.0               87336        
  0.833         86754.195            290477.102             3.348              51058.070           88335958.108           1730.108           2041074.614             1182.0               86021        
  1.000         87484.030            306141.221             3.499              49956.361           89321866.513           1787.998           2265867.233             1269.8               84968        
  1.167         88283.433            350370.279             3.969              49259.413           88941648.031           1805.577           2202491.200             1222.5               83928        
  1.333         88931.050            390464.608             4.391              48594.087           89361953.607           1838.947           2257213.977             1230.4               83057        
  1.500         89619.144            425731.592             4.750              47728.911           89916669.955           1883.904           2438890.709             1297.9               82203        
  1.667         90085.884            440112.571             4.885              47435.459           90627321.590           1910.540           2363980.688             1240.5               81648        
  1.833         90446.374            463102.251             5.120              47157.186           92227606.258           1955.749           2373701.888             1216.9               81315        
  2.000         90968.769            492194.591             5.411              46620.877           93960229.624           2015.411           2402999.894             1195.5               80862        
  2.167         91185.063            510604.640             5.600              46485.535           93544739.461           2012.341           2365249.593             1178.7               80688        
  2.333         91348.232            512953.392             5.615              46427.351           92374181.852           1989.650           2369725.919             1194.4               80351        
  2.500         91473.455            501664.758             5.484              46389.405           92774049.948           1999.897           2260997.054             1133.7               80338        
  2.667         91702.398            522573.474             5.699              46023.855           93437640.004           2030.200           2449936.008             1210.1               80057        
  2.833         91875.686            523984.119             5.703              46157.932           93751810.198           2031.109           2261964.204             1116.8               80113        
  3.000         91817.502            516879.806             5.629              46298.333           93215312.944           2013.362           2169969.487             1080.8               80121        
  3.167         91670.776            527861.715             5.758              46323.631           92388735.397           1994.419           2200797.929             1106.7               80127        
  3.333         91711.252            518351.368             5.652              46223.706           92515630.754           2001.476           2260351.704             1132.5               80047        
  3.500         91627.770            511698.866             5.585              46138.959           92691836.319           2008.971           2404105.493             1200.0               80101        
  3.667         91820.032            527959.579             5.750              46164.256           91670402.413           1985.744           2220155.629             1121.3               79868        
  3.833         91577.175            547418.650             5.978              46156.667           91341235.296           1978.939           2334310.813             1183.2               79896        
  4.000         92073.007            549911.435             5.973              45979.584           92810869.356           2018.523           2240817.081             1113.4               79608        
  4.167         92009.763            539240.605             5.861              46074.450           92317525.278           2003.660           2165973.789             1084.2               79673        
  4.333         92045.180            555773.768             6.038              46015.001           91849160.633           1996.070           2204553.323             1107.8               79494        
  4.500         92160.284            543063.668             5.893              45845.507           92969606.364           2027.889           2271800.740             1123.5               79508        
  4.667         92280.447            575633.850             6.238              45641.862           92927251.635           2036.009           2305647.077             1135.9               79265        
  4.833         92432.233            572430.627             6.193              45554.585           93467284.936           2051.765           2295987.764             1122.4               79167        
  5.000         92659.911            568813.060             6.139              45522.963           94108793.210           2067.282           2218423.294             1076.3               79190        
  5.167         92486.623            561889.902             6.075              45654.511           94696311.366           2074.194           2260820.328             1093.2               79410        
  5.333         92423.379            540176.593             5.845              45667.159           95803343.766           2097.861           2277533.341             1088.7               79533        
  5.500         92370.254            542914.962             5.878              45751.906           95585319.376           2089.210           2251677.572             1080.8               79734        
  5.667         92332.307            527500.203             5.713              45887.248           95697021.073           2085.482           2201045.443             1058.3               79875        
  5.833         92119.808            513196.196             5.571              46088.364           95948371.112           2081.835           2232363.038             1075.2               80194        
  6.000         91909.838            495954.361             5.396              46292.009           95460477.374           2062.137           2225251.248             1081.9               80351        
  6.167         91792.204            511493.506             5.572              46324.896           94797777.782           2046.368           2230951.367             1093.2               80308        
  6.333         92024.942            524150.051             5.696              46181.965           95933050.304           2077.284           2222675.831             1072.9               80216        
  6.500         92372.784            524279.052             5.676              45979.584           97486128.800           2120.205           2202160.487             1041.4               80040        
  6.667         92298.156            535321.738             5.800              45959.346           97161033.913           2114.065           2240687.610             1062.8               80058        
  6.833         92231.117            518540.734             5.622              45997.292           97021292.334           2109.283           2273648.771             1080.8               80128        
  7.000         92343.691            512591.699             5.551              46156.667           96263311.110           2085.578           2084351.456             1002.1               80139        
  7.167         92099.570            502466.840             5.456              46319.836           95970234.539           2071.904           2098633.229             1015.6               80397        
