 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         121286.632            358.962               0.003              19518.334           42906696.117           2198.277           1021071.447             464.5                90406        
  0.167         122180.901           18001.095              0.147              18526.670           63240340.791           3413.476           1650710.417             483.6                90395        
  0.333         121745.783           29681.065              0.244              18560.821           59846377.921           3224.339           1929051.451             598.3                89136        
  0.500         122091.095           56877.441              0.466              17779.127           59523823.579           3347.961           2417014.895             722.0                85845        
  0.667         122994.218           92079.462              0.749              16667.299           60206674.471           3612.263           2741684.712             759.2                82510        
  0.833         123524.202           107505.147             0.870              16320.722           58568483.323           3588.596           2469420.364             688.3                80109        
  1.000         123884.692           123317.071             0.995              15546.617           58206607.401           3744.005           2993056.047             799.6                77827        
  1.167         124217.355           146820.242             1.182              15111.499           56297517.134           3725.475           3120502.280             837.9                75452        
  1.333         124772.636           173970.204             1.394              14477.795           55400994.124           3826.618           3282507.627             858.1                73066        
  1.500         125300.090           186481.756             1.488              13965.519           54086408.714           3872.853           3274208.359             845.8                70906        
  1.667         125650.462           214405.896             1.706              13650.565           51950362.282           3805.730           3144523.735             826.6                69135        
  1.833         125678.289           232484.282             1.850              13405.178           50511949.130           3768.092           3397089.470             902.0                67500        
  2.000         126014.747           262519.723             2.083              12890.373           49441191.846           3835.513           3724994.058             971.7                65641        
  2.167         126511.844           279639.566             2.210              12537.472           47783643.939           3811.266           3504249.265             920.0                63870        
  2.333         126597.855           303250.089             2.395              12316.118           45198698.379           3669.882           3563744.828             971.7                62435        
  2.500         128039.816          1100227.430             8.593              11444.617           43753584.848           3823.071           3110265.661             815.4                58086        
  2.667         128367.420           648233.653             5.050              11229.588           43702065.285           3891.689           3007371.066             773.8                57015        
  2.833         128655.812           414055.993             3.218              10948.785           43826987.906           4002.909           3112840.159             778.3                56201        
  3.000         128620.396           426987.348             3.320              10784.351           42195629.648           3912.672           3266765.653             835.6                55413        
  3.167         128818.981           435189.365             3.378              10630.036           41310510.356           3886.206           3240234.073             834.5                54437        
  3.333         128978.356           440286.418             3.414              10461.807           40433006.253           3864.821           3139844.976             813.1                53484        
  3.500         129337.581           484942.781             3.749              10163.296           39424130.484           3879.070           3116290.689             804.1                52140        
  3.667         129779.024           503443.709             3.879               9877.433           38859534.014           3934.173           3032309.325             771.5                50924        
  3.833         130000.378           531463.012             4.088               9712.999           38122386.847           3924.883           2923559.984             745.7                49837        
  4.000         129996.583           531270.517             4.087               9592.836           36790792.977           3835.236           3024757.552             789.5                49283        
  4.167         130345.689           562857.553             4.318               9371.482           36254680.678           3868.618           2890125.898             747.9                48158        
  4.333         130257.148           584143.769             4.485               9260.173           34867407.884           3765.309           2990382.695             795.1                47384        
  4.500         130640.406           606515.536             4.643               9005.932           33942015.386           3768.851           2874536.024             763.6                46116        
  4.667         130760.569           642128.563             4.911               8827.584           33596037.278           3805.802           2979494.260             783.9                45270        
  4.833         131242.488           650398.312             4.956               8618.879           34033262.556           3948.688           2820907.462             715.3                44162        
  5.000         131516.966           660392.440             5.021               8597.377           32908992.131           3827.795           2480725.437             648.9                43739        
  5.167         131506.847           682521.300             5.190               8441.797           31897541.618           3778.525           2648099.657             701.8                42931        
  5.333         131895.165           710033.127             5.383               8045.890           32743696.525           4069.618           2875105.268             707.4                41786        
  5.500         132153.200           716250.574             5.420               7895.369           32519219.586           4118.771           2743309.738             666.9                41028        
  5.667         132341.667           735526.592             5.558               7814.417           31781918.337           4067.088           2589983.772             637.7                40549        
  5.833         132363.170           754233.124             5.698               7684.135           31096574.029           4046.854           2708795.632             670.3                40030        
  6.000         132640.178           755324.388             5.695               7593.063           30441337.359           4009.098           2476375.074             618.6                39218        
  6.167         132924.776           778377.601             5.856               7481.754           30174911.173           4033.133           2418672.976             600.6                38445        
  6.333         133333.331           808195.841             6.061               7285.698           31317663.625           4298.513           2346205.011             546.6                37864        
  6.500         133476.263           800387.136             5.996               7312.260           30632834.524           4189.243           2032457.768             485.9                37722        
  6.667         133534.447           809944.026             6.065               7295.817           30885372.046           4233.299           1996778.253             472.4                37493        
  6.833         133655.875           823335.455             6.160               7293.287           31175094.986           4274.492           1872177.787             438.6                37504        
  7.000         133604.015           800243.850             5.990               7241.427           31161165.660           4303.180           2053987.862             478.0                37517        
  7.167         133586.307           812172.356             6.080               7246.487           30593852.501           4221.888           2010346.902             476.9                37556        
  7.333         133456.025           810091.591             6.070               7281.903           30378824.981           4171.825           2122346.245             509.5                37652        
  7.500         133540.771           805572.228             6.032               7279.374           29964774.788           4116.395           1927704.668             469.0                37500        
  7.667         133477.527           803881.610             6.023               7332.498           29828418.675           4067.975           1941547.751             478.0                37572        
