           rCoM                     NinBin                      NA                        NB                      phiLoc                    align                      pInt                     pSwim          
        89.962800                    1183                      375                       808                   1767.669911                -50.901333                3436093.9                 1991886.7        
        91.087335                    1221                      409                       812                   1827.749688                -64.685536                3594664.5                 2114728.3        
        92.211870                    1234                      400                       834                   1851.463257                -18.704855                3658468.8                  307511.0        
        93.336405                    1233                      417                       816                   1851.510951                -59.573267                3663391.6                 1828791.3        
        94.460940                    1289                      422                       867                   1937.895256                -27.928749                3841909.2                 1484780.3        
        95.585475                    1278                      447                       831                   1922.298884                -8.522582                 3778188.8                  414784.7        
        96.710010                    1290                      441                       849                   1940.184047                -19.356042                3772555.4                  102694.5        
        97.834545                    1329                      484                       845                   1999.600431                -4.498142                 3901541.8                  326395.5        
        98.959080                    1325                      450                       875                   1995.156513                -15.052249                3886045.4                  296613.0        
        100.083615                   1366                      444                       922                   2056.869530                10.726194                 3993208.6                  24016.7         
        101.208150                   1353                      473                       880                   2037.887071                -5.227067                 3948100.6                 -213791.6        
        102.332685                   1381                      504                       877                   2080.934877                 7.018757                 4003048.7                 -359938.9        
        103.457220                   1412                      471                       941                   2127.436181                42.101191                 4044719.0                 -1250842.7       
        104.581755                   1389                      475                       914                   2093.770531                24.546657                 3988147.4                 -1157451.2       
        105.706290                   1418                      517                       901                   2137.051492                -13.121318                4026903.2                  497980.0        
        106.830825                   1445                      545                       900                   2177.659688                 9.250625                 4106989.1                  216599.0        
        107.955360                   1427                      528                       899                   2150.535067                -23.287692                4058787.8                 1722098.4        
        109.079895                   1470                      559                       911                   2214.721162                -39.995957                4174995.5                 2462354.2        
        110.204430                   1506                      535                       971                   2268.535507                 8.619323                 4296739.3                 -152979.3        
        111.328965                   1504                      530                       974                   2265.656283                16.789397                 4311774.6                  401608.2        
        112.453500                   1499                      565                       934                   2257.386892                -4.908942                 4283822.2                 -402549.8        
        113.578035                   1547                      602                       945                   2329.062282                24.434181                 4420202.5                 -1013675.7       
        114.702570                   1551                      607                       944                   2335.100445                14.680093                 4427412.0                 -734593.4        
        115.827105                   1538                      551                       987                   2313.557501                48.117110                 4376152.7                 -2588647.0       
        116.951640                   1588                      595                       993                   2388.366343                18.032285                 4552206.6                  330068.8        
        118.076175                   1601                      624                       977                   2405.565693                20.290761                 4563439.6                 -571731.7        
        119.200710                   1582                      583                       999                   2375.583890                31.362007                 4514711.7                 -2294431.7       
        120.325245                   1627                      614                       1013                  2440.484746                37.219711                 4598840.7                 -2171963.5       
        121.449780                   1632                      637                       995                   2445.844090                19.844357                 4552855.4                 -1261357.0       
        122.574315                   1627                      662                       965                   2434.540787                 6.310502                 4473691.1                 -903004.6        
        123.698850                   1673                      681                       992                   2500.957142                10.542391                 4547296.3                 -523705.7        
        124.823385                   1653                      640                       1013                  2465.705852                -33.368206                4489513.0                 1020628.1        
        125.947920                   1681                      647                       1034                  2501.866721                -12.406366                4558048.7                  885188.5        
        127.072455                   1686                      665                       1021                  2501.660544                32.223206                 4575294.7                 -1510628.2       
        128.196990                   1713                      678                       1035                  2535.266811                46.466583                 4600261.1                 -2759419.6       
        129.321525                   1714                      689                       1025                  2526.457572                25.557473                 4555834.8                 -2559940.4       
        130.446060                   1719                      720                       999                   2525.700384                57.903705                 4548653.7                 -1969627.7       
        131.570595                   1763                      721                       1042                  2576.241878                77.476417                 4626586.0                 -2894775.1       
        132.695130                   1744                      752                       992                   2544.512056                88.109121                 4541606.4                 -3090048.2       
        133.819665                   1714                      713                       1001                  2491.867728                73.041676                 4455130.4                 -2963807.2       
        134.944200                   1733                      735                       998                   2513.762782                80.443284                 4486697.4                 -3928809.4       
        136.068735                   1733                      744                       989                   2514.744466                78.710090                 4512964.3                 -1095669.2       
        137.193270                   1708                      731                       977                   2471.179759                47.276901                 4449194.3                 -1864115.3       
        138.317805                   1725                      781                       944                   2473.728259                138.397856                4394163.2                 -6165460.8       
        139.442340                   1733                      734                       999                   2488.989964                151.190281                4417740.3                 -6496396.4       
        140.566875                   1684                      757                       927                   2410.497281                100.872665                4249393.4                 -3003425.7       
        141.691410                   1674                      759                       915                   2394.924541                115.494873                4193980.2                 -3611164.0       
        142.815945                   1661                      758                       903                   2383.416924                109.296208                4222320.5                 -4711589.6       
        143.940480                   1649                      730                       919                   2362.571651                124.883761                4180187.5                 -4640604.6       
        145.065015                   1598                      699                       899                   2299.876205                17.999116                 4090521.9                 -1591527.7       
        146.189550                   1604                      684                       920                   2313.543948                87.662309                 4100864.5                 -4205630.9       
        147.314085                   1591                      684                       907                   2292.367877                90.806100                 4033369.2                 -3871852.7       
        148.438620                   1548                      719                       829                   2231.855695                58.615414                 3944668.4                 -1374470.7       
        149.563155                   1572                      684                       888                   2275.356130                65.359938                 4038047.9                 -2854112.3       
        150.687690                   1551                      655                       896                   2239.900744                91.666094                 3955065.9                 -4344737.9       
        151.812225                   1516                      658                       858                   2185.242188                145.717760                3825765.5                 -7864311.8       
        152.936760                   1558                      657                       901                   2242.735560                138.245653                3876463.3                 -7582790.3       
        154.061295                   1522                      667                       855                   2177.576103                109.594687                3712344.7                 -4782851.9       
        155.185830                   1504                      666                       838                   2130.969221                137.024754                3597373.7                 -6914139.1       
        156.310365                   1539                      694                       845                   2168.575609                129.741571                3678892.7                 -6570086.5       
        157.434900                   1523                      711                       812                   2125.204001                154.822592                3594676.9                 -7563802.1       
        158.559435                   1470                      660                       810                   2039.814068                131.223541                3435824.1                 -7327375.3       
        159.683970                   1479                      697                       782                   2035.992974                169.430745                3413174.5                 -8986643.2       
        160.808505                   1425                      682                       743                   1957.833447                154.295010                3291700.1                 -8386632.8       
        161.933040                   1435                      647                       788                   1948.457693                180.574154                3201024.7                 -9480012.6       
        163.057575                   1364                      644                       720                   1860.727196                148.412381                3071095.5                 -7367157.2       
        164.182110                   1336                      620                       716                   1822.745079                124.774036                2979576.3                 -6449059.6       
        165.306645                   1262                      603                       659                   1735.806469                114.125282                2865303.3                 -5080455.3       
        166.431180                   1258                      585                       673                   1736.627727                110.442516                2869049.1                 -5035635.5       
        167.555715                   1196                      554                       642                   1667.262370                107.565760                2789413.9                 -3967188.3       
        168.680250                   1166                      525                       641                   1633.325539                104.245813                2761638.4                 -6098204.5       
        169.804785                   1164                      535                       629                   1628.116314                46.928602                 2765418.6                 -3046338.9       
        170.929320                   1142                      552                       590                   1601.940076                80.189455                 2723288.0                 -3393484.2       
        172.053855                   1098                      522                       576                   1544.690494                90.914787                 2628588.8                 -6192149.1       
        173.178390                   1086                      486                       600                   1524.877509                92.006572                 2578926.2                 -5465885.9       
        174.302925                   1086                      512                       574                   1525.512746                60.246206                 2565490.9                 -3494927.4       
        175.427460                   1062                      505                       557                   1483.124082                114.107933                2468394.8                 -6417783.4       
        176.551995                   1050                      527                       523                   1465.189322                101.325263                2406564.5                 -4779268.2       
        177.676530                   1021                      458                       563                   1419.820120                88.208281                 2332178.3                 -5297991.0       
        178.801065                   1018                      498                       520                   1409.185405                105.104974                2328476.8                 -6031086.8       
        179.925600                   986                       444                       542                   1358.709806                143.160244                2230427.7                 -9872463.2       
        181.050135                   971                       442                       529                   1328.793229                166.562137                2161271.2                -11727316.4       
        182.174670                   940                       451                       489                   1277.536545                126.704339                2030691.4                 -8810866.2       
        183.299205                   922                       422                       500                   1239.999067                115.053649                1922763.2                 -7525943.3       
        184.423740                   892                       386                       506                   1191.753266                106.831240                1842060.8                 -6098409.5       
        185.548275                   875                       439                       436                   1143.194367                145.755695                1698920.0                 -8802927.5       
        186.672810                   861                       424                       437                   1112.281300                176.215294                1640499.6                -10920098.8       
        187.797345                   820                       431                       389                   1031.675108                220.092470                1473876.4                -13889044.2       
        188.921880                   795                       391                       404                    985.661636                197.965595                1347342.3                -12052636.5       
        190.046415                   740                       371                       369                    894.236146                168.816537                1175708.0                -11860070.5       
        191.170950                   710                       372                       338                    836.862526                202.889424                1048249.6                -12142947.7       
        192.295485                   682                       375                       307                    774.860454                181.088098                 920515.8                -11037968.7       
        193.420020                   620                       364                       256                    682.042495                229.818475                 775886.0                -12362892.9       
        194.544555                   561                       352                       209                    598.921345                194.393203                 641449.5                -10638733.5       
        195.669090                   490                       289                       201                    514.774494                146.765871                 544852.8                 -8363814.0       
        196.793625                   442                       262                       180                    449.368263                136.194770                 458536.3                 -7629593.6       
        197.918160                   391                       245                       146                    381.916938                126.560468                 361454.8                 -7588307.8       
        199.042695                   346                       230                       116                    327.670547                127.344482                 283275.4                 -7400076.8       
        200.167230                   272                       189                        83                    247.011659                93.418479                  197368.7                 -4436403.1       
        201.291765                   225                       159                        66                    196.669420                82.958078                  159339.0                 -4358249.8       
        202.416300                   178                       128                        50                    155.250295                68.147484                  120227.1                 -3343834.4       
        203.540835                   133                        99                        34                    108.136600                46.729408                  69472.4                  -2732874.4       
        204.665370                   116                        91                        25                    91.452219                 45.574797                  52848.1                  -1818690.4       
        205.789905                    77                        60                        17                    58.071153                 32.653402                  29146.6                  -1367801.2       
        206.914440                    50                        35                        15                    35.004054                 22.236607                  13691.9                  -901673.3        
        208.038975                    26                        22                        4                     16.749795                  1.505892                   7008.4                   -10141.2        
        209.163510                    16                        15                        1                      9.456047                  4.884372                   2343.6                  -219887.8        
        210.288045                    7                         6                         1                      3.905232                  1.216757                   730.1                     -163.7         
        211.412580                    1                         1                         0                      0.519302                 -0.997913                    39.3                    31539.5         
        212.537115                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        213.661650                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        214.786185                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        215.910720                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        217.035255                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        218.159790                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        219.284325                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        220.408860                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        221.533395                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        222.657930                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        223.782465                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        224.907000                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        226.031535                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        227.156070                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        228.280605                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        229.405140                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        230.529675                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        231.654210                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        232.778745                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        233.903280                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        235.027815                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        236.152350                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        237.276885                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        238.401420                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
