           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
        99.950738                   116954                152597.439426              3247.027360               145167144.1                -146809.1        
        101.073780                  118254                153553.023621              3801.604922               145507779.0                -161014.4        
        102.196822                  119014                153590.093562              5325.251715               144849151.6                -254182.4        
        103.319864                  119832                153371.655960              6472.545463               143589656.2                -249923.5        
        104.442906                  120336                152391.938226              8434.963000               141982982.3                -356080.3        
        105.565948                  121134                151390.928705              10026.055357              139855209.2                -423946.3        
        106.688990                  120607                148323.317241              12580.187882              135669598.8                -560060.1        
        107.812032                  120668                145553.473728              14974.959624              131379792.9                -702440.0        
        108.935074                  119064                140591.425199              17308.733698              124990030.6                -856870.9        
        110.058116                  117235                135095.818994              20336.239090              117921321.6                -1057728.6       
        111.181158                  113670                127763.576335              21950.652526              109541482.2                -1184312.8       
        112.304200                  109031                119372.864077              23791.170635              100240276.3                -1315243.0       
        113.427242                  102858                109743.599342              24338.829267               90376487.1                -1422309.9       
        114.550284                  95860                  99579.018350              25002.084756               80148545.5                -1509009.9       
        115.673326                  87691                  88623.148402              24120.446162               69699269.7                -1463067.8       
        116.796368                  79249                  77914.555847              23191.186907               59727109.8                -1540045.3       
        117.919410                  69825                  66745.656183              21656.939217               49843185.3                -1446232.3       
        119.042452                  60502                  56233.979489              19821.419076               40740678.7                -1363750.2       
        120.165494                  51350                  46409.204133              17266.901845               32494767.7                -1169138.5       
        121.288536                  42423                  37247.213333              14599.280577               25224958.0                -961512.4        
        122.411578                  34683                  29559.322086              12474.634278               19266318.3                -785062.3        
        123.534620                  27176                  22475.925356              9907.680971                13972419.6                -637376.8        
        124.657662                  20956                  16804.519074              7876.292283                9942428.4                 -477039.2        
        125.780704                  15521                  12027.393614              5893.678162                6731735.9                 -346253.0        
        126.903746                  11176                  8344.552768               4295.227469                4358475.7                 -228834.2        
        128.026788                   7715                  5536.098982               2982.414877                2651804.4                 -163638.2        
        129.149830                   4868                  3363.562508               1871.694067                1473081.2                  -92632.4        
        130.272872                   2936                  1940.375271               1022.574385                 730776.5                  -46700.5        
        131.395914                   1635                  1033.170192                522.372904                 353911.7                  -21161.4        
        132.518956                   816                    489.973741                243.584316                 157803.7                  -8573.2         
        133.641998                   393                    223.389309                82.528329                  70893.6                   -4465.2         
        134.765040                   178                    96.023103                 45.578583                  25751.0                   -1913.0         
        135.888082                    64                    31.400459                 20.248260                   6400.7                   -1176.9         
        137.011124                    21                     9.464846                  5.060560                   1939.7                    -343.6         
        138.134166                    5                      2.066466                 -0.687591                   480.9                      16.8          
        139.257208                    1                      0.377999                  0.930751                    54.6                     -144.0         
        140.380250                    0                      0.000000                  0.000000                    0.0                       0.0           
        141.503292                    0                      0.000000                  0.000000                    0.0                       0.0           
        142.626334                    0                      0.000000                  0.000000                    0.0                       0.0           
        143.749376                    0                      0.000000                  0.000000                    0.0                       0.0           
        144.872418                    0                      0.000000                  0.000000                    0.0                       0.0           
        145.995460                    0                      0.000000                  0.000000                    0.0                       0.0           
        147.118502                    0                      0.000000                  0.000000                    0.0                       0.0           
        148.241544                    0                      0.000000                  0.000000                    0.0                       0.0           
        149.364586                    0                      0.000000                  0.000000                    0.0                       0.0           
        150.487628                    0                      0.000000                  0.000000                    0.0                       0.0           
        151.610670                    0                      0.000000                  0.000000                    0.0                       0.0           
        152.733712                    0                      0.000000                  0.000000                    0.0                       0.0           
        153.856754                    0                      0.000000                  0.000000                    0.0                       0.0           
        154.979796                    0                      0.000000                  0.000000                    0.0                       0.0           
        156.102838                    0                      0.000000                  0.000000                    0.0                       0.0           
        157.225880                    0                      0.000000                  0.000000                    0.0                       0.0           
        158.348922                    0                      0.000000                  0.000000                    0.0                       0.0           
        159.471964                    0                      0.000000                  0.000000                    0.0                       0.0           
        160.595006                    0                      0.000000                  0.000000                    0.0                       0.0           
        161.718048                    0                      0.000000                  0.000000                    0.0                       0.0           
        162.841090                    0                      0.000000                  0.000000                    0.0                       0.0           
        163.964132                    0                      0.000000                  0.000000                    0.0                       0.0           
        165.087174                    0                      0.000000                  0.000000                    0.0                       0.0           
