 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      50000        0        50000        0          0          0          13         0          13         0        1.0335     1.0335     0.0000     0.0000      0.59      9.4286     0.0000     9.4286     0.0000     0.0000     0.0000    65449.85 
 15416.00    39877        0        39877      10123        0        10123       447         0         447        163       0.9689     0.9689     0.0000     0.0000      0.55     315.6025    0.0000    315.6025  7147.4478    0.0000   7147.4478   65449.85 
 30832.00    30568        0        30568      19432        0        19432       795         0         795        208       0.9778     0.9778     0.0000     0.0000      0.55     557.7042    0.0000    557.7042  13659.7955   0.0000   13659.7955  65449.85 
 46248.00    27912        0        27912      22088        0        22088       729         0         729        230       0.9726     0.9726     0.0000     0.0000      0.55     513.3624    0.0000    513.3624  15499.5875   0.0000   15499.5875  65449.85 
 61664.00    25764        0        25764      24236        0        24236       1090        0         1090       244       0.9594     0.9594     0.0000     0.0000      0.55     762.6999    0.0000    762.6999  16982.2465   0.0000   16982.2465  65449.85 
 77080.00    24704        0        24704      25296        0        25296       1347        0         1347       341       0.9694     0.9694     0.0000     0.0000      0.55     936.9841    0.0000    936.9841  17690.3928   0.0000   17690.3928  65449.85 
 92496.00    24052        0        24052      25948        0        25948       2298        0         2298       336       0.9564     0.9564     0.0000     0.0000      0.55    1599.0063    0.0000   1599.0063  18120.5430   0.0000   18120.5430  65449.85 
107912.00    21402        0        21402      28598        0        28598       1534        0         1534       310       0.9829     0.9829     0.0000     0.0000      0.55    1064.0596    0.0000   1064.0596  19960.7079   0.0000   19960.7079  65449.85 
123328.00    21686        0        21686      28314        0        28314       1698        0         1698       341       0.9616     0.9616     0.0000     0.0000      0.55    1189.5347    0.0000   1189.5347  19770.1450   0.0000   19770.1450  65449.85 
138744.00    22022        0        22022      27978        0        27978       1634        0         1634       341       0.9741     0.9741     0.0000     0.0000      0.55    1140.0516    0.0000   1140.0516  19509.9792   0.0000   19509.9792  65449.85 
154160.00    20774        0        20774      29226        0        29226       2375        0         2375       384       0.9505     0.9505     0.0000     0.0000      0.55    1649.7707    0.0000   1649.7707  20366.5459   0.0000   20366.5459  65449.85 
169576.00    21710        0        21710      28290        0        28290       1637        0         1637       387       0.9587     0.9587     0.0000     0.0000      0.55    1134.5383    0.0000   1134.5383  19709.6735   0.0000   19709.6735  65449.85 
