 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
826656.00    17413        0        17413      32587        0        32587       5271        0         5271       905       0.9066     0.9066     0.0000     0.0000      0.49    3170.1176    0.0000   3170.1176  19832.8255   0.0000   19832.8255  65449.85 
852489.00    17296        0        17296      32704        0        32704       4178        0         4178       743       0.8876     0.8876     0.0000     0.0000      0.49    2556.0789    0.0000   2556.0789  19882.3522   0.0000   19882.3522  65449.85 
878322.00    17744        0        17744      32256        0        32256       4137        0         4137       921       0.9031     0.9031     0.0000     0.0000      0.49    2487.0302    0.0000   2487.0302  19585.6729   0.0000   19585.6729  65449.85 
904155.00    17686        0        17686      32314        0        32314       2734        0         2734       897       0.8779     0.8779     0.0000     0.0000      0.48    1655.7175    0.0000   1655.7175  19583.3784   0.0000   19583.3784  65449.85 
929988.00    17455        0        17455      32545        0        32545       6631        0         6631       1017      0.8932     0.8932     0.0000     0.0000      0.48    4047.3333    0.0000   4047.3333  19702.7054   0.0000   19702.7054  65449.85 
955821.00    17875        0        17875      32125        0        32125       5781        0         5781       868       0.8933     0.8933     0.0000     0.0000      0.48    3494.4322    0.0000   3494.4322  19404.1885   0.0000   19404.1885  65449.85 
981654.00    18493        0        18493      31507        0        31507       3218        0         3218       851       0.8863     0.8863     0.0000     0.0000      0.48    1939.0232    0.0000   1939.0232  18982.0311   0.0000   18982.0311  65449.85 
1007487.00   17156        0        17156      32844        0        32844       2775        0         2775       938       0.8929     0.8929     0.0000     0.0000      0.48    1653.5521    0.0000   1653.5521  19797.2428   0.0000   19797.2428  65449.85 
1033320.00   17362        0        17362      32638        0        32638       5230        0         5230       1052      0.9006     0.9006     0.0000     0.0000      0.48    3153.2926    0.0000   3153.2926  19639.8932   0.0000   19639.8932  65449.85 
1059153.00   17699        0        17699      32301        0        32301       4185        0         4185       1076      0.8856     0.8856     0.0000     0.0000      0.48    2499.8920    0.0000   2499.8920  19376.4140   0.0000   19376.4140  65449.85 
1084986.00   17441        0        17441      32559        0        32559       6740        0         6740       1085      0.8989     0.8989     0.0000     0.0000      0.48    4041.1131    0.0000   4041.1131  19523.2118   0.0000   19523.2118  65449.85 
1110819.00   17791        0        17791      32209        0        32209       9458        0         9458       1238      0.8816     0.8816     0.0000     0.0000      0.48    5682.6644    0.0000   5682.6644  19272.3417   0.0000   19272.3417  65449.85 
1136652.00   17975        0        17975      32025        0        32025       4329        0         4329       1000      0.8862     0.8862     0.0000     0.0000      0.48    2591.4448    0.0000   2591.4448  19116.1985   0.0000   19116.1985  65449.85 
1162485.00   17788        0        17788      32212        0        32212       6301        0         6301       1039      0.8810     0.8810     0.0000     0.0000      0.48    3753.1925    0.0000   3753.1925  19186.8657   0.0000   19186.8657  65449.85 
1188318.00   17434        0        17434      32566        0        32566       5842        0         5842       1163      0.8886     0.8886     0.0000     0.0000      0.48    3471.5843    0.0000   3471.5843  19379.6836   0.0000   19379.6836  65449.85 
1214151.00   17262        0        17262      32738        0        32738       4506        0         4506       1023      0.8886     0.8886     0.0000     0.0000      0.48    2652.3297    0.0000   2652.3297  19447.2789   0.0000   19447.2789  65449.85 
1239984.00   17589        0        17589      32411        0        32411       3784        0         3784       1080      0.8836     0.8836     0.0000     0.0000      0.48    2210.9484    0.0000   2210.9484  19203.9321   0.0000   19203.9321  65449.85 
1265817.00   17474        0        17474      32526        0        32526       4409        0         4409       1084      0.8757     0.8757     0.0000     0.0000      0.48    2614.8706    0.0000   2614.8706  19245.4357   0.0000   19245.4357  65449.85 
1291650.00   17350        0        17350      32650        0        32650       6209        0         6209       1306      0.8826     0.8826     0.0000     0.0000      0.48    3673.4575    0.0000   3673.4575  19299.1388   0.0000   19299.1388  65449.85 
1317483.00   17312        0        17312      32688        0        32688       3098        0         3098       1210      0.8912     0.8912     0.0000     0.0000      0.48    1829.5490    0.0000   1829.5490  19289.8861   0.0000   19289.8861  65449.85 
1343316.00   17234        0        17234      32766        0        32766       3408        0         3408       1129      0.8869     0.8869     0.0000     0.0000      0.48    1959.6676    0.0000   1959.6676  19336.7107   0.0000   19336.7107  65449.85 
1369149.00   17300        0        17300      32700        0        32700       3120        0         3120       1054      0.8737     0.8737     0.0000     0.0000      0.48    1785.0192    0.0000   1785.0192  19264.5394   0.0000   19264.5394  65449.85 
1394982.00   17643        0        17643      32357        0        32357       3107        0         3107       1115      0.8728     0.8728     0.0000     0.0000      0.48    1772.5056    0.0000   1772.5056  19010.2509   0.0000   19010.2509  65449.85 
1420815.00   17282        0        17282      32718        0        32718       3148        0         3148       1258      0.8719     0.8719     0.0000     0.0000      0.48    1796.3680    0.0000   1796.3680  19209.1287   0.0000   19209.1287  65449.85 
1446648.00   17801        0        17801      32199        0        32199       3201        0         3201       1149      0.8843     0.8843     0.0000     0.0000      0.48    1821.2089    0.0000   1821.2089  18840.5788   0.0000   18840.5788  65449.85 
1472481.00   17023        0        17023      32977        0        32977       3636        0         3636       1374      0.8749     0.8749     0.0000     0.0000      0.48    2096.3994    0.0000   2096.3994  19338.4739   0.0000   19338.4739  65449.85 
1498314.00   17363        0        17363      32637        0        32637       3677        0         3677       1305      0.8730     0.8730     0.0000     0.0000      0.48    2113.9469    0.0000   2113.9469  19085.9755   0.0000   19085.9755  65449.85 
1524147.00   17236        0        17236      32764        0        32764       3735        0         3735       1365      0.8769     0.8769     0.0000     0.0000      0.47    2204.6308    0.0000   2204.6308  19123.6128   0.0000   19123.6128  65449.85 
1549980.00   16973        0        16973      33027        0        33027       3734        0         3734       1321      0.8681     0.8681     0.0000     0.0000      0.47    2207.7174    0.0000   2207.7174  19265.6798   0.0000   19265.6798  65449.85 
1575813.00   16262        0        16262      33738        0        33738       3589        0         3589       1163      0.8746     0.8746     0.0000     0.0000      0.47    2039.7382    0.0000   2039.7382  19699.7362   0.0000   19699.7362  65449.85 
1601646.00   16591        0        16591      33409        0        33409       3712        0         3712       1152      0.8617     0.8617     0.0000     0.0000      0.47    2104.9971    0.0000   2104.9971  19439.6473   0.0000   19439.6473  65449.85 
