           tauB                     NinLC                      phiL          
          14.40                     71411                    0.23410                   1.99536         
          14.50                     71371                    0.23488                   1.99424         
          14.60                     71558                    0.23368                   1.99436         
          14.70                     71304                    0.23420                   2.00420         
          14.80                     71299                    0.23376                   2.01067         
          14.90                     71495                    0.23279                   2.00870         
          15.00                     71799                    0.23133                   2.00754         
          15.10                     71825                    0.23107                   2.00927         
          15.20                     71882                    0.23049                   2.01258         
          15.30                     72092                    0.22854                   2.01510         
          15.40                     72291                    0.22775                   2.01522         
          15.50                     72295                    0.22913                   2.01455         
          15.60                     72589                    0.22614                   2.00859         
          15.70                     72636                    0.22661                   2.00382         
          15.80                     72813                    0.22517                   1.99770         
          15.90                     72825                    0.22406                   1.99999         
          16.00                     72933                    0.22441                   1.99958         
          16.10                     73035                    0.22441                   1.99933         
          16.20                     73293                    0.22249                   1.99496         
          16.30                     73423                    0.22177                   1.99299         
          16.40                     73493                    0.22146                   1.99037         
          16.50                     73369                    0.22187                   1.99837         
          16.60                     73456                    0.22178                   1.99755         
          16.70                     72979                    0.22375                   2.00243         
          16.80                     73050                    0.22390                   2.00025         
          16.90                     72910                    0.22448                   2.00011         
          17.00                     72899                    0.22427                   1.99801         
          17.10                     72932                    0.22402                   1.99163         
          17.20                     72478                    0.22784                   1.99498         
          17.30                     72122                    0.22959                   2.00203         
          17.40                     72257                    0.22812                   2.00171         
          17.50                     72211                    0.22776                   2.00251         
          17.60                     72104                    0.22963                   2.00573         
          17.70                     72132                    0.22911                   2.00031         
          17.80                     72302                    0.22838                   2.00025         
          17.90                     72095                    0.23037                   2.00356         
          18.00                     72055                    0.23000                   2.00115         
          18.10                     72276                    0.22855                   1.99440         
          18.20                     72355                    0.22819                   1.98878         
          18.30                     72411                    0.22846                   1.98633         
          18.40                     72109                    0.22993                   1.99249         
          18.50                     72018                    0.23017                   1.99981         
          18.60                     71927                    0.23037                   2.00006         
          18.70                     71781                    0.23146                   2.00314         
          18.80                     71993                    0.22994                   2.00314         
          18.90                     72054                    0.22997                   2.00397         
          19.00                     71986                    0.23116                   2.00817         
          19.10                     72000                    0.23135                   2.00784         
          19.20                     71918                    0.23055                   2.01109         
          19.30                     71972                    0.22985                   2.01044         
          19.40                     72028                    0.22955                   2.01241         
          19.50                     72256                    0.22762                   2.01046         
          19.60                     72263                    0.22845                   2.00958         
          19.70                     72510                    0.22699                   2.00434         
          19.80                     72447                    0.22694                   2.00490         
          19.90                     72377                    0.22720                   2.00392         
          20.00                     71997                    0.22931                   2.00868         
          20.10                     72048                    0.22948                   2.00821         
          20.20                     72262                    0.22792                   2.00305         
          20.30                     72385                    0.22682                   2.00274         
          20.40                     72345                    0.22767                   2.00654         
          20.50                     72309                    0.22807                   2.01004         
          20.60                     72299                    0.22813                   2.01453         
          20.70                     72473                    0.22709                   2.01529         
          20.80                     72627                    0.22558                   2.01429         
          20.90                     72516                    0.22687                   2.00967         
          21.00                     72615                    0.22581                   2.00277         
          21.10                     72587                    0.22675                   2.00179         
          21.20                     72577                    0.22625                   2.00553         
          21.30                     72740                    0.22526                   2.00321         
          21.40                     72848                    0.22451                   2.00555         
          21.50                     73004                    0.22441                   2.00276         
          21.60                     73251                    0.22246                   1.99686         
          21.70                     73255                    0.22249                   1.99233         
          21.80                     73170                    0.22226                   1.99176         
          21.90                     73166                    0.22278                   1.99212         
          22.00                     73026                    0.22412                   1.99275         
          22.10                     72923                    0.22409                   1.99517         
          22.20                     72805                    0.22643                   1.99572         
          22.30                     73082                    0.22320                   1.99587         
          22.40                     73234                    0.22171                   1.99968         
          22.50                     73268                    0.22195                   1.99793         
          22.60                     73374                    0.22188                   1.99716         
          22.70                     73476                    0.22140                   1.99405         
          22.80                     73493                    0.22166                   1.98757         
          22.90                     73275                    0.22400                   1.98880         
          23.00                     72924                    0.22576                   1.99090         
          23.10                     72873                    0.22475                   1.99415         
          23.20                     72634                    0.22686                   2.00027         
          23.30                     72302                    0.22852                   2.00226         
          23.40                     72088                    0.22985                   2.00127         
          23.50                     71979                    0.23191                   2.00470         
          23.60                     71973                    0.23069                   2.00206         
          23.70                     71945                    0.23025                   1.99939         
          23.80                     71826                    0.23302                   1.99984         
          23.90                     71909                    0.23074                   1.99692         
          24.00                     71650                    0.23291                   1.99753         
          24.10                     71472                    0.23296                   2.00093         
          24.20                     71592                    0.23270                   2.00273         
          24.30                     71695                    0.23280                   2.00086         
          24.40                     71949                    0.23183                   1.99430         
          24.50                     72077                    0.23031                   1.98949         
          24.60                     72064                    0.23081                   1.99255         
          24.70                     72000                    0.23050                   1.99584         
          24.80                     71837                    0.23084                   2.00027         
          24.90                     71708                    0.23073                   2.00209         
          25.00                     71590                    0.23271                   2.00627         
          25.10                     71514                    0.23302                   2.00952         
          25.20                     71283                    0.23468                   2.00722         
          25.30                     71141                    0.23653                   2.00178         
          25.40                     71093                    0.23613                   2.00158         
          25.50                     71127                    0.23578                   1.99977         
          25.60                     71297                    0.23463                   1.99432         
          25.70                     71128                    0.23685                   1.99596         
          25.80                     71000                    0.23554                   1.99858         
          25.90                     70769                    0.23802                   2.00778         
          26.00                     70882                    0.23628                   2.00703         
          26.10                     71108                    0.23568                   2.00839         
          26.20                     71235                    0.23515                   2.00971         
          26.30                     71548                    0.23280                   2.00611         
          26.40                     71761                    0.23187                   2.00212         
          26.50                     71967                    0.23112                   1.99979         
          26.60                     71959                    0.23073                   2.00277         
          26.70                     72169                    0.22963                   1.99959         
          26.80                     72079                    0.23007                   1.99789         
          26.90                     72173                    0.22958                   1.99479         
          27.00                     72109                    0.23027                   1.99411         
          27.10                     71991                    0.23001                   1.99358         
          27.20                     71804                    0.23194                   1.99466         
          27.30                     71932                    0.23101                   1.99163         
          27.40                     71997                    0.23142                   1.99132         
          27.50                     72158                    0.22919                   1.99105         
          27.60                     72309                    0.22869                   1.99116         
          27.70                     72601                    0.22748                   1.98883         
          27.80                     72793                    0.22586                   1.99262         
          27.90                     72672                    0.22589                   1.99825         
          28.00                     72616                    0.22704                   1.99701         
          28.10                     72586                    0.22682                   1.99285         
          28.20                     72413                    0.22789                   1.99251         
          28.30                     72063                    0.23004                   1.99532         
          28.40                     71706                    0.23231                   1.99979         
          28.50                     71687                    0.23232                   2.00109         
          28.60                     71789                    0.23151                   2.00026         
          28.70                     71885                    0.23123                   1.99784         
          28.80                     71970                    0.23230                   1.99639         
          28.90                     72136                    0.22979                   1.99316         
          29.00                     72451                    0.22740                   1.99115         
          29.10                     72404                    0.22796                   1.99340         
          29.20                     72399                    0.22906                   1.98636         
          29.30                     72245                    0.22880                   1.98338         
          29.40                     72173                    0.22901                   1.98090         
          29.50                     72113                    0.23000                   1.98129         
          29.60                     71954                    0.23132                   1.98822         
