           tauB                     NinLC                      phiL          
           0.00                     14403                    0.54915                   1.44630         
           0.10                     15054                    0.53756                   1.47555         
           0.20                     15659                    0.52948                   1.48281         
           0.30                     16361                    0.52851                   1.47325         
           0.40                     16652                    0.52706                   1.47805         
           0.50                     17406                    0.52440                   1.45027         
           0.60                     17860                    0.52421                   1.43670         
           0.70                     17823                    0.52317                   1.44989         
           0.80                     20412                    0.52421                   1.34465         
           0.90                     19102                    0.52493                   1.40308         
           1.00                     20493                    0.52313                   1.35176         
           1.10                     19503                    0.52346                   1.40317         
           1.20                     20661                    0.52400                   1.36729         
           1.30                     21660                    0.52244                   1.33731         
           1.40                     21647                    0.52115                   1.34508         
           1.50                     21537                    0.52042                   1.36084         
           1.60                     20916                    0.51792                   1.39757         
           1.70                     21070                    0.51612                   1.40579         
           1.80                     21521                    0.51576                   1.40265         
           1.90                     21777                    0.51558                   1.40097         
           2.00                     21793                    0.51475                   1.40930         
           2.10                     22215                    0.51410                   1.40529         
           2.20                     23702                    0.51236                   1.36362         
           2.30                     22024                    0.51279                   1.43794         
           2.40                     22819                    0.51185                   1.41323         
           2.50                     23675                    0.50864                   1.38583         
           2.60                     24022                    0.50901                   1.37762         
           2.70                     23512                    0.50863                   1.40247         
           2.80                     24413                    0.50777                   1.37840         
           2.90                     25265                    0.50593                   1.36189         
           3.00                     24896                    0.50591                   1.38229         
           3.10                     26073                    0.50748                   1.35033         
           3.20                     25362                    0.50412                   1.37978         
           3.30                     25547                    0.50590                   1.38035         
           3.40                     25681                    0.50639                   1.37742         
           3.50                     27078                    0.50468                   1.33652         
           3.60                     27610                    0.50446                   1.32260         
           3.70                     27410                    0.50393                   1.33081         
           3.80                     27187                    0.50377                   1.33948         
           3.90                     26956                    0.50251                   1.35085         
           4.00                     27610                    0.50310                   1.33386         
           4.10                     27254                    0.49938                   1.34195         
           4.20                     27633                    0.50215                   1.32848         
           4.30                     29129                    0.50290                   1.29177         
           4.40                     28706                    0.50262                   1.30374         
           4.50                     29839                    0.50416                   1.27726         
           4.60                     27980                    0.50254                   1.32600         
           4.70                     26885                    0.50344                   1.35913         
           4.80                     26213                    0.50345                   1.37670         
           4.90                     28457                    0.50344                   1.31765         
           5.00                     28513                    0.50138                   1.31874         
           5.10                     29513                    0.50222                   1.29346         
           5.20                     29738                    0.49899                   1.28959         
           5.30                     29416                    0.49857                   1.29961         
           5.40                     29940                    0.50035                   1.28835         
           5.50                     30244                    0.50021                   1.27996         
           5.60                     29944                    0.50017                   1.28270         
           5.70                     29567                    0.50043                   1.29269         
           5.80                     29916                    0.49860                   1.28333         
           5.90                     30806                    0.49972                   1.26197         
           6.00                     31275                    0.49885                   1.25172         
           6.10                     31138                    0.49848                   1.25826         
           6.20                     31471                    0.50097                   1.25365         
           6.30                     29467                    0.49772                   1.29891         
           6.40                     31399                    0.50007                   1.25690         
           6.50                     31552                    0.50000                   1.25081         
           6.60                     30700                    0.49989                   1.26825         
           6.70                     30141                    0.50099                   1.27876         
           6.80                     32086                    0.50029                   1.23305         
           6.90                     30846                    0.49928                   1.25897         
           7.00                     31650                    0.49923                   1.24044         
           7.10                     31273                    0.50015                   1.24519         
           7.20                     29358                    0.50229                   1.28623         
           7.30                     31845                    0.50102                   1.22820         
           7.40                     30852                    0.49891                   1.25012         
           7.50                     32452                    0.50016                   1.21514         
           7.60                     33230                    0.50082                   1.20190         
           7.70                     32454                    0.50192                   1.21681         
           7.80                     33368                    0.50082                   1.19695         
           7.90                     33020                    0.50384                   1.20441         
           8.00                     33854                    0.50237                   1.19169         
           8.10                     31522                    0.50343                   1.23463         
           8.20                     32246                    0.50079                   1.21966         
           8.30                     30996                    0.50165                   1.24615         
           8.40                     32285                    0.50264                   1.21833         
           8.50                     31606                    0.50143                   1.23426         
           8.60                     32285                    0.50126                   1.21983         
           8.70                     31356                    0.50045                   1.23977         
           8.80                     31552                    0.50353                   1.23609         
           8.90                     31632                    0.50256                   1.23119         
           9.00                     31654                    0.50015                   1.23335         
           9.10                     31861                    0.50176                   1.22728         
           9.20                     32731                    0.50143                   1.21069         
           9.30                     33189                    0.50335                   1.20174         
           9.40                     30590                    0.50247                   1.25219         
           9.50                     30125                    0.50168                   1.26108         
           9.60                     30501                    0.50302                   1.25331         
           9.70                     32806                    0.50131                   1.20079         
           9.80                     30697                    0.50242                   1.24202         
           9.90                     32882                    0.50131                   1.19471         
          10.00                     30476                    0.50170                   1.24459         
          10.10                     30348                    0.50367                   1.24798         
          10.20                     31670                    0.50306                   1.21848         
          10.30                     32123                    0.50213                   1.20876         
          10.40                     31118                    0.50204                   1.22737         
          10.50                     33290                    0.50282                   1.18729         
          10.60                     31448                    0.50337                   1.22087         
          10.70                     33038                    0.50131                   1.18997         
          10.80                     32392                    0.50324                   1.19663         
          10.90                     34577                    0.50135                   1.15739         
          11.00                     32007                    0.50069                   1.20064         
          11.10                     34626                    0.50143                   1.15257         
          11.20                     32553                    0.50300                   1.19074         
          11.30                     30834                    0.50244                   1.23077         
          11.40                     33199                    0.50309                   1.18329         
          11.50                     32074                    0.50301                   1.20290         
          11.60                     32596                    0.50390                   1.19343         
          11.70                     31765                    0.50489                   1.20682         
          11.80                     31437                    0.50438                   1.21440         
          11.90                     31845                    0.50453                   1.20553         
          12.00                     31748                    0.50336                   1.20153         
          12.10                     35164                    0.50436                   1.14026         
          12.20                     33148                    0.50499                   1.17031         
          12.30                     30828                    0.50545                   1.21055         
          12.40                     29929                    0.50766                   1.22217         
          12.50                     28788                    0.50926                   1.24778         
          12.60                     31121                    0.50553                   1.19491         
          12.70                     30405                    0.50679                   1.20726         
