           tauB                     NinLC                      phiL          
           0.00                     23265                    0.50383                   1.78846         
           0.10                     25015                    0.47985                   2.01796         
           0.20                     27405                    0.46667                   2.10125         
           0.30                     29665                    0.45188                   2.15142         
           0.40                     32207                    0.44067                   2.18554         
           0.50                     34799                    0.42897                   2.20908         
           0.60                     37528                    0.41569                   2.21994         
           0.70                     40005                    0.40385                   2.23562         
           0.80                     42777                    0.39214                   2.24201         
           0.90                     45358                    0.37882                   2.25366         
           1.00                     48356                    0.36291                   2.25526         
           1.10                     50953                    0.34902                   2.26045         
           1.20                     53622                    0.33468                   2.25460         
           1.30                     56221                    0.31870                   2.25033         
           1.40                     58728                    0.30422                   2.24740         
           1.50                     61178                    0.28955                   2.24293         
           1.60                     63442                    0.27648                   2.23947         
           1.70                     65633                    0.26459                   2.23212         
           1.80                     67665                    0.25171                   2.22644         
           1.90                     69494                    0.24073                   2.21947         
           2.00                     71340                    0.22828                   2.20895         
           2.10                     73049                    0.21705                   2.19728         
           2.20                     74532                    0.20832                   2.18793         
           2.30                     76106                    0.19815                   2.17943         
           2.40                     77354                    0.19076                   2.16874         
           2.50                     78619                    0.18279                   2.16033         
           2.60                     79569                    0.17855                   2.15197         
           2.70                     80512                    0.17113                   2.13740         
           2.80                     81019                    0.16881                   2.12694         
           2.90                     81546                    0.16641                   2.12384         
           3.00                     82019                    0.16180                   2.12158         
           3.10                     82384                    0.16120                   2.11691         
           3.20                     82659                    0.15958                   2.10935         
           3.30                     82891                    0.15923                   2.10115         
           3.40                     82731                    0.16141                   2.10237         
           3.50                     82505                    0.16312                   2.10502         
           3.60                     82104                    0.16527                   2.10824         
           3.70                     81848                    0.16495                   2.10865         
           3.80                     81514                    0.16697                   2.11640         
           3.90                     81531                    0.16527                   2.11096         
           4.00                     81280                    0.16881                   2.10720         
           4.10                     81077                    0.17117                   2.10627         
           4.20                     81082                    0.17049                   2.10507         
           4.30                     81162                    0.17031                   2.10007         
           4.40                     81023                    0.17306                   2.10101         
           4.50                     80943                    0.17315                   2.10302         
           4.60                     80644                    0.17334                   2.10991         
           4.70                     80128                    0.17817                   2.11824         
           4.80                     79911                    0.17923                   2.11878         
           4.90                     79731                    0.17883                   2.11941         
           5.00                     79816                    0.17758                   2.11961         
           5.10                     79682                    0.17939                   2.11989         
           5.20                     79722                    0.17879                   2.11750         
           5.30                     79734                    0.17839                   2.11868         
           5.40                     79860                    0.17778                   2.12049         
           5.50                     80099                    0.17716                   2.12015         
           5.60                     80448                    0.17428                   2.11916         
           5.70                     80684                    0.17350                   2.10722         
           5.80                     80955                    0.17030                   2.10497         
           5.90                     81190                    0.16965                   2.10450         
           6.00                     81315                    0.16875                   2.10565         
           6.10                     81460                    0.16909                   2.10669         
           6.20                     81762                    0.16453                   2.10465         
           6.30                     81783                    0.16618                   2.10290         
           6.40                     81752                    0.16692                   2.09734         
           6.50                     81751                    0.16789                   2.09637         
           6.60                     81776                    0.16740                   2.09229         
           6.70                     81601                    0.16809                   2.09762         
           6.80                     81498                    0.16886                   2.09781         
           6.90                     81407                    0.16864                   2.10036         
           7.00                     81354                    0.16945                   2.09952         
           7.10                     81381                    0.16805                   2.09843         
           7.20                     81244                    0.16924                   2.09793         
           7.30                     81227                    0.17050                   2.09616         
           7.40                     81109                    0.17096                   2.10150         
           7.50                     81169                    0.16933                   2.10606         
           7.60                     81366                    0.16705                   2.10815         
           7.70                     81176                    0.16949                   2.11433         
           7.80                     81227                    0.17080                   2.11460         
           7.90                     81274                    0.16882                   2.11169         
           8.00                     81149                    0.17118                   2.11217         
           8.10                     81442                    0.16782                   2.11116         
           8.20                     81470                    0.16823                   2.11037         
           8.30                     81655                    0.16628                   2.10301         
           8.40                     81746                    0.16646                   2.09795         
           8.50                     81753                    0.16772                   2.09486         
           8.60                     81487                    0.16905                   2.09301         
           8.70                     81382                    0.16925                   2.09303         
           8.80                     81053                    0.17081                   2.09978         
           8.90                     80696                    0.17383                   2.10799         
           9.00                     80640                    0.17348                   2.10800         
           9.10                     80589                    0.17288                   2.10648         
           9.20                     80739                    0.17370                   2.10539         
           9.30                     80937                    0.17251                   2.10438         
           9.40                     81175                    0.17050                   2.10269         
           9.50                     81142                    0.16966                   2.10685         
           9.60                     81220                    0.17028                   2.10643         
           9.70                     81311                    0.16986                   2.10316         
           9.80                     81186                    0.17306                   2.10114         
           9.90                     80803                    0.17546                   2.10388         
          10.00                     80813                    0.17459                   2.10217         
          10.10                     80246                    0.17962                   2.11336         
          10.20                     80017                    0.17870                   2.12524         
          10.30                     80127                    0.17598                   2.12672         
          10.40                     80225                    0.17513                   2.12543         
          10.50                     80111                    0.17686                   2.12467         
          10.60                     80173                    0.17595                   2.12653         
          10.70                     80473                    0.17504                   2.12476         
          10.80                     80723                    0.17200                   2.12606         
          10.90                     80840                    0.17151                   2.12682         
          11.00                     81076                    0.17004                   2.12367         
          11.10                     81078                    0.17157                   2.11853         
          11.20                     81091                    0.17231                   2.11863         
          11.30                     81220                    0.16789                   2.11678         
          11.40                     81345                    0.16884                   2.11594         
          11.50                     81522                    0.16738                   2.11322         
          11.60                     81656                    0.16651                   2.11420         
          11.70                     81646                    0.16701                   2.11426         
          11.80                     81800                    0.16681                   2.10875         
          11.90                     81706                    0.16749                   2.10631         
          12.00                     81570                    0.16856                   2.10893         
          12.10                     81571                    0.16887                   2.11266         
          12.20                     81533                    0.16844                   2.10841         
          12.30                     81524                    0.16724                   2.10729         
          12.40                     81637                    0.16709                   2.10604         
          12.50                     81772                    0.16598                   2.10383         
