           tauB                     NinLC                      phiL          
           0.00                     15030                    0.54611                   1.47491         
           0.10                     15613                    0.53556                   1.50772         
           0.20                     17926                    0.52813                   1.42712         
           0.30                     17494                    0.52269                   1.48765         
           0.40                     17506                    0.51987                   1.52174         
           0.50                     18451                    0.51906                   1.49497         
           0.60                     18427                    0.51746                   1.51632         
           0.70                     18756                    0.51981                   1.51522         
           0.80                     19350                    0.51674                   1.50094         
           0.90                     19558                    0.51581                   1.50269         
           1.00                     19880                    0.51265                   1.49846         
           1.10                     20609                    0.51344                   1.47564         
           1.20                     20481                    0.51029                   1.49316         
           1.30                     21264                    0.51025                   1.46818         
           1.40                     20729                    0.51140                   1.49980         
           1.50                     21367                    0.51183                   1.47654         
           1.60                     22256                    0.51136                   1.44572         
           1.70                     20982                    0.51025                   1.51121         
           1.80                     20802                    0.50825                   1.52954         
           1.90                     21852                    0.50844                   1.49066         
           2.00                     22586                    0.50887                   1.46856         
           2.10                     21965                    0.50671                   1.50656         
           2.20                     23632                    0.50836                   1.44567         
           2.30                     23430                    0.50795                   1.46050         
           2.40                     24729                    0.50468                   1.42247         
           2.50                     26118                    0.50328                   1.38249         
           2.60                     23631                    0.50237                   1.48227         
           2.70                     24191                    0.50133                   1.46676         
           2.80                     24460                    0.50184                   1.46159         
           2.90                     25643                    0.50203                   1.42504         
           3.00                     24817                    0.50191                   1.45915         
           3.10                     25120                    0.50087                   1.45521         
           3.20                     25324                    0.50007                   1.44784         
           3.30                     24564                    0.50070                   1.47265         
           3.40                     25048                    0.50196                   1.45716         
           3.50                     25855                    0.50279                   1.43490         
           3.60                     24755                    0.50039                   1.48197         
           3.70                     26716                    0.50017                   1.41902         
           3.80                     28428                    0.49846                   1.37118         
           3.90                     26897                    0.49771                   1.42271         
           4.00                     27909                    0.49774                   1.39776         
           4.10                     27796                    0.49616                   1.40511         
           4.20                     27961                    0.49490                   1.39817         
           4.30                     26710                    0.49571                   1.43844         
