           tauB                     NinLC                      phiL          
           0.00                     14951                    0.54688                   1.46018         
           0.10                     15553                    0.53580                   1.49167         
           0.20                     16389                    0.52651                   1.48762         
           0.30                     16929                    0.52536                   1.49209         
           0.40                     17191                    0.52270                   1.50523         
           0.50                     17986                    0.52069                   1.48509         
           0.60                     18459                    0.51815                   1.47990         
           0.70                     18948                    0.51832                   1.47153         
           0.80                     19268                    0.51858                   1.46968         
           0.90                     19555                    0.51736                   1.47198         
           1.00                     19733                    0.51350                   1.47906         
           1.10                     20486                    0.51291                   1.46028         
           1.20                     20929                    0.51352                   1.44903         
           1.30                     20181                    0.51313                   1.49795         
           1.40                     19973                    0.51376                   1.52406         
           1.50                     20954                    0.51329                   1.48595         
           1.60                     21184                    0.51281                   1.48273         
           1.70                     21218                    0.51004                   1.48719         
           1.80                     21709                    0.50995                   1.47471         
           1.90                     23419                    0.50917                   1.41491         
           2.00                     22747                    0.50910                   1.44749         
           2.10                     23861                    0.50973                   1.41065         
           2.20                     22758                    0.50827                   1.46003         
           2.30                     23421                    0.50682                   1.43798         
           2.40                     23014                    0.50720                   1.45688         
           2.50                     23160                    0.50601                   1.45717         
           2.60                     24217                    0.50638                   1.42467         
           2.70                     24184                    0.50607                   1.42671         
           2.80                     23562                    0.50563                   1.45476         
           2.90                     25725                    0.50629                   1.37989         
           3.00                     24584                    0.50627                   1.42345         
           3.10                     24724                    0.50386                   1.42834         
           3.20                     25512                    0.50381                   1.40785         
           3.30                     24872                    0.50517                   1.43744         
           3.40                     24404                    0.50384                   1.46109         
           3.50                     25027                    0.50387                   1.44723         
           3.60                     25374                    0.50284                   1.43777         
           3.70                     26466                    0.50004                   1.40308         
           3.80                     26180                    0.50113                   1.41616         
           3.90                     25643                    0.50121                   1.43943         
           4.00                     25909                    0.50222                   1.43824         
           4.10                     26346                    0.49923                   1.42830         
           4.20                     25088                    0.50025                   1.47436         
           4.30                     25532                    0.49916                   1.46143         
           4.40                     25362                    0.49971                   1.47097         
           4.50                     25978                    0.50079                   1.45557         
           4.60                     27158                    0.49861                   1.42391         
           4.70                     27230                    0.49748                   1.42490         
           4.80                     24927                    0.49696                   1.50685         
           4.90                     26902                    0.49527                   1.44240         
           5.00                     28363                    0.49636                   1.40025         
           5.10                     27764                    0.49454                   1.41857         
           5.20                     27470                    0.49352                   1.42959         
           5.30                     29198                    0.49505                   1.38152         
           5.40                     29923                    0.49480                   1.36567         
           5.50                     27813                    0.49261                   1.42663         
           5.60                     28831                    0.49386                   1.39969         
           5.70                     27624                    0.49239                   1.43739         
           5.80                     27498                    0.49448                   1.43910         
