           tauB                     NinLC                      phiL          
           0.00                     10544                    0.59517                   0.60619         
           0.10                     81980                    0.56923                   0.61766         
           0.20                     76473                    0.55767                   0.62926         
           0.30                     79034                    0.54872                   0.63776         
           0.40                     75111                    0.54515                   0.64678         
           0.50                     71803                    0.54322                   0.65043         
           0.60                     42337                    0.53833                   0.66181         
           0.70                     56429                    0.53422                   0.66810         
           0.80                     23321                    0.52178                   0.68260         
           0.90                     57012                    0.51509                   0.69728         
           1.00                     26500                    0.50371                   0.72665         
           1.10                      8380                    0.49354                   0.92734         
           1.20                      6156                    0.48099                   0.82032         
           1.30                      6585                    0.46608                   0.89465         
           1.40                      6296                    0.43784                   1.09024         
           1.50                      8554                    0.41610                   1.04476         
           1.60                      7605                    0.40254                   1.08721         
           1.70                      9672                    0.37729                   1.12676         
           1.80                     10356                    0.35710                   1.23187         
           1.90                     11042                    0.33748                   1.24749         
           2.00                     11811                    0.31918                   1.25493         
           2.10                     13272                    0.29826                   1.24323         
           2.20                     13710                    0.28009                   1.24768         
           2.30                     17081                    0.26821                   1.22105         
           2.40                     14604                    0.25872                   1.25822         
           2.50                     17864                    0.25075                   1.23329         
           2.60                     17976                    0.24560                   1.23946         
           2.70                     20087                    0.24380                   1.23611         
           2.80                     20248                    0.24020                   1.24786         
           2.90                     20892                    0.23660                   1.25234         
           3.00                     21256                    0.22927                   1.25954         
           3.10                     21598                    0.22797                   1.25645         
           3.20                     21725                    0.22519                   1.25130         
           3.30                     21721                    0.22557                   1.25621         
           3.40                     21980                    0.22552                   1.25306         
           3.50                     22045                    0.22705                   1.25064         
           3.60                     22120                    0.22870                   1.25141         
           3.70                     22088                    0.22964                   1.25751         
           3.80                     22051                    0.22784                   1.26487         
           3.90                     22100                    0.22504                   1.26601         
           4.00                     22259                    0.22528                   1.26281         
           4.10                     22373                    0.22457                   1.25979         
           4.20                     22406                    0.22347                   1.26305         
           4.30                     22512                    0.22107                   1.26548         
           4.40                     22538                    0.21971                   1.26229         
           4.50                     32114                    0.22104                   1.26522         
           4.60                     32259                    0.22336                   1.26706         
           4.70                     32484                    0.22158                   1.26519         
           4.80                     32501                    0.22385                   1.26795         
           4.90                     32601                    0.22359                   1.27222         
           5.00                     32895                    0.22369                   1.27248         
           5.10                     33139                    0.22448                   1.27010         
           5.20                     33320                    0.22337                   1.27379         
           5.30                     33690                    0.22280                   1.27583         
           5.40                     33972                    0.22223                   1.27526         
           5.50                     34017                    0.22250                   1.27839         
           5.60                     34013                    0.22247                   1.28242         
           5.70                     34277                    0.21991                   1.28539         
           5.80                     34558                    0.22005                   1.28547         
           5.90                     34822                    0.21872                   1.28808         
           6.00                     35094                    0.21701                   1.28696         
           6.10                     35156                    0.22110                   1.28579         
           6.20                     35479                    0.21938                   1.28531         
           6.30                     35752                    0.21611                   1.28564         
           6.40                     35950                    0.21388                   1.29093         
           6.50                     36190                    0.21367                   1.28874         
           6.60                     36551                    0.20985                   1.28715         
           6.70                     36596                    0.21059                   1.28647         
           6.80                     36574                    0.21221                   1.28707         
           6.90                     36577                    0.21129                   1.29034         
           7.00                     36737                    0.20892                   1.28685         
           7.10                     36560                    0.21071                   1.29052         
           7.20                     36703                    0.21039                   1.29254         
           7.30                     37093                    0.21038                   1.29195         
           7.40                     37151                    0.20901                   1.29404         
           7.50                     37280                    0.20534                   1.29461         
           7.60                     37295                    0.20217                   1.29958         
           7.70                     37552                    0.19979                   1.30256         
           7.80                     37741                    0.19773                   1.30211         
           7.90                     37742                    0.19709                   1.29897         
           8.00                     37808                    0.19544                   1.29811         
           8.10                     37826                    0.19385                   1.29811         
           8.20                     37767                    0.19544                   1.29595         
           8.30                     37851                    0.19510                   1.29220         
           8.40                     37852                    0.19744                   1.29276         
