           tauB                     NinLC                      phiL          
           0.00                     10544                    0.59517                   0.60619         
           0.10                     94481                    0.59638                   0.60154         
           0.20                     93016                    0.58982                   0.60375         
           0.30                     92336                    0.58033                   0.60637         
           0.40                     91602                    0.57542                   0.60886         
           0.50                     91479                    0.56777                   0.61096         
           0.60                     91243                    0.56458                   0.61270         
           0.70                     91005                    0.55981                   0.61463         
           0.80                     90673                    0.55680                   0.61602         
           0.90                     89899                    0.55631                   0.61727         
           1.00                     89471                    0.55489                   0.61883         
           1.10                     88757                    0.55145                   0.62078         
           1.20                     89548                    0.55092                   0.62057         
           1.30                     88913                    0.54672                   0.62164         
           1.40                     88467                    0.54679                   0.62266         
           1.50                     88693                    0.54800                   0.62229         
           1.60                     89600                    0.54512                   0.62266         
           1.70                     88834                    0.54395                   0.62319         
           1.80                     88737                    0.54386                   0.62385         
           1.90                     88522                    0.54128                   0.62478         
           2.00                     89182                    0.54287                   0.62444         
           2.10                     88692                    0.54008                   0.62541         
           2.20                     88985                    0.54083                   0.62560         
           2.30                     88995                    0.54014                   0.62589         
           2.40                     87494                    0.54098                   0.62771         
           2.50                     88475                    0.53961                   0.62713         
           2.60                     88909                    0.53922                   0.62721         
           2.70                     88062                    0.53698                   0.62867         
           2.80                     88334                    0.53566                   0.62909         
           2.90                     88519                    0.53653                   0.62902         
           3.00                     87531                    0.53433                   0.63034         
           3.10                     87833                    0.53533                   0.63002         
           3.20                     86818                    0.53340                   0.63005         
           3.30                     88484                    0.53287                   0.63027         
           3.40                     86762                    0.53238                   0.63335         
           3.50                     88241                    0.53302                   0.63144         
           3.60                     87376                    0.53086                   0.63307         
           3.70                     87721                    0.52962                   0.63315         
           3.80                     88047                    0.52955                   0.63268         
           3.90                     87793                    0.52905                   0.63269         
           4.00                     88219                    0.52922                   0.63267         
           4.10                     87346                    0.52963                   0.63377         
           4.20                     85664                    0.52910                   0.63542         
           4.30                     85529                    0.52959                   0.63422         
           4.40                     87780                    0.52736                   0.63368         
           4.50                     86652                    0.52780                   0.63506         
           4.60                     87297                    0.52795                   0.63465         
           4.70                     86889                    0.52799                   0.63469         
           4.80                     87105                    0.52768                   0.63446         
           4.90                     87364                    0.53074                   0.63346         
           5.00                     87328                    0.52974                   0.63348         
           5.10                     86800                    0.52854                   0.63439         
           5.20                     87604                    0.52903                   0.63335         
           5.30                     87538                    0.52968                   0.63365         
           5.40                     87100                    0.53090                   0.63386         
           5.50                     87183                    0.52836                   0.63429         
           5.60                     87854                    0.52997                   0.63293         
           5.70                     86639                    0.52631                   0.63476         
           5.80                     86780                    0.52561                   0.63540         
           5.90                     87516                    0.52566                   0.63403         
           6.00                     88185                    0.52855                   0.63254         
           6.10                     87358                    0.53215                   0.63292         
           6.20                     86841                    0.53142                   0.63266         
           6.30                     87734                    0.53160                   0.63260         
           6.40                     88091                    0.53166                   0.63164         
           6.50                     87935                    0.53206                   0.63146         
           6.60                     87286                    0.53212                   0.63263         
           6.70                     87257                    0.53287                   0.63304         
           6.80                     87733                    0.53174                   0.63235         
           6.90                     87156                    0.52897                   0.63336         
           7.00                     87255                    0.53030                   0.63269         
           7.10                     86913                    0.52943                   0.63348         
           7.20                     87356                    0.53030                   0.63261         
           7.30                     86645                    0.52901                   0.63319         
           7.40                     87592                    0.53041                   0.63234         
           7.50                     87517                    0.52910                   0.63265         
           7.60                     87893                    0.52892                   0.63162         
           7.70                     88503                    0.53217                   0.63119         
           7.80                     87569                    0.53026                   0.63296         
           7.90                     88006                    0.53005                   0.63249         
           8.00                     87344                    0.52942                   0.63354         
           8.10                     85573                    0.52806                   0.63559         
           8.20                     87014                    0.52874                   0.63423         
           8.30                     87707                    0.52762                   0.63336         
           8.40                     86524                    0.52656                   0.63535         
           8.50                     82412                    0.52572                   0.63601         
           8.60                     87225                    0.52766                   0.63494         
           8.70                     86297                    0.52670                   0.63666         
           8.80                     86761                    0.52527                   0.63621         
           8.90                     86975                    0.52657                   0.63639         
           9.00                     87999                    0.52181                   0.63588         
           9.10                     88311                    0.52136                   0.63521         
           9.20                     86910                    0.52254                   0.63737         
           9.30                     85113                    0.52122                   0.63994         
           9.40                     85061                    0.51902                   0.64087         
           9.50                     86190                    0.51719                   0.64074         
           9.60                     86152                    0.51748                   0.64119         
           9.70                     86534                    0.51992                   0.63961         
           9.80                     85362                    0.51811                   0.64170         
           9.90                     83700                    0.51935                   0.64107         
          10.00                     87295                    0.52018                   0.63769         
          10.10                     85501                    0.51990                   0.63972         
          10.20                     86360                    0.52181                   0.63902         
          10.30                     87199                    0.52179                   0.63795         
          10.40                     86336                    0.52015                   0.63948         
          10.50                     84556                    0.52139                   0.64093         
          10.60                     86626                    0.52222                   0.63831         
          10.70                     85896                    0.52295                   0.63925         
          10.80                     84647                    0.52420                   0.64119         
          10.90                     84465                    0.52166                   0.63908         
          11.00                     85691                    0.52297                   0.63966         
          11.10                     84646                    0.52175                   0.64074         
          11.20                     86876                    0.52363                   0.63729         
          11.30                     87008                    0.52532                   0.63701         
          11.40                     86303                    0.52521                   0.63736         
          11.50                     86341                    0.52517                   0.63743         
          11.60                     85729                    0.52625                   0.63774         
          11.70                     86613                    0.52644                   0.63626         
          11.80                     86326                    0.52463                   0.63694         
          11.90                     86323                    0.52475                   0.63758         
          12.00                     84686                    0.52474                   0.63955         
          12.10                     86884                    0.52238                   0.63759         
          12.20                     86566                    0.52286                   0.63837         
          12.30                     84882                    0.52227                   0.64032         
          12.40                     87051                    0.52293                   0.63724         
          12.50                     86213                    0.52475                   0.63777         
          12.60                     86491                    0.52607                   0.63724         
          12.70                     85962                    0.52664                   0.63790         
          12.80                     86253                    0.52320                   0.63773         
          12.90                     86842                    0.52421                   0.63728         
          13.00                     85858                    0.52172                   0.63903         
          13.10                     86408                    0.52222                   0.63812         
          13.20                     85462                    0.51973                   0.63991         
          13.30                     86778                    0.52109                   0.63819         
          13.40                     85753                    0.51932                   0.63824         
          13.50                     85778                    0.52123                   0.63864         
          13.60                     86655                    0.52331                   0.63751         
          13.70                     87026                    0.52583                   0.63623         
          13.80                     87106                    0.52415                   0.63554         
          13.90                     83795                    0.52582                   0.63791         
          14.00                     86724                    0.52723                   0.63609         
          14.10                     86786                    0.52822                   0.63597         
          14.20                     85579                    0.52677                   0.63702         
          14.30                     87120                    0.52764                   0.63494         
          14.40                     86738                    0.52818                   0.63516         
          14.50                     86305                    0.52717                   0.63498         
          14.60                     86896                    0.52651                   0.63489         
          14.70                     85903                    0.52622                   0.63644         
          14.80                     86278                    0.52898                   0.63570         
          14.90                     87718                    0.52681                   0.63400         
          15.00                     86275                    0.52447                   0.63690         
          15.10                     88150                    0.52657                   0.63396         
          15.20                     87961                    0.52605                   0.63413         
          15.30                     86972                    0.52700                   0.63551         
          15.40                     86054                    0.52665                   0.63685         
          15.50                     86241                    0.52498                   0.63666         
          15.60                     85756                    0.52719                   0.63690         
          15.70                     86553                    0.52735                   0.63597         
          15.80                     86732                    0.52743                   0.63562         
          15.90                     87060                    0.52620                   0.63561         
          16.00                     86675                    0.52717                   0.63577         
          16.10                     86708                    0.52687                   0.63544         
          16.20                     85538                    0.52996                   0.63643         
          16.30                     86472                    0.52883                   0.63575         
          16.40                     86123                    0.52810                   0.63583         
          16.50                     87483                    0.52710                   0.63460         
          16.60                     86447                    0.52770                   0.63537         
          16.70                     86395                    0.52837                   0.63546         
          16.80                     86560                    0.52953                   0.63496         
          16.90                     86574                    0.52616                   0.63559         
          17.00                     87441                    0.52523                   0.63519         
          17.10                     86673                    0.52682                   0.63673         
          17.20                     82131                    0.52423                   0.64024         
          17.30                     86369                    0.52392                   0.63806         
          17.40                     86284                    0.52177                   0.63863         
          17.50                     85994                    0.52087                   0.63931         
          17.60                     86578                    0.52343                   0.63775         
          17.70                     86888                    0.52278                   0.63789         
          17.80                     86569                    0.51874                   0.63882         
          17.90                     83879                    0.52201                   0.64101         
          18.00                     85467                    0.52111                   0.63945         
          18.10                     84964                    0.52129                   0.64036         
          18.20                     85754                    0.52117                   0.63899         
          18.30                     84266                    0.52058                   0.63819         
          18.40                     86740                    0.52406                   0.63668         
          18.50                     87327                    0.52551                   0.63532         
          18.60                     86425                    0.52427                   0.63558         
          18.70                     85810                    0.52333                   0.63766         
          18.80                     85505                    0.52473                   0.63813         
          18.90                     85687                    0.52338                   0.63828         
          19.00                     86487                    0.52191                   0.63778         
          19.10                     87049                    0.52367                   0.63635         
          19.20                     86664                    0.52218                   0.63735         
          19.30                     85541                    0.52459                   0.63829         
          19.40                     87153                    0.52082                   0.63669         
