           tauB                     NinLC                      phiL          
           0.00                     14241                    0.55003                   1.43057         
           0.10                     15214                    0.53830                   1.43658         
           0.20                     15552                    0.52907                   1.46021         
           0.30                     16178                    0.52750                   1.45645         
           0.40                     16335                    0.52742                   1.47447         
           0.50                     17245                    0.52613                   1.44453         
           0.60                     17452                    0.52461                   1.44623         
           0.70                     18792                    0.52289                   1.39644         
           0.80                     18792                    0.52423                   1.40274         
           0.90                     20850                    0.52212                   1.33108         
           1.00                     18809                    0.52266                   1.43158         
           1.10                     19144                    0.52422                   1.42737         
           1.20                     19690                    0.51995                   1.41405         
           1.30                     19683                    0.52096                   1.42347         
           1.40                     20253                    0.52127                   1.40976         
           1.50                     19589                    0.52056                   1.44928         
           1.60                     20425                    0.52083                   1.41996         
           1.70                     20476                    0.51791                   1.42281         
           1.80                     21093                    0.51842                   1.40143         
           1.90                     21280                    0.51673                   1.39831         
           2.00                     21300                    0.51773                   1.40166         
           2.10                     22640                    0.51598                   1.35415         
           2.20                     21879                    0.51638                   1.38653         
           2.30                     23537                    0.51734                   1.33294         
           2.40                     23675                    0.51655                   1.33680         
           2.50                     23991                    0.51368                   1.33698         
           2.60                     23344                    0.51257                   1.36462         
           2.70                     22748                    0.51149                   1.39143         
           2.80                     24402                    0.51281                   1.33951         
           2.90                     25084                    0.51283                   1.32049         
           3.00                     23851                    0.51137                   1.36198         
           3.10                     24076                    0.51149                   1.36065         
           3.20                     25105                    0.51223                   1.33030         
           3.30                     26124                    0.51046                   1.30086         
           3.40                     25571                    0.51145                   1.31270         
           3.50                     25708                    0.51259                   1.30892         
           3.60                     26649                    0.51321                   1.28442         
           3.70                     26689                    0.51088                   1.28550         
           3.80                     25829                    0.51023                   1.30911         
           3.90                     27146                    0.51252                   1.27495         
           4.00                     26589                    0.51095                   1.29266         
           4.10                     28677                    0.51024                   1.24272         
           4.20                     27196                    0.51070                   1.28397         
           4.30                     25807                    0.50922                   1.32268         
           4.40                     27498                    0.50834                   1.27831         
           4.50                     27780                    0.50804                   1.26977         
           4.60                     26614                    0.50833                   1.30347         
           4.70                     27032                    0.50634                   1.28919         
           4.80                     27861                    0.50616                   1.26826         
           4.90                     28121                    0.50831                   1.26411         
           5.00                     29399                    0.50752                   1.23213         
           5.10                     28597                    0.50704                   1.25132         
           5.20                     28646                    0.50689                   1.25224         
           5.30                     29299                    0.50367                   1.23971         
           5.40                     29325                    0.50762                   1.24019         
           5.50                     30744                    0.50818                   1.20430         
           5.60                     29343                    0.50765                   1.23370         
           5.70                     29845                    0.50609                   1.22317         
           5.80                     28876                    0.50653                   1.24485         
           5.90                     31724                    0.50383                   1.18540         
           6.00                     30204                    0.50601                   1.21736         
           6.10                     30553                    0.50716                   1.21115         
           6.20                     30195                    0.50568                   1.21665         
           6.30                     30655                    0.50623                   1.20783         
           6.40                     30494                    0.50556                   1.21251         
           6.50                     28531                    0.50744                   1.25750         
           6.60                     29488                    0.50617                   1.23804         
           6.70                     32046                    0.50441                   1.18578         
           6.80                     29847                    0.50433                   1.23289         
           6.90                     29796                    0.50695                   1.23653         
           7.00                     31429                    0.50398                   1.20266         
           7.10                     31390                    0.50584                   1.20279         
           7.20                     31874                    0.50593                   1.19356         
           7.30                     30919                    0.50582                   1.21020         
           7.40                     30586                    0.50562                   1.21586         
           7.50                     30385                    0.50436                   1.21587         
           7.60                     29810                    0.50622                   1.22522         
           7.70                     31498                    0.50634                   1.18718         
           7.80                     30942                    0.50775                   1.20034         
           7.90                     32953                    0.50702                   1.16440         
           8.00                     30273                    0.50789                   1.21367         
           8.10                     30976                    0.50711                   1.20299         
           8.20                     31222                    0.50553                   1.20219         
           8.30                     31642                    0.50516                   1.19437         
           8.40                     30418                    0.50776                   1.21521         
           8.50                     30545                    0.50635                   1.21345         
           8.60                     32006                    0.50772                   1.18344         
           8.70                     30627                    0.50533                   1.20775         
           8.80                     32686                    0.50699                   1.16287         
           8.90                     31243                    0.50543                   1.19258         
           9.00                     33652                    0.50467                   1.14751         
           9.10                     33049                    0.50533                   1.15699         
           9.20                     32713                    0.50489                   1.16533         
           9.30                     33290                    0.50597                   1.15482         
           9.40                     34088                    0.50658                   1.13838         
           9.50                     30873                    0.50453                   1.19345         
           9.60                     31381                    0.50747                   1.17993         
           9.70                     33325                    0.50812                   1.14115         
           9.80                     34451                    0.50677                   1.12163         
           9.90                     34541                    0.50636                   1.11878         
          10.00                     33223                    0.50642                   1.13508         
          10.10                     31916                    0.50888                   1.15851         
          10.20                     33077                    0.50870                   1.13393         
          10.30                     31851                    0.50787                   1.15144         
          10.40                     33731                    0.50626                   1.11787         
          10.50                     34726                    0.50772                   1.09408         
          10.60                     33621                    0.50861                   1.10939         
          10.70                     33729                    0.50980                   1.10950         
          10.80                     32910                    0.50953                   1.12219         
          10.90                     35760                    0.50886                   1.07616         
          11.00                     34446                    0.51009                   1.09337         
          11.10                     34626                    0.51004                   1.09059         
          11.20                     34718                    0.50819                   1.08674         
          11.30                     33463                    0.50994                   1.10130         
          11.40                     34526                    0.51053                   1.08343         
