           tauB                     NinLC                      phiL          
           0.00                     15494                    0.54420                   1.47169         
           0.10                     15926                    0.53554                   1.51961         
           0.20                     16653                    0.52509                   1.52946         
           0.30                     17175                    0.51939                   1.54065         
           0.40                     17783                    0.51896                   1.53872         
           0.50                     18385                    0.51786                   1.52734         
           0.60                     19306                    0.51412                   1.49794         
           0.70                     19474                    0.51224                   1.50869         
           0.80                     19555                    0.51233                   1.52424         
           0.90                     20158                    0.51200                   1.50738         
           1.00                     20340                    0.51151                   1.50683         
           1.10                     20603                    0.51044                   1.50397         
           1.20                     20002                    0.51155                   1.54328         
           1.30                     20517                    0.50996                   1.53346         
           1.40                     21153                    0.51014                   1.51418         
           1.50                     21203                    0.50993                   1.52098         
           1.60                     22410                    0.50685                   1.48282         
           1.70                     21606                    0.50568                   1.53398         
           1.80                     22129                    0.50628                   1.52609         
           1.90                     22758                    0.50822                   1.50736         
           2.00                     21983                    0.50459                   1.55322         
           2.10                     22221                    0.50349                   1.55595         
           2.20                     22834                    0.50356                   1.54055         
           2.30                     22936                    0.50172                   1.53945         
           2.40                     23295                    0.50358                   1.52235         
           2.50                     23743                    0.50236                   1.50563         
           2.60                     24009                    0.50095                   1.49985         
           2.70                     23997                    0.50248                   1.50437         
           2.80                     24525                    0.49925                   1.49077         
           2.90                     26851                    0.49938                   1.41903         
           3.00                     25462                    0.49906                   1.47216         
           3.10                     24688                    0.49813                   1.50670         
           3.20                     25165                    0.50034                   1.49376         
           3.30                     24158                    0.49851                   1.53908         
           3.40                     24655                    0.49930                   1.52568         
           3.50                     24584                    0.49807                   1.53231         
           3.60                     25760                    0.49509                   1.49128         
           3.70                     25340                    0.49574                   1.51174         
           3.80                     25825                    0.49580                   1.49797         
           3.90                     26370                    0.49605                   1.47813         
           4.00                     25925                    0.49523                   1.49304         
           4.10                     27864                    0.49600                   1.42996         
           4.20                     26445                    0.49433                   1.48220         
           4.30                     26915                    0.49204                   1.47416         
           4.40                     27428                    0.49349                   1.46127         
           4.50                     27410                    0.49315                   1.46831         
           4.60                     28339                    0.49241                   1.44330         
           4.70                     27051                    0.49205                   1.48950         
           4.80                     27382                    0.49142                   1.48262         
           4.90                     27608                    0.49166                   1.48286         
           5.00                     27777                    0.49062                   1.48449         
           5.10                     28556                    0.49001                   1.46444         
           5.20                     26564                    0.48970                   1.53588         
           5.30                     27346                    0.48844                   1.51718         
           5.40                     28440                    0.49058                   1.48458         
           5.50                     27558                    0.48863                   1.51374         
           5.60                     28593                    0.48792                   1.47815         
           5.70                     28480                    0.48695                   1.48143         
           5.80                     28455                    0.48909                   1.48676         
           5.90                     29313                    0.48766                   1.46180         
           6.00                     30741                    0.48599                   1.42123         
           6.10                     29855                    0.48780                   1.44499         
           6.20                     29094                    0.48619                   1.46970         
           6.30                     28830                    0.48716                   1.47964         
           6.40                     31073                    0.48505                   1.41744         
           6.50                     30087                    0.48501                   1.44362         
           6.60                     31186                    0.48653                   1.40799         
           6.70                     31454                    0.48672                   1.39367         
           6.80                     28759                    0.48685                   1.47071         
           6.90                     30377                    0.48545                   1.42508         
           7.00                     29248                    0.48509                   1.45757         
           7.10                     28758                    0.48600                   1.47194         
           7.20                     29914                    0.48474                   1.43777         
           7.30                     30071                    0.48634                   1.43499         
           7.40                     31150                    0.48700                   1.39991         
           7.50                     30045                    0.48684                   1.42893         
           7.60                     31539                    0.48780                   1.38867         
           7.70                     32011                    0.48628                   1.37676         
           7.80                     30447                    0.48595                   1.41822         
           7.90                     31488                    0.48562                   1.39161         
           8.00                     28936                    0.48576                   1.46700         
           8.10                     29116                    0.48765                   1.46590         
           8.20                     26744                    0.48835                   1.55382         
           8.30                     28284                    0.48645                   1.50515         
           8.40                     26682                    0.48762                   1.56408         
           8.50                     28186                    0.48547                   1.51325         
           8.60                     28287                    0.48421                   1.51231         
           8.70                     27607                    0.48375                   1.54081         
           8.80                     28795                    0.48506                   1.50726         
           8.90                     29159                    0.48422                   1.49843         
           9.00                     28387                    0.48446                   1.52163         
           9.10                     28873                    0.48407                   1.50003         
           9.20                     29057                    0.48297                   1.49347         
           9.30                     29803                    0.48517                   1.47159         
           9.40                     29050                    0.48570                   1.49460         
           9.50                     31066                    0.48390                   1.43795         
           9.60                     28555                    0.48321                   1.51829         
           9.70                     27715                    0.48408                   1.54843         
           9.80                     29015                    0.48325                   1.50503         
           9.90                     27754                    0.48362                   1.54864         
          10.00                     27980                    0.48415                   1.54143         
          10.10                     30941                    0.48415                   1.44595         
          10.20                     30335                    0.48276                   1.46099         
          10.30                     28388                    0.48375                   1.52253         
          10.40                     29240                    0.48152                   1.49721         
          10.50                     29342                    0.48125                   1.49919         
          10.60                     30222                    0.48309                   1.47798         
          10.70                     30110                    0.48200                   1.48288         
          10.80                     31540                    0.48074                   1.44422         
          10.90                     30533                    0.48151                   1.47522         
          11.00                     30939                    0.48007                   1.46362         
          11.10                     31163                    0.47944                   1.46012         
          11.20                     28722                    0.47973                   1.53656         
          11.30                     29268                    0.47935                   1.52154         
          11.40                     29541                    0.47936                   1.51357         
          11.50                     30111                    0.48001                   1.49845         
          11.60                     30784                    0.47835                   1.48062         
          11.70                     29807                    0.47829                   1.51237         
          11.80                     29478                    0.48005                   1.52070         
          11.90                     30916                    0.48087                   1.47509         
          12.00                     31000                    0.47902                   1.47190         
          12.10                     31292                    0.47799                   1.46228         
          12.20                     32043                    0.47806                   1.44253         
          12.30                     31313                    0.47824                   1.46491         
          12.40                     30942                    0.47784                   1.47544         
          12.50                     29589                    0.47858                   1.51670         
          12.60                     31250                    0.47908                   1.46205         
          12.70                     30992                    0.47853                   1.46775         
          12.80                     30262                    0.47901                   1.49092         
          12.90                     30562                    0.48035                   1.48380         
          13.00                     30552                    0.47776                   1.48643         
          13.10                     31478                    0.47880                   1.45665         
          13.20                     30663                    0.48073                   1.47755         
          13.30                     29178                    0.48206                   1.51968         
          13.40                     30119                    0.48189                   1.49049         
          13.50                     30206                    0.48107                   1.49102         
          13.60                     31456                    0.48313                   1.45866         
          13.70                     31148                    0.48210                   1.46859         
          13.80                     28695                    0.48156                   1.54382         
          13.90                     32122                    0.48160                   1.44091         
          14.00                     30116                    0.48246                   1.49193         
          14.10                     28957                    0.48338                   1.52412         
          14.20                     30773                    0.48156                   1.46785         
          14.30                     30136                    0.48267                   1.48380         
          14.40                     28126                    0.48345                   1.55258         
          14.50                     29442                    0.48051                   1.51068         
          14.60                     28549                    0.48272                   1.54485         
          14.70                     28655                    0.48198                   1.53802         
          14.80                     31104                    0.48130                   1.46080         
          14.90                     30440                    0.48180                   1.47748         
          15.00                     31011                    0.48207                   1.45820         
          15.10                     30666                    0.48112                   1.46995         
          15.20                     29550                    0.48212                   1.50504         
          15.30                     29062                    0.48187                   1.51977         
          15.40                     29136                    0.48339                   1.51416         
          15.50                     30577                    0.48293                   1.46810         
          15.60                     32033                    0.48102                   1.42500         
          15.70                     30730                    0.48148                   1.45910         
          15.80                     30290                    0.48307                   1.46715         
          15.90                     29652                    0.48273                   1.48559         
          16.00                     30056                    0.48274                   1.47407         
          16.10                     30393                    0.48370                   1.46557         
          16.20                     29026                    0.48191                   1.50767         
          16.30                     29046                    0.48189                   1.50490         
          16.40                     30014                    0.47894                   1.47142         
          16.50                     29783                    0.48399                   1.48051         
          16.60                     30016                    0.48395                   1.46920         
          16.70                     29894                    0.48375                   1.47328         
          16.80                     29399                    0.48519                   1.48650         
          16.90                     29303                    0.48272                   1.48629         
          17.00                     30499                    0.48370                   1.44689         
          17.10                     27848                    0.48449                   1.52758         
          17.20                     28565                    0.48596                   1.50286         
          17.30                     30630                    0.48595                   1.43369         
          17.40                     29725                    0.48485                   1.45607         
          17.50                     29114                    0.48529                   1.47848         
          17.60                     28299                    0.48594                   1.50858         
          17.70                     29157                    0.48296                   1.48224         
          17.80                     29452                    0.48519                   1.47226         
          17.90                     29140                    0.48448                   1.48434         
          18.00                     29015                    0.48461                   1.49024         
          18.10                     29209                    0.48399                   1.48322         
          18.20                     29747                    0.48466                   1.46505         
          18.30                     27786                    0.48493                   1.52483         
          18.40                     28356                    0.48509                   1.50611         
          18.50                     28238                    0.48495                   1.50852         
          18.60                     28331                    0.48427                   1.50449         
          18.70                     29763                    0.48657                   1.45972         
          18.80                     28238                    0.48642                   1.50439         
          18.90                     29812                    0.48340                   1.45542         
          19.00                     30053                    0.48296                   1.44953         
          19.10                     28255                    0.48416                   1.50454         
          19.20                     30249                    0.48455                   1.44163         
          19.30                     29579                    0.48574                   1.46273         
          19.40                     29710                    0.48505                   1.46011         
          19.50                     28781                    0.48603                   1.48673         
          19.60                     29598                    0.48633                   1.45895         
          19.70                     28408                    0.48662                   1.49412         
          19.80                     30997                    0.48665                   1.41267         
          19.90                     29278                    0.48788                   1.46016         
          20.00                     28935                    0.48785                   1.46529         
          20.10                     29959                    0.48978                   1.43441         
          20.20                     27756                    0.48728                   1.50372         
          20.30                     29313                    0.48811                   1.45310         
          20.40                     28168                    0.48935                   1.48904         
          20.50                     28857                    0.48948                   1.47231         
          20.60                     28386                    0.48910                   1.48881         
          20.70                     28251                    0.48844                   1.48773         
          20.80                     27561                    0.48702                   1.50971         
          20.90                     28599                    0.48750                   1.47418         
          21.00                     28009                    0.49075                   1.48821         
          21.10                     26996                    0.48740                   1.52513         
          21.20                     27865                    0.48767                   1.50032         
          21.30                     28173                    0.48815                   1.49132         
          21.40                     27606                    0.48717                   1.51038         
          21.50                     27530                    0.48680                   1.50972         
          21.60                     28230                    0.48623                   1.48328         
          21.70                     28497                    0.48741                   1.47316         
          21.80                     28901                    0.48845                   1.45473         
          21.90                     27827                    0.48897                   1.48578         
          22.00                     28490                    0.48693                   1.46816         
          22.10                     28086                    0.48857                   1.47853         
          22.20                     29010                    0.48745                   1.45420         
          22.30                     29351                    0.48856                   1.44369         
          22.40                     28142                    0.48937                   1.48435         
          22.50                     26733                    0.48600                   1.53230         
          22.60                     28046                    0.48685                   1.48025         
          22.70                     29667                    0.48630                   1.42930         
          22.80                     28217                    0.48685                   1.47720         
          22.90                     28965                    0.48858                   1.45540         
          23.00                     28216                    0.48830                   1.48070         
          23.10                     27801                    0.48832                   1.49184         
          23.20                     30113                    0.48939                   1.42333         
          23.30                     27614                    0.49030                   1.50257         
          23.40                     27783                    0.48808                   1.49973         
          23.50                     28228                    0.48683                   1.48553         
          23.60                     28282                    0.48698                   1.48539         
          23.70                     27921                    0.48666                   1.49527         
          23.80                     26825                    0.48722                   1.52915         
          23.90                     27859                    0.48653                   1.49343         
          24.00                     28912                    0.48891                   1.45856         
          24.10                     29252                    0.48785                   1.44879         
          24.20                     29270                    0.48842                   1.44281         
          24.30                     28319                    0.48931                   1.47202         
          24.40                     28876                    0.48966                   1.44966         
          24.50                     29498                    0.49002                   1.43395         
          24.60                     27581                    0.49010                   1.49336         
          24.70                     28120                    0.49110                   1.47145         
          24.80                     27975                    0.49103                   1.47649         
          24.90                     26559                    0.49011                   1.52493         
          25.00                     28681                    0.48912                   1.44971         
          25.10                     26343                    0.48928                   1.52847         
          25.20                     27090                    0.48980                   1.50036         
          25.30                     27697                    0.48941                   1.47989         
          25.40                     28227                    0.48979                   1.46216         
          25.50                     28687                    0.49043                   1.44577         
          25.60                     29154                    0.49079                   1.42546         
          25.70                     29419                    0.49140                   1.41469         
          25.80                     29426                    0.48954                   1.41501         
          25.90                     27775                    0.49238                   1.46857         
          26.00                     27743                    0.49216                   1.47442         
          26.10                     27880                    0.49040                   1.47176         
          26.20                     26335                    0.49044                   1.52912         
          26.30                     26684                    0.48964                   1.51780         
          26.40                     26302                    0.49133                   1.52955         
          26.50                     25757                    0.49090                   1.54808         
          26.60                     27640                    0.48973                   1.48298         
          26.70                     27843                    0.48944                   1.47958         
          26.80                     27581                    0.48965                   1.48935         
          26.90                     27927                    0.49340                   1.47958         
          27.00                     28076                    0.49126                   1.47677         
          27.10                     28627                    0.49090                   1.45901         
          27.20                     27089                    0.49210                   1.50567         
          27.30                     28069                    0.49266                   1.47500         
          27.40                     26623                    0.49117                   1.52717         
          27.50                     25781                    0.49143                   1.55783         
          27.60                     26564                    0.49111                   1.52817         
          27.70                     26369                    0.49033                   1.53993         
          27.80                     26540                    0.49118                   1.53492         
          27.90                     27393                    0.49020                   1.50344         
          28.00                     26661                    0.48912                   1.52752         
          28.10                     25955                    0.49004                   1.55305         
          28.20                     27471                    0.49142                   1.49878         
          28.30                     25946                    0.49320                   1.55312         
          28.40                     25748                    0.49052                   1.56169         
          28.50                     26711                    0.48975                   1.52821         
          28.60                     26931                    0.49177                   1.52270         
          28.70                     27101                    0.49139                   1.51793         
          28.80                     26994                    0.49033                   1.52042         
          28.90                     26444                    0.49090                   1.53809         
          29.00                     27837                    0.49132                   1.48490         
          29.10                     26987                    0.49219                   1.50681         
          29.20                     26570                    0.48981                   1.51973         
          29.30                     28386                    0.49152                   1.45595         
          29.40                     27001                    0.49029                   1.50463         
          29.50                     27720                    0.49107                   1.48657         
          29.60                     26434                    0.48881                   1.53454         
          29.70                     27938                    0.48955                   1.47974         
          29.80                     27552                    0.48847                   1.49239         
          29.90                     26908                    0.48665                   1.51561         
          30.00                     28667                    0.48770                   1.45851         
          30.10                     27339                    0.49117                   1.49765         
          30.20                     27348                    0.49216                   1.49633         
          30.30                     27529                    0.49005                   1.49511         
          30.40                     26579                    0.49025                   1.52675         
          30.50                     26587                    0.49158                   1.52187         
          30.60                     27299                    0.49194                   1.49476         
