           tauB                     NinLC                      phiL          
           0.00                     10544                    0.59517                   0.60619         
           0.10                     93164                    0.59252                   0.60306         
           0.20                     92004                    0.58162                   0.60723         
           0.30                     91414                    0.57006                   0.61133         
           0.40                     90668                    0.56321                   0.61492         
           0.50                     89999                    0.55651                   0.61755         
           0.60                     90013                    0.55574                   0.61868         
           0.70                     89643                    0.55663                   0.61898         
           0.80                     89388                    0.55287                   0.62065         
           0.90                     88104                    0.55108                   0.62348         
           1.00                     89038                    0.54639                   0.62372         
           1.10                     88152                    0.54730                   0.62508         
           1.20                     89001                    0.54675                   0.62437         
           1.30                     88785                    0.54583                   0.62466         
           1.40                     88122                    0.54496                   0.62603         
           1.50                     89313                    0.54384                   0.62538         
           1.60                     89205                    0.54271                   0.62562         
           1.70                     88865                    0.54064                   0.62718         
           1.80                     87462                    0.54081                   0.63014         
           1.90                     87837                    0.53774                   0.63073         
           2.00                     88681                    0.53549                   0.63003         
           2.10                     87020                    0.53915                   0.63123         
           2.20                     87286                    0.53797                   0.63054         
           2.30                     88432                    0.53835                   0.62970         
           2.40                     87518                    0.53849                   0.63134         
           2.50                     84991                    0.53797                   0.63214         
           2.60                     87295                    0.53572                   0.63287         
           2.70                     87579                    0.54007                   0.63244         
           2.80                     85782                    0.53808                   0.63524         
           2.90                     87169                    0.53300                   0.63462         
           3.00                     86310                    0.53207                   0.63780         
           3.10                     86789                    0.53220                   0.63798         
           3.20                     85888                    0.52773                   0.64087         
           3.30                     83608                    0.52318                   0.64264         
           3.40                     84884                    0.52513                   0.64115         
           3.50                     87307                    0.52648                   0.63845         
           3.60                     87230                    0.53132                   0.63754         
           3.70                     85743                    0.53401                   0.63809         
           3.80                     87454                    0.53258                   0.63602         
           3.90                     86544                    0.53270                   0.63812         
           4.00                     86707                    0.53072                   0.63879         
           4.10                     86343                    0.53254                   0.64031         
           4.20                     86084                    0.52908                   0.64095         
           4.30                     86978                    0.52513                   0.64135         
           4.40                     84153                    0.52293                   0.64548         
           4.50                     84847                    0.52482                   0.64667         
           4.60                     83674                    0.52086                   0.64888         
           4.70                     85633                    0.52254                   0.64642         
           4.80                     84764                    0.52133                   0.64784         
           4.90                     83702                    0.52262                   0.64940         
           5.00                     84776                    0.52214                   0.64889         
           5.10                     84905                    0.52102                   0.64867         
           5.20                     84743                    0.52195                   0.64893         
           5.30                     86597                    0.52226                   0.64581         
           5.40                     85209                    0.52081                   0.64868         
           5.50                     85281                    0.52181                   0.64824         
           5.60                     85320                    0.52180                   0.64654         
           5.70                     86054                    0.52113                   0.64550         
           5.80                     86280                    0.52268                   0.64401         
           5.90                     85215                    0.52444                   0.64573         
           6.00                     84661                    0.52472                   0.64637         
           6.10                     85491                    0.52175                   0.64641         
           6.20                     84603                    0.52230                   0.64826         
           6.30                     85396                    0.52164                   0.64847         
           6.40                     83997                    0.51948                   0.65273         
           6.50                     84210                    0.51556                   0.65352         
           6.60                     83399                    0.51194                   0.65455         
           6.70                     79741                    0.51617                   0.65134         
           6.80                     83342                    0.51552                   0.65483         
           6.90                     84413                    0.51881                   0.65306         
           7.00                     77102                    0.51620                   0.65201         
           7.10                     85597                    0.51467                   0.65148         
           7.20                     84787                    0.51896                   0.65181         
           7.30                     83354                    0.51799                   0.65402         
           7.40                     85792                    0.51849                   0.65248         
           7.50                     85631                    0.51976                   0.65236         
           7.60                     84617                    0.51615                   0.65431         
           7.70                     83262                    0.51687                   0.65635         
           7.80                     84276                    0.51619                   0.65578         
           7.90                     85336                    0.51476                   0.65442         
           8.00                     82215                    0.51221                   0.65997         
           8.10                     85150                    0.51507                   0.65508         
           8.20                     83225                    0.51703                   0.65702         
           8.30                     80382                    0.51450                   0.65429         
           8.40                     77591                    0.51684                   0.65629         
           8.50                     80532                    0.51536                   0.66063         
           8.60                     83749                    0.51600                   0.65668         
           8.70                     83125                    0.51382                   0.65914         
           8.80                     83112                    0.51446                   0.65836         
           8.90                     84828                    0.51478                   0.65654         
           9.00                     83326                    0.51392                   0.65946         
           9.10                     83832                    0.51457                   0.65914         
           9.20                     79681                    0.51292                   0.66515         
           9.30                     83582                    0.51459                   0.65932         
           9.40                     84666                    0.51227                   0.65840         
           9.50                     84176                    0.51091                   0.66046         
           9.60                     82269                    0.51330                   0.66310         
           9.70                     83806                    0.50907                   0.66127         
           9.80                     84854                    0.50881                   0.65907         
           9.90                     80099                    0.50956                   0.66702         
          10.00                     82372                    0.50973                   0.66169         
          10.10                     83844                    0.51074                   0.66057         
          10.20                     83335                    0.51253                   0.66116         
          10.30                     84466                    0.51381                   0.65925         
          10.40                     81724                    0.51044                   0.66417         
          10.50                     82711                    0.50943                   0.66307         
          10.60                     82932                    0.50641                   0.66496         
          10.70                     81596                    0.50426                   0.66786         
          10.80                     80455                    0.50922                   0.66807         
          10.90                     80591                    0.51078                   0.66586         
          11.00                     80926                    0.50934                   0.66552         
          11.10                     78927                    0.51365                   0.66805         
          11.20                     80555                    0.51484                   0.66779         
          11.30                     83034                    0.50892                   0.66490         
          11.40                     82988                    0.50745                   0.66568         
          11.50                     81700                    0.50746                   0.66696         
          11.60                     79089                    0.50586                   0.67236         
          11.70                     77959                    0.50680                   0.67506         
          11.80                     78137                    0.50573                   0.67532         
          11.90                     83096                    0.50683                   0.66624         
          12.00                     80003                    0.50669                   0.67023         
          12.10                     82238                    0.50886                   0.66638         
          12.20                     82337                    0.51010                   0.66455         
          12.30                     81989                    0.51136                   0.66330         
          12.40                     81766                    0.51126                   0.66435         
          12.50                     72695                    0.51082                   0.65690         
          12.60                     84308                    0.51122                   0.65815         
          12.70                     80028                    0.50916                   0.66320         
          12.80                     80604                    0.51190                   0.66372         
          12.90                     84382                    0.51566                   0.65687         
          13.00                     82918                    0.51381                   0.65959         
          13.10                     82464                    0.51739                   0.65835         
          13.20                     83976                    0.51834                   0.65634         
          13.30                     84272                    0.51610                   0.65686         
          13.40                     81059                    0.51439                   0.66173         
          13.50                     80352                    0.51320                   0.66351         
          13.60                     74794                    0.51414                   0.66188         
          13.70                     77489                    0.51384                   0.65919         
          13.80                     74519                    0.51301                   0.66469         
          13.90                     76874                    0.51193                   0.66014         
          14.00                     81678                    0.51089                   0.66338         
          14.10                     81748                    0.51361                   0.66341         
          14.20                     79600                    0.51503                   0.66418         
          14.30                     81796                    0.51430                   0.66230         
          14.40                     81688                    0.51394                   0.66051         
          14.50                     83002                    0.51654                   0.65847         
          14.60                     80884                    0.51557                   0.66229         
          14.70                     80720                    0.51434                   0.66253         
          14.80                     78998                    0.51535                   0.66552         
          14.90                     85132                    0.51315                   0.65717         
          15.00                     80710                    0.51352                   0.66373         
          15.10                     82827                    0.51092                   0.66263         
          15.20                     81444                    0.50933                   0.66433         
          15.30                     82241                    0.51048                   0.66284         
          15.40                     82258                    0.51114                   0.66252         
          15.50                     83238                    0.51079                   0.66206         
          15.60                     84707                    0.50890                   0.66002         
          15.70                     82314                    0.51384                   0.66090         
          15.80                     81768                    0.51068                   0.66456         
          15.90                     77999                    0.51007                   0.66801         
          16.00                     82280                    0.51057                   0.66395         
          16.10                     83861                    0.50837                   0.66310         
          16.20                     83407                    0.50826                   0.66410         
