           tauB                     NinLC                      phiL          
           0.00                     10544                    0.59517                   0.60619         
           0.10                     77784                    0.56750                   0.62080         
           0.20                     76730                    0.55600                   0.63454         
           0.30                     71946                    0.55111                   0.63784         
           0.40                     72096                    0.54902                   0.64642         
           0.50                     72369                    0.54107                   0.65324         
           0.60                     71846                    0.54025                   0.66445         
           0.70                     65650                    0.53523                   0.67051         
           0.80                     57785                    0.53143                   0.67814         
           0.90                     16639                    0.52120                   0.70095         
           1.00                     14327                    0.50591                   0.75734         
           1.10                     13209                    0.49022                   0.68550         
           1.20                     12419                    0.47649                   0.85867         
           1.30                      7707                    0.45027                   1.18549         
           1.40                      6394                    0.42938                   1.29185         
           1.50                      9365                    0.40441                   1.24358         
           1.60                      9991                    0.38061                   1.27432         
           1.70                     10790                    0.36301                   1.28510         
           1.80                     12625                    0.34962                   1.26300         
           1.90                     12216                    0.33018                   1.32918         
           2.00                     12907                    0.30882                   1.33360         
           2.10                     13507                    0.28921                   1.33623         
           2.20                     13936                    0.27312                   1.34234         
           2.30                     14205                    0.26121                   1.34388         
           2.40                     21465                    0.24945                   1.31995         
           2.50                     21981                    0.23929                   1.32563         
           2.60                     22668                    0.23043                   1.32555         
           2.70                     23068                    0.22524                   1.32174         
           2.80                     23312                    0.22205                   1.32021         
           2.90                     23631                    0.22243                   1.32415         
           3.00                     23884                    0.22445                   1.32471         
           3.10                     24331                    0.22203                   1.32071         
           3.20                     24639                    0.22301                   1.32187         
           3.30                     24910                    0.22303                   1.32022         
           3.40                     25412                    0.22053                   1.31992         
           3.50                     25766                    0.22097                   1.32240         
           3.60                     26015                    0.22188                   1.32259         
           3.70                     26406                    0.22115                   1.32026         
           3.80                     26562                    0.21734                   1.32186         
           3.90                     26824                    0.21862                   1.31804         
           4.00                     27297                    0.21884                   1.31510         
           4.10                     27416                    0.21949                   1.31501         
           4.20                     27497                    0.22011                   1.31827         
           4.30                     27740                    0.21822                   1.32092         
           4.40                     28000                    0.21632                   1.32261         
           4.50                     28295                    0.21414                   1.32297         
           4.60                     28407                    0.21464                   1.31842         
           4.70                     28391                    0.21071                   1.31348         
           4.80                     28461                    0.20679                   1.31591         
           4.90                     28478                    0.20631                   1.31862         
           5.00                     28448                    0.20867                   1.31977         
           5.10                     28559                    0.20643                   1.31655         
           5.20                     28609                    0.20692                   1.32244         
           5.30                     28591                    0.20686                   1.32800         
           5.40                     28639                    0.20475                   1.33098         
           5.50                     28850                    0.20387                   1.32466         
           5.60                     28983                    0.20519                   1.32323         
           5.70                     29222                    0.20851                   1.32184         
           5.80                     29463                    0.20870                   1.32150         
           5.90                     29595                    0.20905                   1.32823         
           6.00                     29872                    0.20992                   1.33822         
           6.10                     30019                    0.20618                   1.34054         
           6.20                     30248                    0.20683                   1.34296         
           6.30                     30657                    0.20422                   1.34551         
           6.40                     31108                    0.20299                   1.34617         
           6.50                     31322                    0.20156                   1.34940         
           6.60                     31638                    0.20197                   1.35301         
           6.70                     32154                    0.19919                   1.35021         
           6.80                     32282                    0.19983                   1.34764         
           6.90                     32481                    0.20018                   1.34756         
           7.00                     32740                    0.19911                   1.34610         
           7.10                     32896                    0.19845                   1.34638         
           7.20                     33248                    0.19652                   1.34626         
           7.30                     33629                    0.19373                   1.35071         
           7.40                     33665                    0.19224                   1.34942         
           7.50                     33562                    0.19158                   1.35116         
           7.60                     33535                    0.18963                   1.35066         
           7.70                     34624                    0.19280                   1.33210         
           7.80                     33518                    0.19054                   1.35019         
           7.90                     33528                    0.18990                   1.35199         
           8.00                     33544                    0.18680                   1.35162         
           8.10                     33734                    0.18617                   1.35167         
           8.20                     34948                    0.18580                   1.33082         
           8.30                     34834                    0.18737                   1.32905         
           8.40                     34750                    0.18850                   1.33072         
           8.50                     34858                    0.18644                   1.33250         
           8.60                     34985                    0.18677                   1.33181         
           8.70                     35051                    0.18780                   1.33129         
           8.80                     35104                    0.18769                   1.33330         
           8.90                     35123                    0.18518                   1.33386         
           9.00                     35211                    0.18536                   1.32910         
           9.10                     35192                    0.18384                   1.32681         
           9.20                     35033                    0.18655                   1.33072         
           9.30                     35106                    0.18531                   1.32506         
           9.40                     34998                    0.18908                   1.32256         
           9.50                     34893                    0.19043                   1.32460         
           9.60                     34764                    0.19130                   1.32754         
           9.70                     34699                    0.19277                   1.33623         
           9.80                     34604                    0.19326                   1.34443         
           9.90                     34757                    0.19122                   1.34612         
          10.00                     34855                    0.18717                   1.34288         
          10.10                     35069                    0.18502                   1.33871         
          10.20                     35055                    0.18760                   1.33761         
          10.30                     35055                    0.18794                   1.33687         
          10.40                     34928                    0.18713                   1.34289         
          10.50                     34926                    0.18905                   1.34203         
          10.60                     34870                    0.19092                   1.33986         
          10.70                     34866                    0.18852                   1.34434         
          10.80                     35011                    0.18910                   1.35284         
          10.90                     34943                    0.18909                   1.35231         
          11.00                     34922                    0.18818                   1.34887         
          11.10                     34865                    0.18843                   1.35173         
          11.20                     34887                    0.18860                   1.36110         
          11.30                     35006                    0.18892                   1.36053         
          11.40                     35329                    0.18666                   1.36051         
          11.50                     35494                    0.18378                   1.36100         
          11.60                     35444                    0.18258                   1.36226         
          11.70                     35518                    0.17989                   1.36135         
          11.80                     35542                    0.18107                   1.35944         
          11.90                     35680                    0.18160                   1.35917         
          12.00                     35886                    0.18073                   1.35901         
          12.10                     35974                    0.18093                   1.35698         
          12.20                     36110                    0.17944                   1.35153         
          12.30                     36234                    0.18119                   1.34368         
          12.40                     36258                    0.18253                   1.34087         
          12.50                     36217                    0.18753                   1.34363         
          12.60                     36358                    0.18208                   1.34699         
          12.70                     36467                    0.18400                   1.34868         
          12.80                     36646                    0.18557                   1.35044         
          12.90                     36629                    0.18594                   1.34797         
          13.00                     36590                    0.18620                   1.35097         
          13.10                     36462                    0.18586                   1.35106         
          13.20                     36446                    0.18370                   1.34939         
          13.30                     72814                    0.18423                   1.34827         
          13.40                     72680                    0.18642                   1.35368         
          13.50                     72714                    0.18443                   1.35450         
          13.60                     72902                    0.18355                   1.35459         
          13.70                     73032                    0.18300                   1.35740         
          13.80                     73209                    0.18328                   1.35682         
          13.90                     73316                    0.18202                   1.35893         
          14.00                     73353                    0.18366                   1.35959         
          14.10                     73637                    0.18379                   1.35942         
          14.20                     73747                    0.18213                   1.36346         
          14.30                     73912                    0.18104                   1.36468         
          14.40                     74248                    0.18090                   1.36249         
          14.50                     74438                    0.18187                   1.36150         
          14.60                     74590                    0.18315                   1.35950         
