           tauB                     NinLC                      phiL          
           0.00                     21896                    0.51215                   1.69224         
           0.10                     22822                    0.49421                   1.85422         
           0.20                     24343                    0.48287                   1.90969         
           0.30                     25794                    0.47296                   1.95155         
           0.40                     27392                    0.46517                   1.97530         
           0.50                     28901                    0.45736                   1.99644         
           0.60                     30613                    0.44843                   2.00440         
           0.70                     32158                    0.44127                   2.01646         
           0.80                     33827                    0.43523                   2.02472         
           0.90                     35436                    0.42678                   2.03011         
           1.00                     37069                    0.42079                   2.03592         
           1.10                     38780                    0.41174                   2.03217         
           1.20                     40193                    0.40527                   2.03544         
           1.30                     41940                    0.39728                   2.03732         
           1.40                     43556                    0.39007                   2.03676         
           1.50                     45170                    0.38241                   2.03430         
           1.60                     46943                    0.37247                   2.03524         
           1.70                     48589                    0.36457                   2.03580         
           1.80                     50198                    0.35734                   2.03197         
           1.90                     51884                    0.34790                   2.03369         
           2.00                     53336                    0.33993                   2.03694         
           2.10                     54908                    0.33182                   2.03830         
           2.20                     56522                    0.32341                   2.03329         
           2.30                     58077                    0.31397                   2.02731         
           2.40                     59379                    0.30666                   2.02245         
           2.50                     60709                    0.29885                   2.01930         
           2.60                     62023                    0.29169                   2.01489         
           2.70                     63232                    0.28424                   2.01084         
           2.80                     64534                    0.27653                   2.00513         
           2.90                     65643                    0.26985                   2.00404         
           3.00                     66896                    0.26226                   1.99924         
           3.10                     67795                    0.25655                   2.00098         
           3.20                     68824                    0.24952                   1.99789         
           3.30                     69744                    0.24494                   1.99188         
           3.40                     70701                    0.23856                   1.98481         
           3.50                     71372                    0.23451                   1.98257         
           3.60                     72034                    0.23064                   1.98053         
           3.70                     72763                    0.22505                   1.97699         
           3.80                     73384                    0.22189                   1.96863         
           3.90                     73942                    0.21919                   1.96682         
           4.00                     74467                    0.21506                   1.96481         
           4.10                     74928                    0.21295                   1.95980         
           4.20                     75291                    0.21029                   1.95782         
           4.30                     75628                    0.20881                   1.95399         
           4.40                     75910                    0.20751                   1.95457         
           4.50                     76234                    0.20470                   1.95496         
           4.60                     76491                    0.20224                   1.95650         
           4.70                     76683                    0.20251                   1.95527         
           4.80                     76678                    0.20123                   1.95769         
           4.90                     76767                    0.20016                   1.95462         
           5.00                     76787                    0.20070                   1.95484         
           5.10                     76971                    0.20031                   1.95421         
           5.20                     76974                    0.20035                   1.95329         
