           tauB                     NinLC                      phiL          
           0.00                      6848                    0.58051                   1.22210         
           0.10                     11836                    0.57905                   0.58530         
           0.20                      8214                    0.56874                   1.16688         
           0.30                     14406                    0.56480                   0.93075         
           0.40                     18387                    0.56182                   0.86266         
           0.50                     13801                    0.55852                   0.95251         
           0.60                     12326                    0.55714                   0.61029         
           0.70                     11127                    0.55872                   0.59973         
           0.80                     15877                    0.55655                   0.60117         
           0.90                     17891                    0.55519                   0.61493         
           1.00                     12748                    0.55497                   0.97428         
           1.10                     31209                    0.55414                   0.60810         
           1.20                     30749                    0.55340                   0.76338         
           1.30                     12446                    0.55550                   0.98516         
           1.40                     19565                    0.55469                   0.61545         
           1.50                     23694                    0.55488                   0.60808         
           1.60                     13781                    0.55381                   0.94038         
           1.70                     10493                    0.55388                   1.04581         
           1.80                     19196                    0.55399                   0.61359         
           1.90                     13146                    0.55387                   0.95876         
           2.00                     22275                    0.55256                   0.80709         
           2.10                     27461                    0.55474                   0.77308         
           2.20                     21219                    0.55409                   0.81950         
           2.30                     21472                    0.55666                   0.60764         
           2.40                     14652                    0.55569                   0.90872         
           2.50                     12588                    0.55593                   0.96965         
           2.60                     16433                    0.55674                   0.88371         
           2.70                     13901                    0.55576                   0.94104         
           2.80                     22338                    0.55554                   0.81215         
           2.90                     36120                    0.55789                   0.73507         
           3.00                     17744                    0.55557                   0.86733         
           3.10                     12453                    0.55424                   0.98316         
           3.20                     20379                    0.55502                   0.83301         
           3.30                     22845                    0.55632                   0.80710         
           3.40                     18252                    0.55466                   0.85883         
           3.50                     16383                    0.55551                   0.88401         
           3.60                     18133                    0.55375                   0.85774         
           3.70                     21737                    0.55511                   0.81699         
           3.80                     21830                    0.55530                   0.81470         
           3.90                     31381                    0.55538                   0.75743         
           4.00                     25625                    0.55494                   0.79373         
           4.10                     18028                    0.55541                   0.86495         
           4.20                     20971                    0.55612                   0.82595         
           4.30                     12217                    0.55422                   0.98616         
           4.40                     15025                    0.55404                   0.91553         
           4.50                     21610                    0.55340                   0.81909         
           4.60                     29558                    0.55212                   0.77064         
           4.70                     18015                    0.55477                   0.60711         
           4.80                     20831                    0.55533                   0.83019         
           4.90                     35871                    0.55492                   0.73677         
           5.00                     15778                    0.55451                   0.90004         
           5.10                     15354                    0.55526                   0.90417         
           5.20                     18917                    0.55678                   0.84293         
           5.30                     43987                    0.55666                   0.71182         
           5.40                     34239                    0.55408                   0.74062         
           5.50                     12102                    0.55588                   0.97482         
           5.60                     18116                    0.55703                   0.85679         
           5.70                     13565                    0.55430                   0.93637         
           5.80                     29463                    0.55632                   0.76622         
           5.90                     12898                    0.55790                   0.94923         
           6.00                     29882                    0.55338                   0.75723         
           6.10                     17977                    0.55480                   0.84522         
           6.20                     38016                    0.55622                   0.72790         
           6.30                     18926                    0.55423                   0.84118         
           6.40                     17637                    0.55600                   0.86291         
           6.50                     22184                    0.55464                   0.80206         
           6.60                     14060                    0.55372                   0.62343         
           6.70                     25850                    0.55532                   0.77373         
           6.80                     25857                    0.55541                   0.77758         
           6.90                     23523                    0.55443                   0.79582         
           7.00                     20221                    0.55335                   0.82706         
           7.10                     31328                    0.55215                   0.75630         
           7.20                     26780                    0.55278                   0.77200         
