           tauB                     NinLC                      phiL          
           0.00                     15831                    0.54300                   1.47061         
           0.10                     15764                    0.53385                   1.55060         
           0.20                     16308                    0.52649                   1.56963         
           0.30                     16862                    0.52146                   1.57469         
           0.40                     17263                    0.51739                   1.57989         
           0.50                     17868                    0.51491                   1.57333         
           0.60                     18246                    0.51105                   1.57744         
           0.70                     18680                    0.50939                   1.56981         
           0.80                     19028                    0.50906                   1.56086         
           0.90                     19357                    0.50857                   1.56094         
           1.00                     19576                    0.50554                   1.57230         
           1.10                     20317                    0.50536                   1.55344         
           1.20                     20498                    0.50357                   1.56573         
           1.30                     20793                    0.49990                   1.57030         
           1.40                     20782                    0.49996                   1.58836         
           1.50                     21028                    0.49932                   1.59599         
           1.60                     21313                    0.49890                   1.59593         
           1.70                     21621                    0.49656                   1.59331         
           1.80                     22019                    0.49636                   1.58395         
           1.90                     22103                    0.49696                   1.59199         
           2.00                     22613                    0.49431                   1.58136         
           2.10                     22675                    0.49169                   1.58956         
           2.20                     22947                    0.49110                   1.59015         
           2.30                     23323                    0.49002                   1.58406         
           2.40                     23499                    0.48795                   1.59114         
           2.50                     23812                    0.48773                   1.58982         
           2.60                     24069                    0.48773                   1.58776         
           2.70                     24335                    0.48483                   1.58802         
           2.80                     24535                    0.48706                   1.59622         
           2.90                     24932                    0.48247                   1.59613         
           3.00                     25393                    0.48067                   1.59151         
           3.10                     25695                    0.47763                   1.59371         
           3.20                     25837                    0.47797                   1.60267         
           3.30                     26060                    0.47748                   1.60503         
           3.40                     26329                    0.47776                   1.60243         
           3.50                     26731                    0.47713                   1.59179         
           3.60                     26952                    0.47320                   1.59743         
           3.70                     27031                    0.47385                   1.60844         
           3.80                     27426                    0.47235                   1.60591         
           3.90                     27799                    0.47137                   1.60251         
           4.00                     28046                    0.46927                   1.60227         
           4.10                     28191                    0.46796                   1.60532         
           4.20                     28539                    0.46811                   1.60245         
           4.30                     28731                    0.46782                   1.60577         
           4.40                     29081                    0.46692                   1.60592         
           4.50                     29324                    0.46626                   1.60974         
           4.60                     29664                    0.46460                   1.60782         
           4.70                     30037                    0.46334                   1.60586         
           4.80                     29988                    0.46211                   1.61610         
           4.90                     30392                    0.46266                   1.60508         
           5.00                     30700                    0.45998                   1.60178         
           5.10                     31118                    0.46034                   1.59620         
           5.20                     31253                    0.45909                   1.60314         
           5.30                     31522                    0.45663                   1.60554         
           5.40                     31808                    0.45706                   1.60533         
           5.50                     31948                    0.45428                   1.61009         
           5.60                     32564                    0.45195                   1.59885         
           5.70                     32620                    0.45153                   1.60584         
           5.80                     32982                    0.45135                   1.59743         
           5.90                     33012                    0.45066                   1.60369         
           6.00                     33090                    0.45107                   1.60735         
           6.10                     33406                    0.45104                   1.60167         
           6.20                     33716                    0.44977                   1.60135         
           6.30                     34078                    0.44845                   1.59874         
           6.40                     34206                    0.44672                   1.60367         
           6.50                     34530                    0.44507                   1.60301         
           6.60                     34726                    0.44380                   1.60499         
           6.70                     34947                    0.44419                   1.60428         
           6.80                     35065                    0.44214                   1.60471         
           6.90                     35294                    0.44256                   1.60669         
           7.00                     35588                    0.44183                   1.60325         
           7.10                     35712                    0.44157                   1.60582         
           7.20                     35817                    0.44153                   1.61079         
           7.30                     36118                    0.43875                   1.61336         
           7.40                     36187                    0.43677                   1.62000         
           7.50                     36527                    0.43677                   1.61754         
           7.60                     36770                    0.43628                   1.61826         
           7.70                     37054                    0.43454                   1.62397         
           7.80                     37319                    0.43484                   1.62509         
           7.90                     37530                    0.43185                   1.62426         
           8.00                     37811                    0.43125                   1.62149         
           8.10                     38018                    0.43012                   1.61980         
           8.20                     38313                    0.42894                   1.61500         
           8.30                     38556                    0.42767                   1.61433         
           8.40                     38719                    0.42925                   1.61810         
           8.50                     38981                    0.42771                   1.62088         
           8.60                     39232                    0.42444                   1.62016         
           8.70                     39563                    0.42280                   1.61781         
           8.80                     39854                    0.42343                   1.61898         
           8.90                     39935                    0.42274                   1.62187         
           9.00                     40039                    0.42009                   1.62520         
           9.10                     40210                    0.42104                   1.62418         
           9.20                     40349                    0.42035                   1.62315         
           9.30                     40609                    0.41887                   1.62003         
           9.40                     40882                    0.41710                   1.61761         
           9.50                     41232                    0.41661                   1.61221         
           9.60                     41296                    0.41706                   1.61541         
           9.70                     41271                    0.41541                   1.61998         
           9.80                     41522                    0.41515                   1.61929         
           9.90                     41722                    0.41388                   1.62130         
          10.00                     41883                    0.41210                   1.62365         
          10.10                     42127                    0.41084                   1.62473         
          10.20                     42293                    0.41172                   1.62638         
          10.30                     42465                    0.40864                   1.62658         
          10.40                     42656                    0.40858                   1.62452         
          10.50                     42885                    0.40742                   1.62169         
          10.60                     43117                    0.40619                   1.62030         
          10.70                     43315                    0.40651                   1.62220         
          10.80                     43671                    0.40460                   1.61871         
          10.90                     43738                    0.40467                   1.62114         
          11.00                     43846                    0.40400                   1.62206         
          11.10                     43965                    0.40284                   1.62274         
          11.20                     43920                    0.40358                   1.62507         
          11.30                     44131                    0.40239                   1.62122         
          11.40                     44080                    0.40276                   1.62604         
          11.50                     44322                    0.40112                   1.62649         
          11.60                     44539                    0.39943                   1.62403         
          11.70                     44656                    0.40054                   1.62375         
          11.80                     44994                    0.39939                   1.61697         
          11.90                     45024                    0.39924                   1.61931         
          12.00                     45159                    0.39810                   1.62108         
          12.10                     45254                    0.39678                   1.62488         
          12.20                     45553                    0.39718                   1.62440         
          12.30                     45662                    0.39555                   1.62809         
          12.40                     45766                    0.39511                   1.62897         
          12.50                     46049                    0.39373                   1.62631         
