           tauB                     NinLC                      phiL          
           0.00                     10544                    0.59517                   0.60619         
           0.10                     74205                    0.56732                   0.62539         
           0.20                     66122                    0.55539                   0.63692         
           0.30                     60711                    0.55334                   0.64383         
           0.40                     55373                    0.54576                   0.65384         
           0.50                     58631                    0.54283                   0.65382         
           0.60                     59449                    0.54146                   0.67077         
           0.70                     16132                    0.53177                   0.66190         
           0.80                     15203                    0.51186                   0.75488         
           0.90                      8771                    0.49691                   0.96902         
           1.00                      7387                    0.47105                   0.78790         
           1.10                      8897                    0.44789                   1.13269         
           1.20                      7318                    0.42565                   1.25381         
           1.30                      7424                    0.39459                   1.33788         
           1.40                      8343                    0.36640                   1.34835         
           1.50                      9237                    0.33827                   1.37341         
           1.60                     10127                    0.31629                   1.39623         
           1.70                     11042                    0.29612                   1.40618         
           1.80                     11863                    0.27594                   1.40825         
           1.90                     12520                    0.26378                   1.41355         
           2.00                     14521                    0.24776                   1.35359         
           2.10                     13560                    0.24097                   1.41054         
           2.20                     14008                    0.23421                   1.40708         
           2.30                     14454                    0.22854                   1.41458         
           2.40                     15217                    0.22081                   1.42127         
           2.50                     25790                    0.21849                   1.37912         
           2.60                     26173                    0.21247                   1.38221         
           2.70                     26456                    0.20701                   1.37197         
           2.80                     26581                    0.20919                   1.37056         
           2.90                     26891                    0.20817                   1.36608         
           3.00                     27049                    0.20482                   1.36765         
           3.10                     27174                    0.20039                   1.37070         
           3.20                     27093                    0.19809                   1.37022         
           3.30                     18235                    0.19638                   1.39697         
           3.40                     18601                    0.20008                   1.38747         
           3.50                     18585                    0.20308                   1.39066         
           3.60                     18714                    0.19895                   1.38834         
           3.70                     19025                    0.20157                   1.38928         
           3.80                     23232                    0.20862                   1.32553         
           3.90                     19646                    0.21066                   1.39889         
           4.00                     22665                    0.21184                   1.33485         
           4.10                     20446                    0.21451                   1.40931         
           4.20                     27560                    0.21062                   1.35659         
           4.30                     27551                    0.20508                   1.36604         
           4.40                     27886                    0.20062                   1.36243         
           4.50                     27753                    0.20523                   1.35251         
           4.60                     23721                    0.21266                   1.40937         
           4.70                     24149                    0.21529                   1.41034         
           4.80                     24571                    0.21625                   1.41134         
           4.90                     25149                    0.21266                   1.41733         
           5.00                     25621                    0.21000                   1.41752         
           5.10                     26253                    0.20802                   1.42029         
           5.20                     26731                    0.20136                   1.42171         
           5.30                     31544                    0.19782                   1.38976         
           5.40                     27674                    0.19981                   1.42561         
           5.50                     28058                    0.19887                   1.42057         
           5.60                     31429                    0.20126                   1.38790         
           5.70                     28669                    0.20205                   1.41929         
           5.80                     29057                    0.20272                   1.42608         
           5.90                     29707                    0.20678                   1.42967         
           6.00                     30260                    0.20484                   1.44272         
           6.10                     30860                    0.19805                   1.44140         
           6.20                     31367                    0.19514                   1.43613         
           6.30                     31815                    0.19661                   1.43088         
           6.40                     32249                    0.19430                   1.42590         
           6.50                     32592                    0.19486                   1.42041         
           6.60                     33001                    0.19539                   1.42042         
           6.70                     33527                    0.19176                   1.41804         
           6.80                     33762                    0.19088                   1.42414         
           6.90                     34223                    0.18998                   1.42528         
           7.00                     34453                    0.19416                   1.42496         
           7.10                     34625                    0.19564                   1.42418         
           7.20                     34748                    0.19219                   1.42703         
           7.30                     35163                    0.18523                   1.43513         
           7.40                     35552                    0.17961                   1.43959         
           7.50                     35994                    0.17248                   1.43621         
           7.60                     36210                    0.17057                   1.43710         
           7.70                     36476                    0.16932                   1.43862         
           7.80                     36649                    0.16800                   1.43365         
           7.90                     36858                    0.16465                   1.43294         
           8.00                     36719                    0.16927                   1.42994         
           8.10                     36684                    0.16882                   1.42573         
           8.20                     36613                    0.17359                   1.42240         
           8.30                     36396                    0.17507                   1.42337         
           8.40                     36353                    0.17557                   1.42758         
           8.50                     36197                    0.17446                   1.43623         
           8.60                     36569                    0.17022                   1.43290         
           8.70                     36843                    0.16698                   1.42957         
           8.80                     37076                    0.16559                   1.42708         
           8.90                     37300                    0.16901                   1.42662         
           9.00                     37580                    0.16620                   1.42262         
           9.10                     37642                    0.16902                   1.42082         
           9.20                     37841                    0.17012                   1.41755         
           9.30                     37913                    0.17291                   1.41861         
           9.40                     37988                    0.17159                   1.42210         
           9.50                     38251                    0.16982                   1.42380         
           9.60                     62312                    0.16965                   1.41662         
           9.70                     62416                    0.16914                   1.41938         
           9.80                     62532                    0.16859                   1.42268         
           9.90                     62525                    0.16634                   1.42484         
          10.00                     62605                    0.16492                   1.42433         
          10.10                     86358                    0.16799                   1.41331         
          10.20                     38676                    0.16766                   1.42197         
          10.30                     38786                    0.16920                   1.42223         
          10.40                     63170                    0.16513                   1.41564         
          10.50                     63228                    0.16852                   1.41421         
          10.60                     39122                    0.16447                   1.42506         
          10.70                     63439                    0.16371                   1.41223         
          10.80                     63628                    0.16231                   1.41595         
          10.90                     63798                    0.16269                   1.41773         
          11.00                     64100                    0.15898                   1.41419         
          11.10                     63926                    0.16070                   1.41293         
          11.20                     63724                    0.16174                   1.41442         
          11.30                     63724                    0.16393                   1.41407         
          11.40                     63551                    0.16664                   1.41757         
          11.50                     63576                    0.16413                   1.42016         
          11.60                     63825                    0.16215                   1.41732         
          11.70                     63855                    0.16137                   1.41445         
          11.80                     63677                    0.16840                   1.41040         
          11.90                     63518                    0.16925                   1.41171         
          12.00                     63389                    0.16919                   1.41494         
          12.10                     41487                    0.16733                   1.43176         
          12.20                     41715                    0.16936                   1.42950         
          12.30                     41753                    0.16998                   1.42774         
          12.40                     41815                    0.16911                   1.43293         
          12.50                     41905                    0.16657                   1.43365         
