           tauB                     NinLC                      phiL          
           0.00                     12573                    0.55689                   1.41203         
           0.10                     13145                    0.54581                   1.43085         
           0.20                     14005                    0.53672                   1.41657         
           0.30                     14816                    0.53631                   1.39375         
           0.40                     16659                    0.53399                   1.31563         
           0.50                     16032                    0.53447                   1.36027         
           0.60                     16942                    0.53317                   1.33371         
           0.70                     17434                    0.53216                   1.32979         
           0.80                     17894                    0.53116                   1.32545         
           0.90                     18699                    0.53313                   1.30325         
           1.00                     17049                    0.53037                   1.38298         
           1.10                     17627                    0.52973                   1.36817         
           1.20                     18291                    0.53002                   1.34564         
           1.30                     20928                    0.52912                   1.25504         
           1.40                     19100                    0.52877                   1.32023         
           1.50                     18985                    0.52946                   1.33117         
           1.60                     19763                    0.53019                   1.30878         
           1.70                     20455                    0.52986                   1.28932         
           1.80                     19603                    0.52908                   1.32387         
           1.90                     20718                    0.52804                   1.28840         
           2.00                     22451                    0.52838                   1.23595         
           2.10                     22695                    0.52720                   1.23131         
           2.20                     22190                    0.52715                   1.25313         
           2.30                     22680                    0.52658                   1.24201         
           2.40                     22310                    0.52477                   1.25906         
           2.50                     21572                    0.52561                   1.29038         
           2.60                     21441                    0.52597                   1.29992         
           2.70                     21483                    0.52500                   1.30154         
           2.80                     22065                    0.52605                   1.29042         
           2.90                     20639                    0.52410                   1.34884         
           3.00                     21865                    0.52469                   1.31217         
           3.10                     23412                    0.52415                   1.27247         
           3.20                     22371                    0.52282                   1.31073         
           3.30                     23236                    0.52200                   1.28763         
           3.40                     23278                    0.52068                   1.28957         
           3.50                     23462                    0.52086                   1.29234         
           3.60                     22855                    0.52017                   1.31984         
           3.70                     24664                    0.52039                   1.26716         
           3.80                     23219                    0.51911                   1.31359         
           3.90                     23249                    0.51889                   1.32008         
           4.00                     23894                    0.51805                   1.30157         
           4.10                     24873                    0.51746                   1.27289         
           4.20                     24645                    0.51832                   1.28068         
           4.30                     24788                    0.51613                   1.27687         
           4.40                     24261                    0.51703                   1.29605         
           4.50                     24629                    0.51580                   1.28859         
           4.60                     25057                    0.51626                   1.27575         
           4.70                     26164                    0.51567                   1.24243         
           4.80                     25426                    0.51721                   1.26484         
           4.90                     25427                    0.51556                   1.26456         
           5.00                     26917                    0.51817                   1.22393         
           5.10                     25896                    0.51673                   1.25137         
           5.20                     27246                    0.51570                   1.21556         
           5.30                     27620                    0.51620                   1.20631         
           5.40                     28253                    0.51447                   1.19404         
           5.50                     28675                    0.51630                   1.18436         
           5.60                     26669                    0.51648                   1.23012         
           5.70                     27087                    0.51645                   1.22233         
           5.80                     27262                    0.51576                   1.21900         
           5.90                     26860                    0.51612                   1.22662         
           6.00                     28462                    0.51687                   1.18997         
           6.10                     27619                    0.51580                   1.20922         
           6.20                     29018                    0.51605                   1.18165         
           6.30                     28985                    0.51568                   1.18590         
           6.40                     28155                    0.51584                   1.20764         
           6.50                     29055                    0.51673                   1.18590         
           6.60                     29327                    0.51599                   1.18081         
           6.70                     28619                    0.51506                   1.19564         
           6.80                     28971                    0.51471                   1.18423         
           6.90                     28905                    0.51480                   1.18346         
           7.00                     28917                    0.51692                   1.17699         
           7.10                     29299                    0.51450                   1.16900         
           7.20                     30940                    0.51581                   1.13812         
