           tauB                     NinLC                      phiL          
           0.00                     10544                    0.59517                   0.60619         
           0.10                     87096                    0.57340                   0.61307         
           0.20                     84611                    0.56888                   0.61602         
           0.30                     85990                    0.56997                   0.61532         
           0.40                     86239                    0.56607                   0.61669         
           0.50                     87703                    0.56771                   0.61519         
           0.60                     87150                    0.56796                   0.61564         
           0.70                     85925                    0.56897                   0.61547         
           0.80                     86784                    0.56985                   0.61542         
           0.90                     87456                    0.57173                   0.61431         
           1.00                     86523                    0.57164                   0.61473         
           1.10                     86940                    0.56612                   0.61547         
           1.20                     86397                    0.56923                   0.61577         
           1.30                     86982                    0.56973                   0.61424         
           1.40                     87455                    0.57062                   0.61462         
           1.50                     88621                    0.57333                   0.61300         
           1.60                     86485                    0.57058                   0.61606         
           1.70                     86024                    0.56787                   0.61680         
           1.80                     86908                    0.57096                   0.61486         
           1.90                     87500                    0.57173                   0.61358         
           2.00                     87227                    0.57407                   0.61321         
           2.10                     88023                    0.57082                   0.61360         
           2.20                     87126                    0.56811                   0.61605         
           2.30                     86243                    0.57108                   0.61543         
           2.40                     87032                    0.56874                   0.61502         
           2.50                     86537                    0.57211                   0.61429         
           2.60                     86225                    0.56956                   0.61559         
           2.70                     87010                    0.57289                   0.61426         
           2.80                     87463                    0.56983                   0.61473         
           2.90                     87339                    0.56868                   0.61606         
           3.00                     84760                    0.57161                   0.61508         
           3.10                     86531                    0.57102                   0.61529         
           3.20                     83332                    0.56937                   0.61615         
           3.30                     86965                    0.57305                   0.61445         
           3.40                     87561                    0.57013                   0.61506         
           3.50                     85450                    0.56963                   0.61630         
           3.60                     86339                    0.56808                   0.61596         
           3.70                     88123                    0.57137                   0.61341         
           3.80                     88054                    0.57012                   0.61349         
           3.90                     86403                    0.57020                   0.61492         
           4.00                     86540                    0.57027                   0.61517         
           4.10                     87659                    0.57271                   0.61295         
           4.20                     87494                    0.57031                   0.61455         
           4.30                     87376                    0.57157                   0.61461         
           4.40                     87379                    0.56713                   0.61566         
           4.50                     86088                    0.57008                   0.61560         
           4.60                     86385                    0.56792                   0.61624         
           4.70                     86264                    0.57102                   0.61486         
           4.80                     87067                    0.57197                   0.61463         
           4.90                     88124                    0.57245                   0.61277         
           5.00                     87805                    0.57066                   0.61464         
           5.10                     86719                    0.57191                   0.61444         
           5.20                     86710                    0.57025                   0.61508         
           5.30                     87203                    0.56878                   0.61568         
           5.40                     87754                    0.57194                   0.61442         
           5.50                     88801                    0.57092                   0.61322         
           5.60                     86645                    0.57062                   0.61489         
           5.70                     87611                    0.57108                   0.61395         
           5.80                     87148                    0.56705                   0.61590         
           5.90                     86202                    0.56878                   0.61611         
           6.00                     87643                    0.56836                   0.61535         
           6.10                     86152                    0.57066                   0.61648         
           6.20                     85412                    0.56895                   0.61659         
           6.30                     88059                    0.57258                   0.61238         
           6.40                     86097                    0.57066                   0.61533         
           6.50                     88570                    0.57214                   0.61294         
           6.60                     87184                    0.57124                   0.61542         
           6.70                     85542                    0.56941                   0.61592         
           6.80                     86648                    0.56931                   0.61575         
           6.90                     87244                    0.56922                   0.61472         
           7.00                     86287                    0.57257                   0.61393         
           7.10                     85793                    0.57082                   0.61522         
           7.20                     86788                    0.56919                   0.61567         
           7.30                     86233                    0.57007                   0.61544         
           7.40                     87330                    0.56810                   0.61490         
           7.50                     86128                    0.56772                   0.61631         
           7.60                     86708                    0.56893                   0.61541         
           7.70                     86871                    0.56915                   0.61540         
           7.80                     86414                    0.56853                   0.61649         
           7.90                     87395                    0.57143                   0.61359         
