           tauB                     NinLC                      phiL          
          14.40                     54340                    0.20543                   1.29707         
          14.50                     54580                    0.20222                   1.29269         
          14.60                     54638                    0.20209                   1.28801         
          14.70                     54666                    0.20274                   1.28537         
          14.80                     36924                    0.20570                   1.30260         
          14.90                     37047                    0.20460                   1.30518         
          15.00                     37154                    0.20375                   1.30666         
          15.10                     37139                    0.20579                   1.30763         
          15.20                     54833                    0.20399                   1.29075         
          15.30                     37112                    0.20435                   1.30538         
          15.40                     37235                    0.20365                   1.30462         
          15.50                     37225                    0.20407                   1.30442         
          15.60                     37304                    0.20506                   1.30151         
          15.70                     37261                    0.20660                   1.30176         
          15.80                     37388                    0.20527                   1.30209         
          15.90                     37393                    0.20670                   1.30585         
          16.00                     37437                    0.20555                   1.30981         
          16.10                     37475                    0.20954                   1.31093         
          16.20                     54248                    0.20968                   1.29121         
          16.30                     54313                    0.20902                   1.29334         
          16.40                     54413                    0.21159                   1.29425         
          16.50                     54569                    0.21084                   1.29359         
          16.60                     54697                    0.20667                   1.29479         
          16.70                     54970                    0.20759                   1.29363         
          16.80                     55089                    0.20507                   1.29256         
          16.90                     55227                    0.20567                   1.29517         
          17.00                     55426                    0.20502                   1.29585         
          17.10                     55447                    0.20384                   1.29850         
          17.20                     55362                    0.20563                   1.29803         
          17.30                     55219                    0.20690                   1.30006         
          17.40                     54933                    0.20943                   1.30220         
          17.50                     55108                    0.20771                   1.30175         
          17.60                     55300                    0.20778                   1.30009         
          17.70                     55511                    0.20756                   1.29940         
          17.80                     55719                    0.20525                   1.29659         
          17.90                     55864                    0.20464                   1.29244         
          18.00                     55930                    0.20330                   1.29319         
          18.10                     56220                    0.20171                   1.29202         
          18.20                     56334                    0.20157                   1.29406         
          18.30                     56525                    0.20128                   1.29447         
          18.40                     56631                    0.20053                   1.29465         
          18.50                     56617                    0.20072                   1.29464         
          18.60                     56516                    0.20577                   1.29492         
          18.70                     56405                    0.20544                   1.29668         
          18.80                     56372                    0.20789                   1.29652         
          18.90                     56369                    0.20639                   1.29842         
          19.00                     56415                    0.20726                   1.29888         
          19.10                     56636                    0.20431                   1.29857         
          19.20                     56697                    0.20640                   1.30020         
          19.30                     56959                    0.20357                   1.30116         
          19.40                     56916                    0.20453                   1.30307         
          19.50                     57247                    0.19996                   1.30109         
          19.60                     57326                    0.20108                   1.30202         
          19.70                     57438                    0.20034                   1.30194         
          19.80                     57592                    0.19964                   1.30077         
          19.90                     57617                    0.20199                   1.29998         
          20.00                     57673                    0.20198                   1.29956         
          20.10                     57578                    0.20453                   1.30235         
          20.20                     57640                    0.20409                   1.30238         
          20.30                     57657                    0.20402                   1.30477         
          20.40                     57741                    0.20384                   1.30569         
          20.50                     57711                    0.20959                   1.30637         
          20.60                     57944                    0.20785                   1.30406         
          20.70                     57775                    0.21234                   1.30342         
          20.80                     57907                    0.21169                   1.29943         
          20.90                     57842                    0.21274                   1.29850         
          21.00                     57762                    0.21170                   1.30398         
          21.10                     57812                    0.21107                   1.30532         
          21.20                     57968                    0.20995                   1.30539         
          21.30                     58092                    0.20826                   1.30654         
          21.40                     58277                    0.20473                   1.30680         
          21.50                     58467                    0.20195                   1.30889         
          21.60                     58720                    0.19809                   1.30832         
          21.70                     58819                    0.19822                   1.30869         
          21.80                     58951                    0.19570                   1.31066         
          21.90                     59177                    0.19178                   1.31131         
          22.00                     59474                    0.19163                   1.31006         
          22.10                     59578                    0.19254                   1.30868         
          22.20                     59699                    0.19058                   1.30610         
          22.30                     59805                    0.18975                   1.30159         
          22.40                     59696                    0.19152                   1.29883         
          22.50                     59564                    0.19218                   1.29895         
          22.60                     59416                    0.19371                   1.29919         
          22.70                     59304                    0.19602                   1.30178         
          22.80                     59261                    0.19500                   1.30307         
          22.90                     59233                    0.19375                   1.30370         
          23.00                     59290                    0.19479                   1.30161         
          23.10                     59195                    0.19432                   1.30058         
          23.20                     59351                    0.19378                   1.29719         
          23.30                     59276                    0.19535                   1.29613         
          23.40                     59461                    0.19375                   1.29412         
          23.50                     59167                    0.19700                   1.29823         
          23.60                     58990                    0.19676                   1.30349         
          23.70                     58837                    0.19845                   1.30993         
          23.80                     58750                    0.19953                   1.31501         
          23.90                     59083                    0.19676                   1.31541         
          24.00                     59280                    0.19511                   1.31328         
          24.10                     59390                    0.19242                   1.31161         
          24.20                     59525                    0.19176                   1.30815         
          24.30                     59628                    0.19109                   1.30779         
          24.40                     59652                    0.18940                   1.30770         
          24.50                     59686                    0.19074                   1.30901         
          24.60                     59811                    0.18982                   1.30892         
          24.70                     59704                    0.19054                   1.31118         
          24.80                     59691                    0.19014                   1.31174         
          24.90                     59957                    0.18956                   1.30666         
          25.00                     59962                    0.19012                   1.30369         
          25.10                     59991                    0.19065                   1.30020         
          25.20                     59988                    0.19089                   1.29948         
          25.30                     60025                    0.19281                   1.29897         
          25.40                     60189                    0.19077                   1.29922         
          25.50                     60334                    0.18876                   1.29976         
          25.60                     60302                    0.19066                   1.29781         
          25.70                     60005                    0.19610                   1.30141         
          25.80                     59934                    0.19463                   1.30281         
          25.90                     59859                    0.19563                   1.30558         
          26.00                     59808                    0.19577                   1.30818         
          26.10                     60002                    0.19398                   1.30712         
          26.20                     60019                    0.19204                   1.30941         
          26.30                     60137                    0.19292                   1.30997         
          26.40                     60280                    0.19159                   1.31014         
          26.50                     60178                    0.19339                   1.30943         
          26.60                     60244                    0.19191                   1.30978         
          26.70                     60261                    0.19212                   1.31162         
          26.80                     60204                    0.19098                   1.31424         
          26.90                     60070                    0.19271                   1.31845         
          27.00                     60207                    0.19150                   1.31606         
          27.10                     60220                    0.19172                   1.31482         
          27.20                     60250                    0.19201                   1.31419         
          27.30                     60100                    0.19330                   1.31230         
          27.40                     60193                    0.19243                   1.31022         
          27.50                     60222                    0.19440                   1.31220         
          27.60                     60302                    0.19226                   1.31078         
          27.70                     60332                    0.19354                   1.31013         
          27.80                     60353                    0.19243                   1.31130         
          27.90                     60305                    0.19420                   1.31088         
          28.00                     60136                    0.19375                   1.31580         
          28.10                     60200                    0.19311                   1.31598         
          28.20                     60267                    0.19319                   1.31900         
          28.30                     60280                    0.19334                   1.32172         
          28.40                     60343                    0.19191                   1.32438         
          28.50                     60472                    0.19128                   1.32644         
          28.60                     60565                    0.18955                   1.32372         
          28.70                     60618                    0.19000                   1.32393         
          28.80                     60718                    0.18811                   1.32616         
          28.90                     60845                    0.18695                   1.32509         
          29.00                     60834                    0.18691                   1.32458         
          29.10                     60694                    0.18987                   1.32424         
          29.20                     60644                    0.19064                   1.32582         
          29.30                     60681                    0.19015                   1.32430         
          29.40                     60806                    0.19200                   1.32295         
          29.50                     60828                    0.19211                   1.32526         
          29.60                     60872                    0.19242                   1.32484         
