           tauB                     NinLC                      phiL          
           0.00                     22505                    0.50870                   1.72900         
           0.10                     23764                    0.48881                   1.91965         
           0.20                     25645                    0.47393                   1.98244         
           0.30                     27397                    0.46365                   2.01789         
           0.40                     29020                    0.45662                   2.04150         
           0.50                     30898                    0.44818                   2.05644         
           0.60                     32897                    0.43951                   2.06503         
           0.70                     34871                    0.43093                   2.07847         
           0.80                     36738                    0.42145                   2.09107         
           0.90                     38768                    0.41220                   2.10014         
           1.00                     40834                    0.40284                   2.10528         
           1.10                     42894                    0.39229                   2.11470         
           1.20                     44957                    0.38225                   2.11756         
           1.30                     46984                    0.37200                   2.11945         
           1.40                     48991                    0.36204                   2.11211         
           1.50                     50999                    0.35152                   2.11143         
           1.60                     53150                    0.33936                   2.10860         
           1.70                     55009                    0.32908                   2.11626         
           1.80                     57081                    0.31725                   2.11474         
           1.90                     58822                    0.30763                   2.11384         
           2.00                     60827                    0.29572                   2.10433         
           2.10                     62553                    0.28611                   2.10255         
           2.20                     64254                    0.27555                   2.09804         
           2.30                     65919                    0.26534                   2.09222         
           2.40                     67447                    0.25675                   2.09031         
           2.50                     68847                    0.24695                   2.08320         
           2.60                     70191                    0.23934                   2.07602         
           2.70                     71604                    0.22959                   2.07057         
           2.80                     72802                    0.22355                   2.06341         
           2.90                     73983                    0.21562                   2.05468         
           3.00                     74819                    0.21074                   2.05130         
           3.10                     75834                    0.20424                   2.04491         
           3.20                     76755                    0.19837                   2.04046         
           3.30                     77789                    0.19075                   2.03317         
           3.40                     78672                    0.18622                   2.02636         
           3.50                     79328                    0.18178                   2.02200         
           3.60                     79937                    0.17855                   2.01935         
           3.70                     80362                    0.17607                   2.01479         
           3.80                     80563                    0.17649                   2.01038         
           3.90                     80511                    0.17554                   2.01555         
           4.00                     80544                    0.17599                   2.01883         
           4.10                     80691                    0.17411                   2.01748         
           4.20                     80756                    0.17342                   2.01570         
           4.30                     80933                    0.17206                   2.01081         
           4.40                     80731                    0.17507                   2.00757         
           4.50                     80754                    0.17455                   2.00309         
           4.60                     80486                    0.17698                   2.00406         
           4.70                     80251                    0.17925                   2.00633         
           4.80                     80114                    0.18053                   2.00916         
           4.90                     79800                    0.18067                   2.01294         
           5.00                     79570                    0.18284                   2.01494         
           5.10                     79556                    0.18207                   2.01219         
           5.20                     79567                    0.18280                   2.01121         
           5.30                     79607                    0.18213                   2.00885         
           5.40                     79462                    0.18356                   2.01093         
           5.50                     79448                    0.18201                   2.00862         
           5.60                     79095                    0.18727                   2.01205         
           5.70                     78885                    0.18761                   2.01541         
           5.80                     79073                    0.18484                   2.01056         
           5.90                     79075                    0.18595                   2.01032         
           6.00                     79121                    0.18516                   2.01088         
           6.10                     79075                    0.18463                   2.01196         
           6.20                     79125                    0.18519                   2.01166         
           6.30                     79321                    0.18248                   2.01100         
           6.40                     79521                    0.18206                   2.00885         
           6.50                     79680                    0.18144                   2.01020         
           6.60                     79863                    0.17902                   2.00572         
           6.70                     79892                    0.17974                   2.00647         
           6.80                     79839                    0.18062                   2.00750         
           6.90                     80044                    0.17940                   2.00577         
           7.00                     80351                    0.17709                   2.00248         
           7.10                     80392                    0.17706                   1.99839         
           7.20                     80143                    0.18086                   1.99929         
           7.30                     80141                    0.17851                   2.00036         
           7.40                     79931                    0.18273                   2.00899         
           7.50                     79721                    0.18289                   2.01314         
           7.60                     79588                    0.18343                   2.01343         
           7.70                     79611                    0.18298                   2.00957         
           7.80                     79823                    0.18062                   2.00242         
           7.90                     79796                    0.18129                   2.00093         
           8.00                     79693                    0.18234                   2.00450         
           8.10                     79773                    0.17976                   2.00505         
           8.20                     79871                    0.18015                   2.00515         
           8.30                     79928                    0.18102                   2.00764         
           8.40                     79865                    0.17933                   2.00946         
           8.50                     79785                    0.18106                   2.00925         
           8.60                     79514                    0.18396                   2.00975         
           8.70                     79379                    0.18437                   2.00961         
           8.80                     79280                    0.18463                   2.01192         
           8.90                     79206                    0.18480                   2.01513         
           9.00                     79068                    0.18596                   2.01644         
           9.10                     79032                    0.18591                   2.01487         
           9.20                     79114                    0.18437                   2.01286         
           9.30                     79069                    0.18617                   2.01138         
           9.40                     79053                    0.18510                   2.01088         
           9.50                     78959                    0.18614                   2.01549         
           9.60                     78941                    0.18552                   2.01566         
           9.70                     79125                    0.18530                   2.01473         
           9.80                     79364                    0.18338                   2.01307         
           9.90                     79072                    0.18630                   2.01962         
          10.00                     79033                    0.18480                   2.02002         
          10.10                     79066                    0.18574                   2.01774         
          10.20                     79101                    0.18510                   2.01449         
          10.30                     79092                    0.18612                   2.01158         
          10.40                     79210                    0.18490                   2.00720         
          10.50                     79494                    0.18314                   2.00424         
          10.60                     79584                    0.18246                   2.00358         
          10.70                     79683                    0.18296                   2.00383         
          10.80                     79910                    0.17983                   2.00400         
          10.90                     80043                    0.17977                   2.00101         
          11.00                     80038                    0.17961                   1.99821         
          11.10                     80024                    0.18037                   1.99666         
          11.20                     80052                    0.17921                   1.99845         
          11.30                     80038                    0.17907                   1.99926         
          11.40                     79832                    0.18176                   2.00128         
          11.50                     79905                    0.18142                   1.99926         
          11.60                     79961                    0.18001                   1.99896         
          11.70                     79665                    0.18344                   2.00560         
          11.80                     79416                    0.18473                   2.01425         
          11.90                     79438                    0.18290                   2.00893         
          12.00                     79425                    0.18346                   2.00334         
          12.10                     79612                    0.18123                   1.99890         
          12.20                     79662                    0.18225                   1.99479         
          12.30                     79661                    0.18320                   1.98746         
          12.40                     79441                    0.18573                   1.98936         
          12.50                     79390                    0.18347                   1.99129         
          12.60                     79235                    0.18585                   1.99448         
          12.70                     79171                    0.18647                   1.99984         
          12.80                     79169                    0.18590                   2.00339         
          12.90                     79302                    0.18433                   1.99835         
          13.00                     79163                    0.18512                   1.99619         
          13.10                     79016                    0.18717                   1.99406         
          13.20                     78975                    0.18650                   1.99622         
          13.30                     78818                    0.18795                   1.99855         
          13.40                     78495                    0.19176                   2.00087         
          13.50                     78258                    0.19282                   2.00600         
          13.60                     78162                    0.19143                   2.00762         
          13.70                     77931                    0.19410                   2.01261         
          13.80                     77973                    0.19293                   2.01063         
          13.90                     78168                    0.19145                   2.00643         
          14.00                     78047                    0.19310                   2.00341         
          14.10                     78133                    0.19169                   2.00251         
          14.20                     77949                    0.19363                   2.00162         
          14.30                     77929                    0.19281                   2.00130         
          14.40                     77922                    0.19334                   2.00225         
          14.50                     77842                    0.19325                   2.01085         
          14.60                     78003                    0.19184                   2.01145         
          14.70                     78095                    0.19080                   2.01480         
          14.80                     78397                    0.18937                   2.01985         
          14.90                     78561                    0.18871                   2.02216         
          15.00                     78830                    0.18591                   2.01791         
          15.10                     78944                    0.18654                   2.01398         
          15.20                     79079                    0.18587                   2.01310         
          15.30                     79235                    0.18466                   2.01238         
          15.40                     79169                    0.18637                   2.01310         
          15.50                     79400                    0.18308                   2.00836         
          15.60                     79562                    0.18114                   2.01092         
          15.70                     79788                    0.17937                   2.01000         
          15.80                     79698                    0.18108                   2.01110         
          15.90                     79809                    0.17943                   2.01089         
          16.00                     79769                    0.18174                   2.00634         
          16.10                     79846                    0.18137                   2.00806         
          16.20                     80033                    0.18087                   2.00737         
          16.30                     80202                    0.17823                   2.00252         
          16.40                     80229                    0.17908                   2.00232         
          16.50                     80056                    0.17928                   2.00975         
          16.60                     80076                    0.17866                   2.01231         
          16.70                     80221                    0.17680                   2.00914         
