           tauB                     NinLC                      phiL          
           0.00                     12741                    0.55715                   1.40174         
           0.10                     13071                    0.54350                   1.44485         
           0.20                     13962                    0.53814                   1.43340         
           0.30                     14912                    0.53433                   1.40253         
           0.40                     14856                    0.53604                   1.42211         
           0.50                     15531                    0.53646                   1.39903         
           0.60                     16215                    0.53358                   1.37507         
           0.70                     17873                    0.53346                   1.31081         
           0.80                     17714                    0.53323                   1.32368         
           0.90                     18017                    0.53442                   1.32066         
           1.00                     17917                    0.53199                   1.33614         
           1.10                     18383                    0.53390                   1.32474         
           1.20                     17928                    0.53386                   1.34338         
           1.30                     18935                    0.53271                   1.30560         
           1.40                     19295                    0.53051                   1.29519         
           1.50                     19262                    0.53338                   1.30027         
           1.60                     18291                    0.53199                   1.34993         
           1.70                     19766                    0.53194                   1.30031         
           1.80                     20459                    0.52881                   1.28298         
           1.90                     19669                    0.52774                   1.32202         
           2.00                     19927                    0.52792                   1.32034         
           2.10                     20733                    0.52842                   1.29795         
           2.20                     20100                    0.52672                   1.32710         
           2.30                     20337                    0.52729                   1.32300         
           2.40                     21274                    0.52755                   1.29229         
           2.50                     22025                    0.52613                   1.27118         
           2.60                     22217                    0.52615                   1.26601         
           2.70                     22507                    0.52659                   1.25727         
           2.80                     22116                    0.52517                   1.26953         
           2.90                     21798                    0.52424                   1.28390         
           3.00                     22621                    0.52337                   1.26116         
           3.10                     22506                    0.52221                   1.26703         
           3.20                     23942                    0.52353                   1.22758         
           3.30                     24528                    0.52488                   1.21405         
           3.40                     23249                    0.52474                   1.25050         
           3.50                     23209                    0.52387                   1.25707         
           3.60                     23235                    0.52142                   1.25947         
           3.70                     23133                    0.52069                   1.26792         
           3.80                     23621                    0.51999                   1.25851         
           3.90                     23964                    0.52198                   1.25041         
           4.00                     24139                    0.52111                   1.24804         
           4.10                     24756                    0.52193                   1.23548         
           4.20                     23540                    0.52316                   1.27521         
           4.30                     23272                    0.51955                   1.28311         
           4.40                     25318                    0.52057                   1.22692         
           4.50                     24240                    0.52002                   1.26095         
           4.60                     25070                    0.51856                   1.24225         
           4.70                     24536                    0.51861                   1.25931         
           4.80                     26743                    0.51810                   1.20061         
           4.90                     26981                    0.51823                   1.19341         
           5.00                     26121                    0.51880                   1.21486         
           5.10                     26254                    0.51994                   1.21110         
           5.20                     26400                    0.51902                   1.20222         
           5.30                     26720                    0.51834                   1.19116         
           5.40                     27694                    0.51972                   1.16499         
           5.50                     28642                    0.51907                   1.14151         
           5.60                     27464                    0.51904                   1.16497         
           5.70                     28143                    0.51847                   1.14707         
           5.80                     29013                    0.51953                   1.12299         
           5.90                     28194                    0.51893                   1.13764         
           6.00                     27895                    0.51826                   1.14258         
           6.10                     28974                    0.51981                   1.11861         
           6.20                     28858                    0.51985                   1.11948         
           6.30                     29097                    0.51880                   1.11489         
           6.40                     29743                    0.51948                   1.09842         
           6.50                     32291                    0.52003                   1.05405         
           6.60                     30225                    0.51863                   1.08469         
           6.70                     30134                    0.52175                   1.08312         
           6.80                     31488                    0.51959                   1.06497         
           6.90                     31044                    0.52182                   1.06971         
           7.00                     30005                    0.52009                   1.08493         
           7.10                     30669                    0.52217                   1.06877         
           7.20                     28790                    0.52207                   1.10175         
           7.30                     29994                    0.52274                   1.08032         
           7.40                     28428                    0.52219                   1.10884         
           7.50                     29139                    0.52249                   1.09514         
           7.60                     29086                    0.52428                   1.09220         
           7.70                     31736                    0.52354                   1.04920         
           7.80                     29024                    0.52320                   1.09262         
           7.90                     29504                    0.52464                   1.08183         
           8.00                     29965                    0.52454                   1.07095         
           8.10                     29431                    0.52484                   1.08066         
           8.20                     31053                    0.52329                   1.05651         
           8.30                     30947                    0.52377                   1.05644         
           8.40                     30705                    0.52321                   1.06019         
           8.50                     31393                    0.52439                   1.05033         
           8.60                     30936                    0.52286                   1.05875         
           8.70                     31652                    0.52382                   1.05153         
           8.80                     29904                    0.52415                   1.08146         
           8.90                     31824                    0.52494                   1.04837         
           9.00                     31677                    0.52405                   1.04981         
           9.10                     33037                    0.52343                   1.02846         
           9.20                     29919                    0.52521                   1.07205         
           9.30                     29485                    0.52566                   1.08364         
           9.40                     31016                    0.52444                   1.05953         
           9.50                     30978                    0.52237                   1.06323         
           9.60                     32579                    0.52242                   1.04270         
           9.70                     31593                    0.52130                   1.05885         
           9.80                     32781                    0.52294                   1.04365         
           9.90                     31256                    0.52178                   1.06755         
          10.00                     30759                    0.52302                   1.07564         
          10.10                     33492                    0.52190                   1.03721         
          10.20                     34185                    0.52302                   1.02786         
          10.30                     32246                    0.52045                   1.05940         
          10.40                     32810                    0.52119                   1.04999         
          10.50                     31398                    0.52082                   1.06751         
          10.60                     33074                    0.51911                   1.04185         
          10.70                     29621                    0.52007                   1.09483         
          10.80                     29689                    0.52185                   1.08860         
          10.90                     31792                    0.52218                   1.05577         
          11.00                     32510                    0.52101                   1.04486         
          11.10                     32222                    0.52037                   1.04574         
          11.20                     36063                    0.52118                   0.99606         
          11.30                     34583                    0.52202                   1.01219         
          11.40                     35865                    0.52207                   0.99576         
          11.50                     32704                    0.52121                   1.03059         
          11.60                     31674                    0.52227                   1.04883         
          11.70                     35403                    0.52357                   1.00253         
          11.80                     29612                    0.52295                   1.08408         
          11.90                     32055                    0.52005                   1.04979         
          12.00                     31901                    0.52273                   1.04888         
          12.10                     31144                    0.52174                   1.05886         
          12.20                     31808                    0.52068                   1.05287         
          12.30                     30283                    0.52479                   1.07227         
          12.40                     32710                    0.52351                   1.03628         
          12.50                     33144                    0.52233                   1.02583         
          12.60                     30539                    0.52283                   1.06564         
          12.70                     32304                    0.52445                   1.03678         
          12.80                     34487                    0.52313                   1.00393         
          12.90                     31770                    0.52271                   1.03540         
          13.00                     34590                    0.52390                   0.99533         
          13.10                     31112                    0.52372                   1.03673         
          13.20                     33538                    0.52441                   1.00299         
          13.30                     37704                    0.52343                   0.95530         
          13.40                     33372                    0.52413                   1.00150         
          13.50                     34474                    0.52620                   0.98573         
          13.60                     35305                    0.52686                   0.97346         
          13.70                     35051                    0.52479                   0.97664         
          13.80                     33794                    0.52453                   0.99098         
          13.90                     34329                    0.52435                   0.98337         
          14.00                     34341                    0.52671                   0.97900         
          14.10                     34174                    0.52491                   0.97953         
          14.20                     34303                    0.52471                   0.97557         
          14.30                     34474                    0.52488                   0.97065         
          14.40                     36683                    0.52627                   0.94683         
          14.50                     35867                    0.52756                   0.95341         
          14.60                     35388                    0.52754                   0.95803         
          14.70                     32320                    0.52891                   0.99721         
          14.80                     35097                    0.52909                   0.96701         
          14.90                     34254                    0.52949                   0.97657         
          15.00                     34843                    0.52781                   0.96428         
          15.10                     34115                    0.52930                   0.97450         
          15.20                     35436                    0.52886                   0.96131         
          15.30                     35155                    0.52934                   0.96833         
          15.40                     37024                    0.52897                   0.94832         
          15.50                     33825                    0.52865                   0.98195         
          15.60                     34866                    0.52909                   0.96790         
          15.70                     34283                    0.52807                   0.97601         
          15.80                     29770                    0.53016                   1.02892         
          15.90                     34315                    0.52590                   0.97529         
          16.00                     33724                    0.52598                   0.97735         
          16.10                     33697                    0.52777                   0.97804         
          16.20                     35156                    0.52800                   0.95904         
          16.30                     33843                    0.52798                   0.97414         
          16.40                     31613                    0.52775                   0.99912         
          16.50                     34835                    0.52745                   0.95941         
          16.60                     35352                    0.52628                   0.95536         
          16.70                     29271                    0.52493                   1.02593         
          16.80                     34207                    0.52675                   0.96328         
          16.90                     35436                    0.52916                   0.94423         
          17.00                     35710                    0.52620                   0.94115         
          17.10                     29972                    0.52717                   1.00072         
          17.20                     34218                    0.52610                   0.95369         
          17.30                     36907                    0.52728                   0.92465         
          17.40                     37535                    0.52769                   0.91630         
          17.50                     33701                    0.52822                   0.94861         
          17.60                     36729                    0.52947                   0.91890         
          17.70                     33223                    0.52846                   0.95024         
          17.80                     28895                    0.53140                   1.00011         
          17.90                     35128                    0.53120                   0.92553         
          18.00                     34062                    0.53074                   0.93693         
          18.10                     34215                    0.53148                   0.93339         
          18.20                     36377                    0.53282                   0.90718         
          18.30                     35591                    0.53293                   0.91074         
          18.40                     36934                    0.53579                   0.89425         
          18.50                     32360                    0.53720                   0.93425         
          18.60                     34349                    0.53401                   0.91037         
          18.70                     36584                    0.53429                   0.88965         
          18.80                     36575                    0.53339                   0.89276         
          18.90                     35953                    0.53439                   0.89209         
          19.00                     37019                    0.53434                   0.88214         
          19.10                     36852                    0.53319                   0.88029         
          19.20                     39488                    0.53506                   0.85846         
          19.30                     38162                    0.53560                   0.86334         
          19.40                     37563                    0.53746                   0.86259         
          19.50                     39346                    0.53552                   0.85105         
          19.60                     38190                    0.53552                   0.85779         
          19.70                     40217                    0.53508                   0.83933         
          19.80                     39284                    0.53553                   0.84234         
          19.90                     40125                    0.53851                   0.83555         
          20.00                     39791                    0.53880                   0.83895         
          20.10                     39453                    0.53874                   0.83744         
          20.20                     38920                    0.53913                   0.84186         
          20.30                     39540                    0.53970                   0.83474         
          20.40                     37903                    0.54035                   0.83986         
          20.50                     40467                    0.53885                   0.82354         
          20.60                     39226                    0.53921                   0.82867         
          20.70                     40173                    0.53992                   0.81842         
          20.80                     38573                    0.53779                   0.82609         
          20.90                     38160                    0.53850                   0.82261         
          21.00                     41262                    0.54057                   0.80179         
          21.10                     39903                    0.54317                   0.80772         
          21.20                     41027                    0.54186                   0.79680         
          21.30                     40283                    0.54133                   0.79917         
          21.40                     38037                    0.54317                   0.81139         
          21.50                     38845                    0.54152                   0.81036         
          21.60                     38883                    0.54045                   0.80826         
          21.70                     40795                    0.54068                   0.79727         
          21.80                     39405                    0.54447                   0.79835         
          21.90                     40071                    0.54451                   0.79203         
          22.00                     34915                    0.54476                   0.81693         
          22.10                     41913                    0.54292                   0.77913         
          22.20                     44084                    0.54405                   0.76855         
          22.30                     41327                    0.54462                   0.77872         
          22.40                     41057                    0.54672                   0.77628         
          22.50                     38810                    0.54507                   0.78022         
          22.60                     41297                    0.54741                   0.76827         
          22.70                     40547                    0.54426                   0.76823         
          22.80                     44000                    0.54520                   0.75237         
          22.90                     40992                    0.54790                   0.76078         
