           tauB                     NinLC                      phiL          
          14.40                     37429                    0.52405                   0.95660         
          14.50                     35830                    0.52573                   0.96893         
          14.60                     35888                    0.52598                   0.96247         
          14.70                     36834                    0.52550                   0.94829         
          14.80                     39197                    0.52824                   0.91854         
          14.90                     36541                    0.52826                   0.94316         
          15.00                     32263                    0.52845                   0.98945         
          15.10                     37458                    0.52882                   0.93600         
          15.20                     37694                    0.52815                   0.93455         
          15.30                     38620                    0.52915                   0.92495         
          15.40                     35504                    0.53059                   0.95573         
          15.50                     36062                    0.52988                   0.94779         
          15.60                     35606                    0.52902                   0.95195         
          15.70                     35901                    0.53119                   0.94720         
          15.80                     36770                    0.52722                   0.93984         
          15.90                     35338                    0.52911                   0.95474         
          16.00                     31676                    0.53020                   0.99352         
          16.10                     34868                    0.53069                   0.95579         
          16.20                     40641                    0.53131                   0.89888         
          16.30                     37582                    0.52977                   0.92533         
          16.40                     34969                    0.52798                   0.95164         
          16.50                     34135                    0.52998                   0.95691         
          16.60                     36603                    0.52993                   0.93072         
          16.70                     34528                    0.53154                   0.94798         
          16.80                     36494                    0.53079                   0.92512         
          16.90                     36951                    0.53270                   0.91812         
          17.00                     33634                    0.53336                   0.94170         
          17.10                     32238                    0.53363                   0.95216         
          17.20                     33815                    0.53346                   0.93500         
          17.30                     34223                    0.53338                   0.93272         
          17.40                     33410                    0.53462                   0.93707         
          17.50                     37341                    0.53525                   0.89574         
          17.60                     34009                    0.53514                   0.91670         
          17.70                     35179                    0.53527                   0.90078         
          17.80                     37428                    0.53560                   0.88143         
          17.90                     36906                    0.53608                   0.88535         
          18.00                     38756                    0.53400                   0.86631         
          18.10                     39085                    0.53633                   0.86386         
          18.20                     36112                    0.53621                   0.88042         
          18.30                     39955                    0.53577                   0.85140         
          18.40                     41350                    0.53698                   0.84006         
          18.50                     37018                    0.53773                   0.86660         
          18.60                     39673                    0.53953                   0.84717         
          18.70                     34915                    0.53620                   0.87749         
          18.80                     37690                    0.53762                   0.85122         
          18.90                     37553                    0.53980                   0.85292         
          19.00                     36121                    0.54097                   0.86255         
          19.10                     36291                    0.54001                   0.86165         
          19.20                     39816                    0.54417                   0.83669         
          19.30                     37884                    0.54180                   0.84479         
          19.40                     35481                    0.54228                   0.86092         
          19.50                     32852                    0.54373                   0.87385         
          19.60                     37271                    0.54478                   0.84161         
          19.70                     36859                    0.54436                   0.84208         
          19.80                     39315                    0.54352                   0.82373         
          19.90                     38064                    0.54296                   0.82741         
          20.00                     31783                    0.54604                   0.86831         
          20.10                     32698                    0.54395                   0.85116         
          20.20                     38533                    0.54500                   0.81760         
          20.30                     39879                    0.54582                   0.80593         
          20.40                     41641                    0.54878                   0.79679         
          20.50                     40255                    0.54529                   0.80382         
          20.60                     38777                    0.54576                   0.81446         
          20.70                     40637                    0.54398                   0.79995         
          20.80                     42753                    0.54544                   0.78817         
          20.90                     37896                    0.54572                   0.80933         
          21.00                     39198                    0.54646                   0.80089         
          21.10                     41364                    0.54763                   0.78835         
          21.20                     36045                    0.54676                   0.81716         
          21.30                     38436                    0.54781                   0.79874         
          21.40                     37659                    0.54757                   0.80086         
          21.50                     43575                    0.54836                   0.76903         
          21.60                     40073                    0.55022                   0.78282         
          21.70                     43198                    0.55226                   0.76478         
          21.80                     38596                    0.54932                   0.78241         
          21.90                     42145                    0.55076                   0.76543         
          22.00                     42191                    0.55129                   0.76294         
          22.10                     41120                    0.55120                   0.76551         
          22.20                     37620                    0.55421                   0.77693         
          22.30                     31036                    0.55505                   0.80247         
          22.40                     43803                    0.55395                   0.74525         
          22.50                     39842                    0.55553                   0.75566         
          22.60                     39562                    0.55344                   0.75413         
          22.70                     38687                    0.55516                   0.75284         
          22.80                     40004                    0.55758                   0.74758         
          22.90                     40647                    0.55647                   0.74056         
          23.00                     43843                    0.55586                   0.72604         
          23.10                     43117                    0.55710                   0.72871         
          23.20                     39756                    0.55715                   0.73701         
          23.30                     40935                    0.55562                   0.72838         
          23.40                     40062                    0.55633                   0.72978         
          23.50                     42586                    0.55737                   0.72396         
          23.60                     44399                    0.55876                   0.71446         
          23.70                     38241                    0.55898                   0.72865         
          23.80                     39810                    0.56084                   0.72280         
          23.90                     43022                    0.56008                   0.71210         
          24.00                     41258                    0.55900                   0.71298         
          24.10                     44673                    0.55819                   0.70117         
          24.20                     39326                    0.55995                   0.71229         
          24.30                     40362                    0.56109                   0.70702         
          24.40                     45809                    0.56218                   0.68969         
          24.50                     45833                    0.56184                   0.68610         
          24.60                     42499                    0.56402                   0.69018         
          24.70                     41622                    0.56293                   0.68877         
          24.80                     42396                    0.56256                   0.68602         
          24.90                     38057                    0.56345                   0.69085         
          25.00                     48068                    0.56522                   0.66985         
          25.10                     43131                    0.56496                   0.67707         
          25.20                     49513                    0.56365                   0.66269         
          25.30                     45827                    0.56674                   0.66694         
          25.40                     42565                    0.56534                   0.67260         
          25.50                     48211                    0.56623                   0.66121         
          25.60                     52487                    0.56205                   0.65649         
          25.70                     46451                    0.56080                   0.66606         
          25.80                     47034                    0.56047                   0.66636         
          25.90                     47566                    0.56194                   0.66298         
          26.00                     50307                    0.56052                   0.65865         
          26.10                     47031                    0.56385                   0.66158         
          26.20                     43146                    0.56099                   0.66623         
          26.30                     50743                    0.56188                   0.65655         
          26.40                     46049                    0.56486                   0.65921         
          26.50                     45953                    0.56251                   0.65775         
          26.60                     45163                    0.56495                   0.65948         
          26.70                     46333                    0.56737                   0.65488         
          26.80                     49610                    0.56371                   0.65181         
          26.90                     46602                    0.56482                   0.65205         
          27.00                     55168                    0.56634                   0.64418         
          27.10                     53573                    0.56656                   0.64576         
          27.20                     51775                    0.56782                   0.64610         
          27.30                     45136                    0.56732                   0.65281         
          27.40                     51489                    0.56695                   0.64577         
          27.50                     48093                    0.56824                   0.64673         
          27.60                     50287                    0.56657                   0.64853         
          27.70                     54375                    0.56538                   0.64281         
          27.80                     61345                    0.56589                   0.64001         
          27.90                     43040                    0.56731                   0.65085         
          28.00                     47858                    0.56929                   0.64990         
          28.10                     24193                    0.56856                   0.65876         
          28.20                     46161                    0.56759                   0.64689         
          28.30                     46713                    0.56654                   0.64672         
          28.40                     54876                    0.57280                   0.63726         
          28.50                     44781                    0.57110                   0.64815         
          28.60                     57156                    0.56938                   0.63839         
          28.70                     50715                    0.56939                   0.64353         
          28.80                     52510                    0.56800                   0.64176         
          28.90                     52791                    0.57075                   0.64103         
          29.00                     52829                    0.57235                   0.64134         
          29.10                     58657                    0.57340                   0.63548         
          29.20                     54127                    0.57012                   0.63736         
          29.30                     46961                    0.57035                   0.64201         
          29.40                     45305                    0.57554                   0.64001         
          29.50                     50458                    0.57357                   0.63707         
          29.60                     44995                    0.57337                   0.63831         
          29.70                     56532                    0.57462                   0.63111         
          29.80                     44987                    0.57562                   0.63817         
          29.90                     57050                    0.57363                   0.63104         
          30.00                     32402                    0.57465                   0.63809         
          30.10                     63693                    0.57490                   0.62725         
          30.20                     50025                    0.57417                   0.63498         
          30.30                     63059                    0.57353                   0.62821         
          30.40                     53739                    0.57714                   0.63391         
          30.50                     24461                    0.57582                   0.63888         
          30.60                     46190                    0.57765                   0.63129         
          30.70                     41707                    0.57624                   0.63512         
          30.80                     37348                    0.57667                   0.63418         
