           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
         1.124668                    1169                  2720.174758              -24000.180617                -24647.7                 9157420.9        
         2.249336                    3538                  8233.093494              -22480.061916                -42493.9                 14223664.7       
         3.374004                    5861                  13636.487797              28162.279497                77570.2                 -34301474.2       
         4.498672                    8252                  19196.452590              -9760.076893                -76573.3                 17261321.4       
         5.623340                   10573                  24591.775304             -84878.686713               -425724.5                210552094.0       
         6.748008                   12925                  30056.371470             -61167.410227               -499181.8                193265502.7       
         7.872676                   15267                  35496.992806              -7653.400685                103727.8                 33598670.7       
         8.997344                   17655                  41036.230705              60434.104007                459924.6                -259717756.1      
        10.122012                   20070                  46635.893364              37296.815720                638130.7                -174085481.7      
        11.246680                   22310                  51823.110710              96240.798786                568920.0                -501536193.8      
        12.371348                   24669                  57280.303421              86362.851455               1106419.4                -511070471.9      
        13.496016                   26968                  62587.592925              43193.358708                299329.8                -278649516.9      
        14.620684                   29330                  68040.795977             190695.378541               2758877.2               -1327571708.4      
        15.745352                   31621                  73319.718300              61278.102266                466888.7                -466208134.4      
        16.870020                   34056                  78927.388691             250024.905851               5868121.5               -2058716510.8      
        17.994688                   36244                  83962.213910             187684.050193               4382663.9               -1635216002.3      
        19.119356                   38626                  89425.631139             235561.880236               2558665.2               -2207662746.5      
        20.244024                   40945                  94734.289972             105927.032844               3249357.6               -1042591961.0      
        21.368692                   43135                  99755.608185             222177.214591               4534163.4               -2319567822.8      
        22.493360                   45519                 105203.095697             112474.779614               2604273.3               -1233531274.2      
        23.618028                   47878                 110582.589731             193968.078110               4827924.7               -2235639902.7      
        24.742696                   50066                 115559.817971             255705.007350               6900377.2               -3091011959.2      
        25.867364                   52476                 121042.433256             146962.958676               3187259.7               -1869295856.7      
        26.992032                   54741                 126182.297374             235015.509431               5067086.5               -3130171252.6      
        28.116700                   56956                 131216.674794             366162.139028               11700023.8              -5015525711.1      
        29.241368                   59261                 136429.744264              45532.696278               3763629.3                -651110276.0      
        30.366036                   61581                 141667.398086             150473.775004               1833921.7               -2233405716.0      
        31.490704                   63912                 146887.125128             356752.306972               12013593.7              -5545723834.2      
        32.615372                   66140                 151837.838427             480460.773850               12576461.7              -7703836219.7      
        33.740040                   68272                 156569.102638             249202.985464               11999706.2              -4117997662.7      
        34.864708                   70744                 162060.303756             513652.121787               20581984.4              -8822455469.3      
        35.989376                   72772                 166529.230765             432392.179984               11820576.9              -7646359380.1      
        37.114044                   74909                 171284.315659             453762.583472               18768922.2              -8278852723.6      
        38.238712                   77053                 176093.201533             842442.798437               34134932.1              -15871010970.6     
        39.363380                   79186                 180873.432764             796554.459626               29478029.8              -15415137288.2     
        40.488048                   81113                 185151.820869             510786.087709               19376521.1              -10200837490.2     
        41.612716                   83379                 190222.857852             614373.303858               25951573.1              -12617261212.8     
        42.737384                   85332                 194554.248076             555364.335732               21832446.8              -11722134263.8     
        43.862052                   87475                 199258.939887             526446.717163               29213498.6              -11390437285.8     
        44.986720                   89601                 203913.448791             443858.717214               20525136.9              -9813382072.7      
        46.111388                   91666                 208402.770003             574617.136354               26251159.9              -13092545372.3     
        47.236056                   93996                 213470.738100             667688.146133               32177872.4              -15562440359.5     
        48.360724                   95911                 217675.812313             614067.385128               31775112.3              -14715062111.2     
        49.485392                   97949                 222247.534687             583384.110594               27577021.7              -14258472798.8     
        50.610060                   99960                 226720.769269             921147.851837               49788371.5              -23047186942.7     
        51.734728                   101877                230948.423789             817866.907371               41619284.4              -20894356181.0     
        52.859396                   103758                235137.042056             851580.221871               45917046.9              -22262571942.4     
        53.984064                   105636                239294.743327             1089633.248701              66805344.1              -29101983349.5     
        55.108732                   107574                243529.018695             1053713.319647              60707030.9              -28758307678.3     
        56.233400                   109282                247172.371052             1272375.698048              66562098.6              -35407559108.0     
