 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         13089.988            107076.517             8.180                0.000                0.000                0.000                0.000                 0.0                   7          
  0.100         13089.988           2071014.293            158.214               0.000                0.000                0.000                0.000                 0.0                  1202        
  0.200         13089.988           2159541.079            164.977               0.000                0.000                0.000                0.000                 0.0                  1363        
  0.300         13089.988           2142104.730            163.645               0.000                0.000                0.000                0.000                 0.0                  2024        
  0.400         13089.988           2224013.931            169.902               0.000                0.000                0.000                0.000                 0.0                  2260        
  0.500         13089.988           2159998.522            165.011               0.000                0.000                0.000                0.000                 0.0                  1974        
  0.600         13089.988           2340222.952            178.780               0.000                0.000                0.000                0.000                 0.0                  1484        
  0.700         13089.988           2366404.742            180.780               0.000                0.000                0.000                0.000                 0.0                  3764        
  0.800         13089.988           2273510.781            173.683               0.000                0.000                0.000                0.000                 0.0                  3545        
  0.900         13089.988           2293482.852            175.209               0.000                0.000                0.000                0.000                 0.0                  3127        
  1.000         13089.988           2464875.335            188.302               0.000                0.000                0.000                0.000                 0.0                  1592        
  1.100         13089.988           2715169.529            207.423               0.000                0.000                0.000                0.000                 0.0                  3158        
  1.200         13089.988           3109729.620            237.565               0.000                0.000                0.000                0.000                 0.0                  2626        
  1.300         13089.988           4129691.246            315.485               0.000                0.000                0.000                0.000                 0.0                  2990        
  1.400         13089.988           5626130.784            429.804               0.000                0.000                0.000                0.000                 0.0                  3271        
  1.500         13089.988           6695815.774            511.522               0.000                0.000                0.000                0.000                 0.0                  3749        
  1.600         13089.988           8012105.908            612.079               0.000                0.000                0.000                0.000                 0.0                  4302        
  1.700         13089.988           9896362.343            756.025               0.000                0.000                0.000                0.000                 0.0                  4810        
  1.800          9145.412            407898.443             44.601              2588.227           10843112.920           4189.398           1549406.467             373.8                 5511        
  1.900          8923.417            333631.502             37.388              2893.630           11830759.631           4088.552           1280360.589             316.0                 5960        
  2.000          8682.174            264746.658             30.493              3131.024           12339505.536           3941.045           1262499.433             322.8                 6390        
  2.100          8501.242            213374.097             25.099              3322.221           12124909.896           3649.639           1137315.481             313.8                 6653        
  2.200          8403.719            185874.161             22.118              3342.753           12400881.575           3709.781           1236491.772             335.3                 6817        
  2.300          8277.964            145889.573             17.624              3530.101           13045788.843           3695.585           1124913.697             305.9                 7141        
  2.400          8203.538            142314.109             17.348              3650.722           13325586.331           3650.123           1086402.461             299.1                 7299        
  2.500          8107.298            118495.995             14.616              3743.113           12915839.002           3450.561           1004185.952             292.3                 7438        
  2.600          8027.739            123097.507             15.334              3762.361           12744333.897           3387.323           1054249.824             312.6                 7449        
  2.700          8052.120            121303.171             15.065              3734.131           13205641.076           3536.470           1124898.613             319.4                 7442        
  2.800          8045.704            120596.140             14.989              3763.644           13533398.704           3595.823           1131713.918             316.0                 7500        
  2.900          8052.120            118226.644             14.683              3761.078           13313578.517           3539.831           1062202.288             301.3                 7449        
  3.000          7995.659            128085.483             16.019              3705.900           12938701.600           3491.379           1220421.082             351.2                 7441        
  3.100          8045.704            133790.800             16.629              3691.785           13047960.991           3534.323           1123713.192             319.4                 7358        
  3.200          8017.474            125602.621             15.666              3671.253           13149106.880           3581.640           1232043.971             345.5                 7394        
  3.300          8126.546            135748.941             16.704              3735.414           12981074.168           3475.137            975499.171             282.1                 7364        
  3.400          8075.218            152665.234             18.905              3639.173           12498892.368           3434.542           1183971.636             346.6                 7308        
