 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  6.800         13089.988           1998997.737            152.712               0.000                0.000                0.000                0.000                 0.0                  4990        
  6.900         13089.988           1938746.132            148.109               0.000                0.000                0.000                0.000                 0.0                  2646        
  7.000         13089.988           1979596.456            151.230               0.000                0.000                0.000                0.000                 0.0                  2781        
  7.100         13089.988           2029602.861            155.050               0.000                0.000                0.000                0.000                 0.0                  1425        
  7.200         13089.988           1986708.404            151.773               0.000                0.000                0.000                0.000                 0.0                  4021        
  7.300         13089.988           1982530.395            151.454               0.000                0.000                0.000                0.000                 0.0                  2099        
  7.400         13089.988           2010862.107            153.618               0.000                0.000                0.000                0.000                 0.0                  2497        
  7.500         13089.988           1982380.803            151.443               0.000                0.000                0.000                0.000                 0.0                  2936        
  7.600         13089.988           1992707.946            152.231               0.000                0.000                0.000                0.000                 0.0                  4758        
  7.700          4616.977            443803.817             96.124              771.207             355043.576            460.374             822758.587             2258.8                5920        
  7.800         13089.988           1949934.625            148.964               0.000                0.000                0.000                0.000                 0.0                  1598        
  7.900         13089.988           2042487.553            156.034               0.000                0.000                0.000                0.000                 0.0                  4735        
  8.000         13089.988           1941849.058            148.346               0.000                0.000                0.000                0.000                 0.0                  2029        
  8.100         13089.988           2010923.209            153.623               0.000                0.000                0.000                0.000                 0.0                  3354        
  8.200         13089.988           1986509.370            151.758               0.000                0.000                0.000                0.000                 0.0                  2048        
  8.300         13089.988           1974557.540            150.845               0.000                0.000                0.000                0.000                 0.0                  1805        
  8.400         13089.988           1955913.071            149.421               0.000                0.000                0.000                0.000                 0.0                  1398        
  8.500         13089.988           1909580.419            145.881               0.000                0.000                0.000                0.000                 0.0                  2145        
  8.600         13089.988           1960581.609            149.777               0.000                0.000                0.000                0.000                 0.0                  1623        
  8.700         13089.988           1943892.608            148.502               0.000                0.000                0.000                0.000                 0.0                  3823        
  8.800         13089.988           1966093.867            150.198               0.000                0.000                0.000                0.000                 0.0                  2865        
  8.900         13089.988           2045888.086            156.294               0.000                0.000                0.000                0.000                 0.0                  2121        
  9.000         13089.988           1958923.653            149.651               0.000                0.000                0.000                0.000                 0.0                  1626        
  9.100         13089.988           1977425.805            151.064               0.000                0.000                0.000                0.000                 0.0                  3872        
  9.200         13089.988           1953632.012            149.246               0.000                0.000                0.000                0.000                 0.0                  2303        
  9.300          5247.031            488792.841             93.156              785.322             332629.421            423.558             662840.700             2006.2                5624        
  9.400         13089.988           2044029.148            156.152               0.000                0.000                0.000                0.000                 0.0                  3749        
  9.500         13089.988           2052358.344            156.788               0.000                0.000                0.000                0.000                 0.0                  3057        
  9.600         13089.988           2041984.290            155.996               0.000                0.000                0.000                0.000                 0.0                  2381        
  9.700         13089.988           2032329.957            155.258               0.000                0.000                0.000                0.000                 0.0                  3167        
  9.800         13089.988           2011648.874            153.678               0.000                0.000                0.000                0.000                 0.0                  3984        
  9.900         13089.988           1969499.145            150.458               0.000                0.000                0.000                0.000                 0.0                  1558        
  10.000        13089.988           1955852.478            149.416               0.000                0.000                0.000                0.000                 0.0                  2107        
  10.100        13089.988           1936062.794            147.904               0.000                0.000                0.000                0.000                 0.0                  1390        
  10.200        13089.988           2038054.656            155.696               0.000                0.000                0.000                0.000                 0.0                  3652        
  10.300        13089.988           1990356.310            152.052               0.000                0.000                0.000                0.000                 0.0                  2236        
  10.400        13089.988           1978756.084            151.166               0.000                0.000                0.000                0.000                 0.0                  1737        
  10.500        13089.988           2005313.055            153.194               0.000                0.000                0.000                0.000                 0.0                  3132        
  10.600        13089.988           1983920.381            151.560               0.000                0.000                0.000                0.000                 0.0                  3107        
  10.700        13089.988           1997581.318            152.604               0.000                0.000                0.000                0.000                 0.0                  2837        
  10.800        13089.988           1947882.942            148.807               0.000                0.000                0.000                0.000                 0.0                  1188        
  10.900        13089.988           1982697.563            151.467               0.000                0.000                0.000                0.000                 0.0                  1582        
  11.000        13089.988           2019380.724            154.269               0.000                0.000                0.000                0.000                 0.0                  1626        
  11.100        13089.988           1991020.867            152.103               0.000                0.000                0.000                0.000                 0.0                  3514        
  11.200        13089.988           1915604.998            146.341               0.000                0.000                0.000                0.000                 0.0                  2187        
