           tauB                     NinLC          
           0.00                     19777          
           0.10                     79700          
           0.20                     65682          
           0.30                     48302          
           0.40                     26803          
           0.50                     31908          
           0.60                     24343          
           0.70                     38274          
           0.80                     25607          
           0.90                     25152          
           1.00                     53485          
           1.10                     27018          
           1.20                     27151          
           1.30                     27528          
           1.40                     28455          
           1.50                     28861          
           1.60                     28164          
           1.70                     29221          
           1.80                     30240          
           1.90                     32618          
           2.00                     32026          
           2.10                     31912          
           2.20                     40973          
           2.30                     31583          
           2.40                     31555          
           2.50                     34859          
           2.60                     34405          
           2.70                     33610          
           2.80                     34075          
           2.90                     35808          
           3.00                     34361          
           3.10                     34723          
           3.20                     36229          
           3.30                     36942          
           3.40                     37010          
           3.50                     35982          
           3.60                     38543          
           3.70                     37498          
           3.80                     38420          
           3.90                     37495          
           4.00                     39017          
           4.10                     38919          
           4.20                     39261          
           4.30                     39941          
           4.40                     39956          
           4.50                     39584          
           4.60                     40326          
           4.70                     41372          
           4.80                     41390          
           4.90                     41308          
           5.00                     41988          
           5.10                     43031          
           5.20                     43017          
           5.30                     44768          
           5.40                     42804          
           5.50                     43526          
           5.60                     44002          
           5.70                     43140          
           5.80                     45638          
           5.90                     44872          
           6.00                     45322          
           6.10                     45994          
           6.20                     45772          
           6.30                     46071          
           6.40                     47368          
           6.50                     47531          
           6.60                     46913          
           6.70                     46474          
           6.80                     46664          
           6.90                     47503          
           7.00                     47882          
           7.10                     47247          
           7.20                     48884          
           7.30                     49574          
           7.40                     48562          
           7.50                     49506          
           7.60                     47600          
           7.70                     47892          
           7.80                     47931          
           7.90                     48715          
           8.00                     49358          
           8.10                     51386          
           8.20                     50221          
           8.30                     52137          
           8.40                     51009          
           8.50                     50973          
           8.60                     50843          
           8.70                     50904          
           8.80                     49430          
           8.90                     49748          
           9.00                     52211          
           9.10                     50045          
           9.20                     50834          
           9.30                     50992          
           9.40                     51028          
           9.50                     52380          
           9.60                     52312          
