           tauB                     NinLC          
           0.00                     19615          
           0.10                     70127          
           0.20                     66291          
           0.30                     48159          
           0.40                     25196          
           0.50                     26171          
           0.60                     24416          
           0.70                     47155          
           0.80                     27549          
           0.90                     26144          
           1.00                     27444          
           1.10                     27409          
           1.20                     27420          
           1.30                     28702          
           1.40                     28281          
           1.50                     28396          
           1.60                     28063          
           1.70                     29400          
           1.80                     33904          
           1.90                     29900          
           2.00                     30843          
           2.10                     32315          
           2.20                     39844          
           2.30                     32605          
           2.40                     33186          
           2.50                     35924          
           2.60                     33885          
           2.70                     34262          
           2.80                     36586          
           2.90                     35122          
           3.00                     35552          
           3.10                     40971          
           3.20                     35230          
           3.30                     35395          
           3.40                     36656          
           3.50                     38290          
           3.60                     37690          
           3.70                     38815          
           3.80                     36846          
           3.90                     36876          
           4.00                     41194          
           4.10                     39277          
           4.20                     43602          
           4.30                     40846          
           4.40                     41168          
           4.50                     40915          
           4.60                     41317          
           4.70                     41140          
           4.80                     41474          
           4.90                     41296          
           5.00                     42185          
           5.10                     41045          
           5.20                     41926          
           5.30                     42580          
           5.40                     43314          
           5.50                     43755          
           5.60                     44425          
           5.70                     43924          
           5.80                     44151          
           5.90                     44501          
           6.00                     45406          
           6.10                     44512          
           6.20                     44571          
           6.30                     46318          
           6.40                     44240          
           6.50                     44930          
           6.60                     45037          
           6.70                     44909          
           6.80                     45721          
           6.90                     45815          
           7.00                     45588          
           7.10                     47291          
           7.20                     46962          
           7.30                     47386          
           7.40                     48106          
           7.50                     47013          
           7.60                     48369          
           7.70                     49609          
           7.80                     47801          
           7.90                     48888          
           8.00                     46631          
           8.10                     49479          
           8.20                     48440          
           8.30                     48144          
           8.40                     48547          
           8.50                     50116          
           8.60                     49717          
           8.70                     47870          
           8.80                     47452          
           8.90                     47894          
           9.00                     50358          
           9.10                     50095          
           9.20                     49306          
           9.30                     49824          
           9.40                     49142          
           9.50                     48952          
           9.60                     49774          
           9.70                     50076          
           9.80                     51035          
           9.90                     51384          
          10.00                     50879          
          10.10                     49453          
          10.20                     50232          
          10.30                     50724          
          10.40                     48509          
          10.50                     52049          
          10.60                     47835          
          10.70                     50371          
          10.80                     49813          
          10.90                     47862          
          11.00                     48968          
          11.10                     47812          
          11.20                     49824          
          11.30                     50084          
          11.40                     50693          
          11.50                     50421          
          11.60                     52691          
          11.70                     50123          
          11.80                     51339          
          11.90                     50592          
          12.00                     50879          
          12.10                     50863          
          12.20                     49936          
          12.30                     50099          
          12.40                     50868          
          12.50                     49538          
          12.60                     49211          
          12.70                     50506          
          12.80                     51344          
          12.90                     51327          
          13.00                     52567          
          13.10                     48616          
          13.20                     51694          
          13.30                     52000          
