           tauB                     NinLC          
           0.00                     19774          
           0.10                     78124          
           0.20                     61344          
           0.30                     55790          
           0.40                     28016          
           0.50                     23864          
           0.60                     39136          
           0.70                     25921          
           0.80                     25602          
           0.90                     27297          
           1.00                     26818          
           1.10                     27716          
           1.20                     59026          
           1.30                     36037          
           1.40                     39792          
           1.50                     28828          
           1.60                     29447          
           1.70                     29580          
           1.80                     30403          
           1.90                     30705          
           2.00                     32367          
           2.10                     31583          
           2.20                     32786          
           2.30                     32168          
           2.40                     33452          
           2.50                     32702          
           2.60                     33443          
           2.70                     34772          
           2.80                     34194          
           2.90                     34868          
           3.00                     34994          
           3.10                     35483          
           3.20                     36393          
           3.30                     36624          
           3.40                     38999          
           3.50                     38213          
           3.60                     39177          
           3.70                     39023          
           3.80                     40150          
           3.90                     38684          
           4.00                     41505          
           4.10                     41288          
           4.20                     41339          
           4.30                     40404          
           4.40                     41540          
           4.50                     41342          
           4.60                     41313          
           4.70                     41526          
           4.80                     41871          
           4.90                     42832          
           5.00                     43244          
           5.10                     44581          
           5.20                     43188          
           5.30                     43459          
           5.40                     44510          
           5.50                     43582          
           5.60                     43991          
           5.70                     45138          
           5.80                     43006          
           5.90                     43970          
           6.00                     45116          
           6.10                     45251          
           6.20                     45686          
           6.30                     45195          
           6.40                     44720          
           6.50                     44862          
           6.60                     44264          
           6.70                     45519          
           6.80                     46161          
           6.90                     46846          
           7.00                     46399          
           7.10                     46594          
           7.20                     46259          
           7.30                     46045          
           7.40                     47412          
           7.50                     45943          
           7.60                     47773          
           7.70                     46880          
           7.80                     48151          
           7.90                     48070          
           8.00                     46683          
           8.10                     48709          
           8.20                     48664          
           8.30                     47612          
           8.40                     47782          
           8.50                     47485          
           8.60                     49017          
           8.70                     48359          
           8.80                     49508          
           8.90                     47388          
           9.00                     49037          
           9.10                     47947          
           9.20                     48585          
           9.30                     48816          
           9.40                     49593          
           9.50                     52050          
           9.60                     50070          
           9.70                     50490          
           9.80                     51001          
           9.90                     49120          
          10.00                     50006          
          10.10                     50623          
          10.20                     49859          
          10.30                     49658          
          10.40                     50428          
          10.50                     51851          
          10.60                     52077          
          10.70                     50761          
          10.80                     52431          
          10.90                     51175          
          11.00                     52303          
          11.10                     50645          
          11.20                     50512          
          11.30                     51201          
          11.40                     51391          
          11.50                     50998          
          11.60                     51022          
