           tauB                     NinLC          
           0.00                     19354          
           0.10                     75588          
           0.20                     74482          
           0.30                     67617          
           0.40                     35421          
           0.50                     31767          
           0.60                     46254          
           0.70                     36090          
           0.80                     28539          
           0.90                     29135          
           1.00                     27618          
           1.10                     49105          
           1.20                     33098          
           1.30                     64995          
           1.40                     29556          
           1.50                     37258          
           1.60                     38399          
           1.70                     30712          
           1.80                     39672          
           1.90                     33051          
           2.00                     33959          
           2.10                     34969          
           2.20                     38595          
           2.30                     52196          
           2.40                     34331          
           2.50                     34685          
           2.60                     40005          
           2.70                     34393          
           2.80                     38746          
           2.90                     41667          
           3.00                     38951          
           3.10                     38200          
           3.20                     36969          
           3.30                     41572          
           3.40                     37720          
           3.50                     38950          
           3.60                     44014          
           3.70                     39468          
           3.80                     39485          
           3.90                     40976          
           4.00                     40672          
           4.10                     41608          
           4.20                     40412          
           4.30                     41447          
           4.40                     40758          
           4.50                     41460          
           4.60                     42044          
           4.70                     42505          
           4.80                     43391          
           4.90                     42529          
           5.00                     41391          
           5.10                     43134          
           5.20                     44959          
           5.30                     44964          
           5.40                     43039          
           5.50                     44114          
           5.60                     43377          
           5.70                     44096          
           5.80                     43437          
           5.90                     45937          
           6.00                     42208          
           6.10                     44871          
           6.20                     43331          
           6.30                     43688          
           6.40                     45325          
           6.50                     45262          
           6.60                     45723          
           6.70                     46808          
           6.80                     47658          
           6.90                     47286          
           7.00                     47182          
           7.10                     47177          
           7.20                     47043          
           7.30                     48170          
           7.40                     48451          
           7.50                     49070          
           7.60                     49977          
           7.70                     50311          
           7.80                     48830          
           7.90                     49293          
           8.00                     49852          
           8.10                     49694          
           8.20                     49588          
           8.30                     51930          
           8.40                     50524          
           8.50                     51753          
           8.60                     52418          
           8.70                     50646          
           8.80                     50989          
           8.90                     50551          
           9.00                     50772          
           9.10                     51458          
           9.20                     51273          
           9.30                     50876          
           9.40                     50790          
           9.50                     52773          
           9.60                     50491          
           9.70                     49947          
           9.80                     51000          
           9.90                     52549          
          10.00                     53009          
          10.10                     51130          
          10.20                     50549          
          10.30                     52761          
          10.40                     50978          
          10.50                     52185          
          10.60                     50628          
          10.70                     51295          
          10.80                     50794          
          10.90                     52787          
          11.00                     51435          
          11.10                     49815          
          11.20                     50657          
          11.30                     51630          
          11.40                     52191          
          11.50                     52372          
          11.60                     50665          
          11.70                     51776          
          11.80                     53935          
