             tauB                            r                             g(r)             
           100.000                         0.103                          0.000             
           100.000                         0.108                          0.000             
           100.000                         0.113                          0.000             
           100.000                         0.118                          0.000             
           100.000                         0.124                          0.000             
           100.000                         0.129                          0.000             
           100.000                         0.134                          0.000             
           100.000                         0.139                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.160                          0.000             
           100.000                         0.166                          0.000             
           100.000                         0.171                          0.000             
           100.000                         0.176                          0.000             
           100.000                         0.181                          0.000             
           100.000                         0.186                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.213                          0.000             
           100.000                         0.218                          0.000             
           100.000                         0.223                          0.000             
           100.000                         0.228                          0.000             
           100.000                         0.234                          0.000             
           100.000                         0.239                          0.000             
           100.000                         0.244                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.255                          0.000             
           100.000                         0.260                          0.000             
           100.000                         0.265                          0.000             
           100.000                         0.270                          0.000             
           100.000                         0.276                          0.000             
           100.000                         0.281                          0.000             
           100.000                         0.286                          0.000             
           100.000                         0.291                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.307                          0.000             
           100.000                         0.312                          0.000             
           100.000                         0.317                          0.000             
           100.000                         0.323                          0.000             
           100.000                         0.328                          0.000             
           100.000                         0.333                          0.000             
           100.000                         0.338                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.359                          0.000             
           100.000                         0.365                          0.000             
           100.000                         0.370                          0.000             
           100.000                         0.375                          0.000             
           100.000                         0.380                          0.000             
           100.000                         0.386                          0.000             
           100.000                         0.391                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.000             
           100.000                         0.407                          0.000             
           100.000                         0.412                          0.000             
           100.000                         0.417                          0.000             
           100.000                         0.422                          0.000             
           100.000                         0.428                          0.000             
           100.000                         0.433                          0.000             
           100.000                         0.438                          0.000             
           100.000                         0.443                          0.000             
           100.000                         0.449                          0.000             
           100.000                         0.454                          0.000             
           100.000                         0.459                          0.000             
           100.000                         0.464                          0.000             
           100.000                         0.469                          0.000             
           100.000                         0.475                          0.000             
           100.000                         0.480                          0.000             
           100.000                         0.485                          0.000             
           100.000                         0.490                          0.000             
           100.000                         0.496                          0.000             
           100.000                         0.501                          0.000             
           100.000                         0.506                          0.000             
           100.000                         0.511                          0.000             
           100.000                         0.517                          0.000             
           100.000                         0.522                          0.000             
           100.000                         0.527                          0.000             
           100.000                         0.532                          0.000             
           100.000                         0.538                          0.000             
           100.000                         0.543                          0.000             
           100.000                         0.548                          0.000             
           100.000                         0.553                          0.000             
           100.000                         0.559                          0.000             
           100.000                         0.564                          0.002             
           100.000                         0.569                          0.000             
           100.000                         0.574                          0.000             
           100.000                         0.580                          0.012             
           100.000                         0.585                          0.065             
           100.000                         0.590                          0.182             
           100.000                         0.595                          0.331             
           100.000                         0.601                          0.520             
           100.000                         0.606                          1.261             
           100.000                         0.611                          3.298             
           100.000                         0.616                          7.304             
           100.000                         0.621                          14.442            
           100.000                         0.627                          23.653            
           100.000                         0.632                          31.465            
           100.000                         0.637                          35.624            
           100.000                         0.642                          35.208            
           100.000                         0.648                          31.646            
           100.000                         0.653                          26.755            
           100.000                         0.658                          20.785            
           100.000                         0.663                          15.952            
           100.000                         0.669                          11.699            
           100.000                         0.674                          9.077             
           100.000                         0.679                          6.367             
           100.000                         0.684                          4.730             
           100.000                         0.690                          3.802             
           100.000                         0.695                          2.975             
           100.000                         0.700                          2.389             
           100.000                         0.705                          2.025             
           100.000                         0.711                          1.656             
           100.000                         0.716                          1.545             
           100.000                         0.721                          1.200             
           100.000                         0.726                          1.145             
           100.000                         0.732                          0.998             
           100.000                         0.737                          0.946             
           100.000                         0.742                          0.783             
           100.000                         0.747                          0.717             
           100.000                         0.752                          0.717             
           100.000                         0.758                          0.562             
           100.000                         0.763                          0.570             
           100.000                         0.768                          0.514             
           100.000                         0.773                          0.472             
           100.000                         0.779                          0.462             
           100.000                         0.784                          0.425             
           100.000                         0.789                          0.391             
           100.000                         0.794                          0.387             
           100.000                         0.800                          0.336             
           100.000                         0.805                          0.362             
           100.000                         0.810                          0.304             
           100.000                         0.815                          0.289             
           100.000                         0.821                          0.302             
           100.000                         0.826                          0.286             
           100.000                         0.831                          0.262             
           100.000                         0.836                          0.268             
           100.000                         0.842                          0.231             
           100.000                         0.847                          0.252             
           100.000                         0.852                          0.227             
           100.000                         0.857                          0.210             
           100.000                         0.863                          0.214             
           100.000                         0.868                          0.227             
           100.000                         0.873                          0.210             
           100.000                         0.878                          0.192             
           100.000                         0.884                          0.226             
           100.000                         0.889                          0.201             
           100.000                         0.894                          0.212             
           100.000                         0.899                          0.211             
           100.000                         0.904                          0.187             
           100.000                         0.910                          0.168             
           100.000                         0.915                          0.183             
           100.000                         0.920                          0.192             
           100.000                         0.925                          0.182             
           100.000                         0.931                          0.185             
           100.000                         0.936                          0.170             
           100.000                         0.941                          0.197             
           100.000                         0.946                          0.196             
           100.000                         0.952                          0.175             
           100.000                         0.957                          0.156             
           100.000                         0.962                          0.185             
           100.000                         0.967                          0.199             
           100.000                         0.973                          0.178             
           100.000                         0.978                          0.192             
           100.000                         0.983                          0.171             
           100.000                         0.988                          0.183             
           100.000                         0.994                          0.214             
           100.000                         0.999                          0.217             
           100.000                         1.004                          0.205             
           100.000                         1.009                          0.210             
           100.000                         1.015                          0.214             
           100.000                         1.020                          0.216             
           100.000                         1.025                          0.261             
           100.000                         1.030                          0.297             
           100.000                         1.035                          0.410             
           100.000                         1.041                          0.515             
           100.000                         1.046                          0.716             
           100.000                         1.051                          0.973             
           100.000                         1.056                          1.405             
           100.000                         1.062                          1.869             
           100.000                         1.067                          2.532             
           100.000                         1.072                          3.371             
           100.000                         1.077                          4.563             
           100.000                         1.083                          5.872             
           100.000                         1.088                          6.995             
           100.000                         1.093                          8.386             
           100.000                         1.098                          9.689             
           100.000                         1.104                          10.852            
           100.000                         1.109                          11.450            
           100.000                         1.114                          11.609            
           100.000                         1.119                          11.587            
           100.000                         1.125                          11.129            
           100.000                         1.130                          10.200            
           100.000                         1.135                          9.172             
           100.000                         1.140                          7.977             
           100.000                         1.146                          6.907             
           100.000                         1.151                          5.815             
           100.000                         1.156                          4.691             
           100.000                         1.161                          3.767             
           100.000                         1.167                          3.108             
           100.000                         1.172                          2.517             
           100.000                         1.177                          2.082             
           100.000                         1.182                          1.780             
           100.000                         1.187                          1.517             
           100.000                         1.193                          1.373             
           100.000                         1.198                          1.229             
           100.000                         1.203                          1.064             
           100.000                         1.208                          1.069             
           100.000                         1.214                          1.060             
           100.000                         1.219                          1.144             
           100.000                         1.224                          1.311             
           100.000                         1.229                          1.712             
           100.000                         1.235                          2.164             
           100.000                         1.240                          2.990             
           100.000                         1.245                          4.007             
           100.000                         1.250                          5.202             
           100.000                         1.256                          6.445             
           100.000                         1.261                          7.738             
           100.000                         1.266                          8.596             
           100.000                         1.271                          9.475             
           100.000                         1.277                          9.762             
           100.000                         1.282                          9.937             
           100.000                         1.287                          9.543             
           100.000                         1.292                          8.871             
           100.000                         1.298                          8.391             
           100.000                         1.303                          7.507             
           100.000                         1.308                          6.720             
           100.000                         1.313                          6.004             
           100.000                         1.319                          5.161             
           100.000                         1.324                          4.575             
           100.000                         1.329                          3.877             
           100.000                         1.334                          3.361             
           100.000                         1.339                          2.898             
           100.000                         1.345                          2.532             
           100.000                         1.350                          2.134             
           100.000                         1.355                          1.866             
           100.000                         1.360                          1.597             
           100.000                         1.366                          1.412             
           100.000                         1.371                          1.174             
           100.000                         1.376                          1.049             
           100.000                         1.381                          1.026             
           100.000                         1.387                          0.907             
           100.000                         1.392                          0.768             
           100.000                         1.397                          0.706             
           100.000                         1.402                          0.676             
           100.000                         1.408                          0.583             
           100.000                         1.413                          0.568             
           100.000                         1.418                          0.517             
           100.000                         1.423                          0.506             
           100.000                         1.429                          0.501             
           100.000                         1.434                          0.431             
           100.000                         1.439                          0.407             
           100.000                         1.444                          0.386             
           100.000                         1.450                          0.377             
           100.000                         1.455                          0.334             
           100.000                         1.460                          0.336             
           100.000                         1.465                          0.329             
           100.000                         1.470                          0.334             
           100.000                         1.476                          0.304             
           100.000                         1.481                          0.304             
           100.000                         1.486                          0.271             
           100.000                         1.491                          0.278             
           100.000                         1.497                          0.266             
           100.000                         1.502                          0.279             
           100.000                         1.507                          0.278             
           100.000                         1.512                          0.253             
           100.000                         1.518                          0.256             
           100.000                         1.523                          0.269             
           100.000                         1.528                          0.280             
           100.000                         1.533                          0.267             
           100.000                         1.539                          0.260             
           100.000                         1.544                          0.258             
