             tauB                            r                             g(r)             
           100.000                         1.146                          0.762             
           100.000                         1.151                          0.723             
           100.000                         1.156                          0.742             
           100.000                         1.161                          0.694             
           100.000                         1.167                          0.761             
           100.000                         1.172                          0.700             
           100.000                         1.177                          0.744             
           100.000                         1.182                          0.801             
           100.000                         1.187                          0.810             
           100.000                         1.193                          0.870             
           100.000                         1.198                          0.949             
           100.000                         1.203                          1.015             
           100.000                         1.208                          1.239             
           100.000                         1.214                          1.483             
           100.000                         1.219                          1.862             
           100.000                         1.224                          2.125             
           100.000                         1.229                          2.666             
           100.000                         1.235                          3.379             
           100.000                         1.240                          4.106             
           100.000                         1.245                          4.812             
           100.000                         1.250                          5.542             
           100.000                         1.256                          6.228             
           100.000                         1.261                          6.896             
           100.000                         1.266                          7.279             
           100.000                         1.271                          7.543             
           100.000                         1.277                          7.634             
           100.000                         1.282                          7.271             
           100.000                         1.287                          7.140             
           100.000                         1.292                          6.766             
           100.000                         1.298                          6.274             
           100.000                         1.303                          5.723             
           100.000                         1.308                          5.214             
           100.000                         1.313                          4.569             
           100.000                         1.319                          4.105             
           100.000                         1.324                          3.666             
           100.000                         1.329                          3.270             
           100.000                         1.334                          2.858             
           100.000                         1.339                          2.619             
           100.000                         1.345                          2.310             
           100.000                         1.350                          2.056             
           100.000                         1.355                          1.943             
           100.000                         1.360                          1.796             
           100.000                         1.366                          1.703             
           100.000                         1.371                          1.607             
           100.000                         1.376                          1.562             
           100.000                         1.381                          1.633             
           100.000                         1.387                          1.722             
           100.000                         1.392                          1.812             
           100.000                         1.397                          1.950             
           100.000                         1.402                          2.271             
           100.000                         1.408                          2.446             
           100.000                         1.413                          2.791             
           100.000                         1.418                          3.017             
           100.000                         1.423                          3.255             
           100.000                         1.429                          3.536             
           100.000                         1.434                          3.647             
           100.000                         1.439                          3.657             
           100.000                         1.444                          3.637             
           100.000                         1.450                          3.647             
           100.000                         1.455                          3.497             
           100.000                         1.460                          3.381             
           100.000                         1.465                          3.090             
           100.000                         1.470                          2.932             
           100.000                         1.476                          2.736             
           100.000                         1.481                          2.524             
           100.000                         1.486                          2.334             
           100.000                         1.491                          2.061             
           100.000                         1.497                          1.962             
           100.000                         1.502                          1.818             
           100.000                         1.507                          1.630             
           100.000                         1.512                          1.548             
           100.000                         1.518                          1.381             
           100.000                         1.523                          1.373             
           100.000                         1.528                          1.289             
           100.000                         1.533                          1.221             
           100.000                         1.539                          1.158             
           100.000                         1.544                          1.121             
           100.000                         1.549                          1.056             
           100.000                         1.554                          1.028             
           100.000                         1.560                          1.035             
           100.000                         1.565                          1.006             
           100.000                         1.570                          0.958             
           100.000                         1.575                          0.999             
           100.000                         1.581                          0.969             
           100.000                         1.586                          1.013             
           100.000                         1.591                          1.058             
           100.000                         1.596                          1.135             
           100.000                         1.602                          1.221             
           100.000                         1.607                          1.267             
           100.000                         1.612                          1.397             
           100.000                         1.617                          1.576             
           100.000                         1.622                          1.746             
           100.000                         1.628                          1.821             
           100.000                         1.633                          2.050             
           100.000                         1.638                          2.241             
           100.000                         1.643                          2.556             
           100.000                         1.649                          2.655             
           100.000                         1.654                          2.903             
           100.000                         1.659                          3.136             
           100.000                         1.664                          3.300             
           100.000                         1.670                          3.628             
           100.000                         1.675                          3.707             
           100.000                         1.680                          3.826             
           100.000                         1.685                          4.129             
           100.000                         1.691                          4.306             
           100.000                         1.696                          4.646             
           100.000                         1.701                          4.822             
           100.000                         1.706                          4.961             
           100.000                         1.712                          5.255             
           100.000                         1.717                          5.383             
           100.000                         1.722                          5.531             
           100.000                         1.727                          5.478             
           100.000                         1.733                          5.486             
           100.000                         1.738                          5.348             
           100.000                         1.743                          5.166             
           100.000                         1.748                          5.051             
           100.000                         1.753                          4.866             
           100.000                         1.759                          4.550             
           100.000                         1.764                          4.305             
           100.000                         1.769                          4.032             
           100.000                         1.774                          3.781             
           100.000                         1.780                          3.497             
           100.000                         1.785                          3.271             
           100.000                         1.790                          3.040             
           100.000                         1.795                          2.698             
           100.000                         1.801                          2.549             
           100.000                         1.806                          2.316             
           100.000                         1.811                          2.172             
           100.000                         1.816                          2.054             
           100.000                         1.822                          1.884             
           100.000                         1.827                          1.785             
           100.000                         1.832                          1.737             
           100.000                         1.837                          1.627             
           100.000                         1.843                          1.634             
           100.000                         1.848                          1.624             
           100.000                         1.853                          1.545             
           100.000                         1.858                          1.645             
           100.000                         1.864                          1.660             
           100.000                         1.869                          1.744             
           100.000                         1.874                          1.772             
           100.000                         1.879                          1.859             
           100.000                         1.885                          1.980             
           100.000                         1.890                          2.073             
           100.000                         1.895                          2.239             
           100.000                         1.900                          2.317             
           100.000                         1.905                          2.492             
           100.000                         1.911                          2.492             
           100.000                         1.916                          2.492             
           100.000                         1.921                          2.522             
           100.000                         1.926                          2.501             
           100.000                         1.932                          2.420             
           100.000                         1.937                          2.402             
           100.000                         1.942                          2.357             
           100.000                         1.947                          2.279             
           100.000                         1.953                          2.183             
           100.000                         1.958                          2.135             
           100.000                         1.963                          2.021             
           100.000                         1.968                          1.935             
           100.000                         1.974                          1.813             
           100.000                         1.979                          1.725             
           100.000                         1.984                          1.697             
           100.000                         1.989                          1.662             
           100.000                         1.995                          1.651             
           100.000                         2.000                          1.609             
           100.000                         2.005                          1.549             
           100.000                         2.010                          1.593             
           100.000                         2.016                          1.635             
           100.000                         2.021                          1.642             
           100.000                         2.026                          1.740             
           100.000                         2.031                          1.860             
           100.000                         2.037                          1.989             
           100.000                         2.042                          2.074             
           100.000                         2.047                          2.259             
           100.000                         2.052                          2.469             
           100.000                         2.057                          2.558             
           100.000                         2.063                          2.730             
           100.000                         2.068                          2.960             
           100.000                         2.073                          3.108             
           100.000                         2.078                          3.206             
           100.000                         2.084                          3.421             
           100.000                         2.089                          3.514             
           100.000                         2.094                          3.555             
           100.000                         2.099                          3.633             
           100.000                         2.105                          3.632             
           100.000                         2.110                          3.662             
           100.000                         2.115                          3.682             
           100.000                         2.120                          3.595             
           100.000                         2.126                          3.700             
           100.000                         2.131                          3.711             
           100.000                         2.136                          3.569             
           100.000                         2.141                          3.674             
           100.000                         2.147                          3.685             
           100.000                         2.152                          3.691             
           100.000                         2.157                          3.654             
           100.000                         2.162                          3.738             
           100.000                         2.168                          3.725             
           100.000                         2.173                          3.830             
           100.000                         2.178                          3.945             
           100.000                         2.183                          3.941             
           100.000                         2.188                          3.942             
           100.000                         2.194                          3.966             
           100.000                         2.199                          3.917             
           100.000                         2.204                          3.937             
           100.000                         2.209                          3.839             
           100.000                         2.215                          3.691             
           100.000                         2.220                          3.594             
           100.000                         2.225                          3.439             
           100.000                         2.230                          3.256             
           100.000                         2.236                          3.221             
           100.000                         2.241                          3.109             
           100.000                         2.246                          2.983             
           100.000                         2.251                          2.845             
           100.000                         2.257                          2.678             
           100.000                         2.262                          2.559             
           100.000                         2.267                          2.395             
           100.000                         2.272                          2.236             
           100.000                         2.278                          2.165             
           100.000                         2.283                          1.999             
           100.000                         2.288                          1.922             
           100.000                         2.293                          1.834             
           100.000                         2.299                          1.768             
           100.000                         2.304                          1.721             
           100.000                         2.309                          1.636             
           100.000                         2.314                          1.591             
           100.000                         2.320                          1.557             
           100.000                         2.325                          1.604             
           100.000                         2.330                          1.558             
           100.000                         2.335                          1.599             
           100.000                         2.340                          1.584             
           100.000                         2.346                          1.646             
           100.000                         2.351                          1.710             
           100.000                         2.356                          1.715             
