             tauB                            r                             g(r)             
           100.000                         0.103                          0.000             
           100.000                         0.108                          0.000             
           100.000                         0.113                          0.000             
           100.000                         0.118                          0.000             
           100.000                         0.124                          0.000             
           100.000                         0.129                          0.000             
           100.000                         0.134                          0.000             
           100.000                         0.139                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.160                          0.000             
           100.000                         0.166                          0.000             
           100.000                         0.171                          0.000             
           100.000                         0.176                          0.000             
           100.000                         0.181                          0.000             
           100.000                         0.186                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.213                          0.000             
           100.000                         0.218                          0.000             
           100.000                         0.223                          0.000             
           100.000                         0.228                          0.000             
           100.000                         0.234                          0.000             
           100.000                         0.239                          0.000             
           100.000                         0.244                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.255                          0.000             
           100.000                         0.260                          0.000             
           100.000                         0.265                          0.000             
           100.000                         0.270                          0.000             
           100.000                         0.276                          0.000             
           100.000                         0.281                          0.000             
           100.000                         0.286                          0.000             
           100.000                         0.291                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.307                          0.000             
           100.000                         0.312                          0.000             
           100.000                         0.317                          0.000             
           100.000                         0.323                          0.000             
           100.000                         0.328                          0.000             
           100.000                         0.333                          0.000             
           100.000                         0.338                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.359                          0.000             
           100.000                         0.365                          0.000             
           100.000                         0.370                          0.000             
           100.000                         0.375                          0.000             
           100.000                         0.380                          0.000             
           100.000                         0.386                          0.000             
           100.000                         0.391                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.000             
           100.000                         0.407                          0.000             
           100.000                         0.412                          0.000             
           100.000                         0.417                          0.000             
           100.000                         0.422                          0.000             
           100.000                         0.428                          0.000             
           100.000                         0.433                          0.000             
           100.000                         0.438                          0.000             
           100.000                         0.443                          0.000             
           100.000                         0.449                          0.000             
           100.000                         0.454                          0.000             
           100.000                         0.459                          0.000             
           100.000                         0.464                          0.000             
           100.000                         0.469                          0.000             
           100.000                         0.475                          0.000             
           100.000                         0.480                          0.000             
           100.000                         0.485                          0.000             
           100.000                         0.490                          0.000             
           100.000                         0.496                          0.000             
           100.000                         0.501                          0.002             
           100.000                         0.506                          0.009             
           100.000                         0.511                          0.037             
           100.000                         0.517                          0.131             
           100.000                         0.522                          0.281             
           100.000                         0.527                          0.642             
           100.000                         0.532                          1.478             
           100.000                         0.538                          4.503             
           100.000                         0.543                          10.381            
           100.000                         0.548                          19.596            
           100.000                         0.553                          28.273            
           100.000                         0.559                          33.983            
           100.000                         0.564                          34.766            
           100.000                         0.569                          31.257            
           100.000                         0.574                          25.653            
           100.000                         0.580                          19.715            
           100.000                         0.585                          14.787            
           100.000                         0.590                          10.679            
           100.000                         0.595                          7.600             
           100.000                         0.601                          5.433             
           100.000                         0.606                          4.122             
           100.000                         0.611                          3.132             
           100.000                         0.616                          2.575             
           100.000                         0.621                          2.175             
           100.000                         0.627                          1.941             
           100.000                         0.632                          1.700             
           100.000                         0.637                          1.567             
           100.000                         0.642                          1.371             
           100.000                         0.648                          1.213             
           100.000                         0.653                          1.183             
           100.000                         0.658                          1.098             
           100.000                         0.663                          0.951             
           100.000                         0.669                          0.857             
           100.000                         0.674                          0.817             
           100.000                         0.679                          0.733             
           100.000                         0.684                          0.727             
           100.000                         0.690                          0.660             
           100.000                         0.695                          0.631             
           100.000                         0.700                          0.642             
           100.000                         0.705                          0.547             
           100.000                         0.711                          0.578             
           100.000                         0.716                          0.532             
           100.000                         0.721                          0.479             
           100.000                         0.726                          0.481             
           100.000                         0.732                          0.505             
           100.000                         0.737                          0.492             
           100.000                         0.742                          0.434             
           100.000                         0.747                          0.450             
           100.000                         0.752                          0.447             
           100.000                         0.758                          0.458             
           100.000                         0.763                          0.387             
           100.000                         0.768                          0.390             
           100.000                         0.773                          0.373             
           100.000                         0.779                          0.388             
           100.000                         0.784                          0.345             
           100.000                         0.789                          0.390             
           100.000                         0.794                          0.333             
           100.000                         0.800                          0.351             
           100.000                         0.805                          0.334             
           100.000                         0.810                          0.309             
           100.000                         0.815                          0.341             
           100.000                         0.821                          0.344             
           100.000                         0.826                          0.356             
           100.000                         0.831                          0.317             
           100.000                         0.836                          0.329             
           100.000                         0.842                          0.360             
           100.000                         0.847                          0.295             
           100.000                         0.852                          0.301             
           100.000                         0.857                          0.298             
           100.000                         0.863                          0.302             
           100.000                         0.868                          0.334             
           100.000                         0.873                          0.340             
           100.000                         0.878                          0.356             
           100.000                         0.884                          0.348             
           100.000                         0.889                          0.326             
           100.000                         0.894                          0.383             
           100.000                         0.899                          0.418             
           100.000                         0.904                          0.446             
           100.000                         0.910                          0.587             
           100.000                         0.915                          0.697             
           100.000                         0.920                          0.912             
           100.000                         0.925                          1.229             
           100.000                         0.931                          1.840             
           100.000                         0.936                          2.382             
           100.000                         0.941                          3.339             
           100.000                         0.946                          4.635             
           100.000                         0.952                          6.054             
           100.000                         0.957                          7.470             
           100.000                         0.962                          9.174             
           100.000                         0.967                          10.556            
           100.000                         0.973                          11.548            
           100.000                         0.978                          11.724            
           100.000                         0.983                          11.643            
           100.000                         0.988                          11.173            
           100.000                         0.994                          10.228            
           100.000                         0.999                          9.070             
           100.000                         1.004                          7.597             
           100.000                         1.009                          6.379             
           100.000                         1.015                          5.317             
           100.000                         1.020                          4.228             
           100.000                         1.025                          3.470             
           100.000                         1.030                          2.843             
           100.000                         1.035                          2.271             
           100.000                         1.041                          1.868             
           100.000                         1.046                          1.602             
           100.000                         1.051                          1.379             
           100.000                         1.056                          1.166             
           100.000                         1.062                          1.142             
           100.000                         1.067                          1.145             
           100.000                         1.072                          1.216             
           100.000                         1.077                          1.501             
           100.000                         1.083                          2.018             
           100.000                         1.088                          2.736             
           100.000                         1.093                          3.880             
           100.000                         1.098                          5.285             
           100.000                         1.104                          6.670             
           100.000                         1.109                          8.136             
           100.000                         1.114                          9.172             
           100.000                         1.119                          9.974             
           100.000                         1.125                          10.046            
           100.000                         1.130                          9.867             
           100.000                         1.135                          9.401             
           100.000                         1.140                          8.467             
           100.000                         1.146                          7.665             
           100.000                         1.151                          6.714             
           100.000                         1.156                          5.863             
           100.000                         1.161                          5.127             
           100.000                         1.167                          4.260             
           100.000                         1.172                          3.675             
           100.000                         1.177                          3.063             
           100.000                         1.182                          2.678             
           100.000                         1.187                          2.184             
           100.000                         1.193                          1.870             
           100.000                         1.198                          1.546             
           100.000                         1.203                          1.442             
           100.000                         1.208                          1.139             
           100.000                         1.214                          1.062             
           100.000                         1.219                          0.977             
           100.000                         1.224                          0.922             
           100.000                         1.229                          0.768             
           100.000                         1.235                          0.690             
           100.000                         1.240                          0.694             
           100.000                         1.245                          0.630             
           100.000                         1.250                          0.606             
           100.000                         1.256                          0.582             
           100.000                         1.261                          0.556             
           100.000                         1.266                          0.496             
           100.000                         1.271                          0.517             
           100.000                         1.277                          0.473             
           100.000                         1.282                          0.477             
           100.000                         1.287                          0.506             
           100.000                         1.292                          0.449             
           100.000                         1.298                          0.428             
           100.000                         1.303                          0.420             
           100.000                         1.308                          0.432             
           100.000                         1.313                          0.425             
           100.000                         1.319                          0.416             
           100.000                         1.324                          0.430             
           100.000                         1.329                          0.362             
           100.000                         1.334                          0.391             
           100.000                         1.339                          0.400             
           100.000                         1.345                          0.404             
           100.000                         1.350                          0.372             
           100.000                         1.355                          0.393             
           100.000                         1.360                          0.381             
           100.000                         1.366                          0.394             
           100.000                         1.371                          0.387             
           100.000                         1.376                          0.398             
           100.000                         1.381                          0.417             
           100.000                         1.387                          0.456             
           100.000                         1.392                          0.476             
           100.000                         1.397                          0.524             
           100.000                         1.402                          0.633             
           100.000                         1.408                          0.715             
           100.000                         1.413                          0.821             
           100.000                         1.418                          1.078             
           100.000                         1.423                          1.295             
           100.000                         1.429                          1.650             
           100.000                         1.434                          2.143             
           100.000                         1.439                          2.716             
           100.000                         1.444                          3.508             
           100.000                         1.450                          4.304             
           100.000                         1.455                          5.218             
           100.000                         1.460                          6.316             
           100.000                         1.465                          7.446             
           100.000                         1.470                          8.569             
           100.000                         1.476                          9.477             
           100.000                         1.481                          10.202            
           100.000                         1.486                          10.675            
           100.000                         1.491                          11.005            
           100.000                         1.497                          10.984            
           100.000                         1.502                          10.826            
           100.000                         1.507                          10.408            
           100.000                         1.512                          9.719             
           100.000                         1.518                          9.033             
           100.000                         1.523                          8.344             
           100.000                         1.528                          7.457             
           100.000                         1.533                          6.649             
           100.000                         1.539                          5.860             
           100.000                         1.544                          5.072             
