 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   2.0       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3600     0.4800     0.3600     1.8050     0.3450     1.8550     0.3400     1.8900     0.3450     1.8750     0.3200     1.7700  
   4.0       0.2500     1.7500     0.3300     0.5550     0.3100     1.9350     0.3200     1.9950     0.3050     1.8050     0.3050     1.8550     0.3100     1.8900     0.3050     1.8500     0.2750     1.7450  
   6.0       0.2500     1.7500     0.3300     0.5550     0.3100     1.9350     0.2750     1.9550     0.2750     1.6900     0.2650     1.8550     0.2650     1.8900     0.2550     1.8350     0.2250     1.7100  
   8.0       0.2500     1.7500     0.3300     0.5550     0.2500     1.9350     0.2400     1.7200     0.2200     1.6900     0.2200     1.8150     0.2150     1.8900     0.2050     1.8350     0.1950     1.6900  
   10.0      0.2500     1.7500     0.2200     0.5550     0.1850     1.9350     0.1950     1.7200     0.1900     1.6900     0.1800     1.7750     0.1700     1.8900     0.1700     1.8100     0.1600     1.6700  
   12.0      0.2500     1.7500     0.2200     1.9950     0.1850     1.9350     0.1600     1.7200     0.1350     1.6900     0.1400     1.7300     0.1400     1.8250     0.1350     1.8000     0.1300     1.6150  
   14.0      0.2500     1.7500     0.2200     1.9950     0.1250     1.9350     0.1200     1.6350     0.1100     1.6900     0.1200     1.7300     0.1050     1.7950     0.1100     1.7500     0.0950     1.5850  
   16.0      0.2500     1.7500     0.1100     1.9950     0.1250     1.9350     0.1200     1.5550     0.1100     1.6900     0.1000     1.7300     0.0900     1.7000     0.0850     1.7000     0.0800     1.5450  
   18.0      0.2500     1.7500     0.1100     1.9950     0.1250     1.9350     0.0800     1.5550     0.0800     1.6900     0.0800     1.7300     0.0750     1.7000     0.0850     1.6750     0.0650     1.5400  
   20.0      0.2500     1.7500     0.1100     1.9950     0.1250     1.9350     0.0800     1.5550     0.0800     1.6900     0.0800     1.7300     0.0750     1.7000     0.0700     1.6750     0.0650     1.5450  
